LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1760384593.332222,459147.000,8275,1,AX,1,100,0.692
1760384593.372224,459187.000,8291,3,AX,1,100,0.833
1760384593.412225,459227.000,8291,3,AX,1,100,1.002
1760384593.452227,459267.000,8291,3,AX,1,100,0.923
1760384593.492229,459307.000,8308,2,AX,1,100,0.790
1760384593.532230,459347.000,8308,2,AX,1,100,0.809
1760384593.572232,459387.000,8325,3,AX,1,100,0.906
1760384593.612233,459427.000,8325,3,AX,1,100,0.931
1760384593.652235,459467.000,8325,3,AX,1,100,0.844
1760384593.692236,459507.000,8341,2,AX,1,100,0.872
1760384593.732238,459547.000,8341,2,AX,1,100,0.866
1760384593.772573,459587.333,8356,3,AX,1,100,0.882
1760384593.812907,459627.667,8356,3,AX,1,100,0.861
1760384593.853242,459668.000,8356,3,AX,1,100,0.872
1760384593.893244,459708.000,8373,2,AX,1,100,0.873
1760384593.933245,459748.000,8373,2,AX,1,100,0.878
1760384593.973247,459788.000,8390,3,AX,1,100,0.875
1760384594.013248,459828.000,8390,3,AX,1,100,0.875
1760384594.053250,459868.000,8390,3,AX,1,100,0.871
1760384594.093251,459908.000,8407,2,AX,1,100,0.862
1760384594.133253,459948.000,8407,2,AX,1,100,0.873
1760384594.173254,459988.000,8421,3,AX,1,100,0.861
1760384594.213256,460028.000,8421,3,AX,1,100,0.885
1760384594.253258,460068.000,8421,3,AX,1,100,0.869
1760384594.293259,460108.000,8439,2,AX,1,100,0.868
1760384594.333261,460148.000,8439,2,AX,1,100,0.884
1760384594.373262,460188.000,8455,3,AX,1,100,0.867
1760384594.413264,460228.000,8455,3,AX,1,100,0.877
1760384594.453265,460268.000,8455,3,AX,1,100,0.865
1760384594.493267,460308.000,8472,2,AX,1,100,0.867
1760384594.533268,460348.000,8472,2,AX,1,100,0.877
1760384594.573270,460388.000,8487,3,AX,1,100,0.866
1760384594.613271,460428.000,8487,3,AX,1,100,0.877
1760384594.653273,460468.000,8487,3,AX,1,100,0.871
1760384594.688607,460503.333,8504,3,AX,1,100,0.872
1760384594.723942,460538.667,8504,3,AX,1,100,0.875
1760384594.759277,460574.000,8504,3,AX,1,100,0.869
1760384594.799278,460614.000,8520,2,AX,1,100,0.863
1760384594.839280,460654.000,8520,2,AX,1,100,0.880
1760384594.879281,460694.000,8538,3,AX,1,100,0.868
1760384594.919283,460734.000,8538,3,AX,1,100,0.868
1760384594.959284,460774.000,8538,3,AX,1,100,0.874
1760384594.999286,460814.000,8552,2,AX,1,100,0.871
1760384595.039287,460854.000,8552,2,AX,1,100,0.868
1760384595.079289,460894.000,8569,3,AX,1,100,0.876
1760384595.119290,460934.000,8569,3,AX,1,100,0.864
1760384595.159292,460974.000,8569,3,AX,1,100,0.873
1760384595.199293,461014.000,8585,3,AX,1,100,0.872
1760384595.239295,461054.000,8585,3,AX,1,100,0.870
1760384595.279297,461094.000,8585,3,AX,1,100,0.873
1760384595.319298,461134.000,8603,2,AX,1,100,0.866
1760384595.359300,461174.000,8603,2,AX,1,100,0.872
1760384595.399301,461214.000,8617,3,AX,1,100,0.874
1760384595.439303,461254.000,8617,3,AX,1,100,0.868
1760384595.479304,461294.000,8617,3,AX,1,100,0.861
1760384595.519306,461334.000,8634,2,AX,1,100,0.880
1760384595.559307,461374.000,8634,2,AX,1,100,0.868
1760384595.599309,461414.000,8651,3,AX,1,100,0.871
1760384595.639310,461454.000,8651,3,AX,1,100,0.864
1760384595.679312,461494.000,8651,3,AX,1,100,0.875
1760384595.719313,461534.000,8668,2,AX,1,100,0.871
1760384595.759315,461574.000,8668,2,AX,1,100,0.871
1760384595.799316,461614.000,8683,3,AX,1,100,0.868
1760384595.839318,461654.000,8683,3,AX,1,100,0.875
1760384595.879319,461694.000,8683,3,AX,1,100,0.873
1760384595.919321,461734.000,8700,2,AX,1,100,0.867
1760384595.959322,461774.000,8700,2,AX,1,100,0.871
1760384595.999324,461814.000,8716,3,AX,1,100,0.867
1760384596.039325,461854.000,8716,3,AX,1,100,0.873
1760384596.079327,461894.000,8716,3,AX,1,100,0.873
1760384596.119328,461934.000,8733,2,AX,1,100,0.873
1760384596.159330,461974.000,8733,2,AX,1,100,0.864
1760384596.199332,462014.000,8750,3,AX,1,100,0.864
1760384596.239333,462054.000,8750,3,AX,1,100,0.882
1760384596.279335,462094.000,8750,3,AX,1,100,0.872
1760384596.319336,462134.000,8767,2,AX,1,100,0.868
1760384596.359338,462174.000,8767,2,AX,1,100,0.871
1760384596.399339,462214.000,8783,3,AX,1,100,0.873
1760384596.439341,462254.000,8783,3,AX,1,100,0.869
1760384596.479342,462294.000,8783,3,AX,1,100,0.865
1760384596.519344,462334.000,8800,3,AX,1,100,0.875
1760384596.559345,462374.000,8800,3,AX,1,100,0.869
1760384596.599347,462414.000,8800,3,AX,1,100,0.870
1760384596.639348,462454.000,8819,2,AX,1,100,0.869
1760384596.679350,462494.000,8819,2,AX,1,100,0.871
1760384596.719351,462534.000,8834,3,AX,1,100,0.868
1760384596.759353,462574.000,8834,3,AX,1,100,0.870
1760384596.799355,462614.000,8834,3,AX,1,100,0.871
1760384596.839356,462654.000,8850,2,AX,1,100,0.870
1760384596.879358,462694.000,8850,2,AX,1,100,0.863
1760384596.919359,462734.000,8868,3,AX,1,100,0.879
1760384596.959361,462774.000,8868,3,AX,1,100,0.868
1760384596.999362,462814.000,8868,3,AX,1,100,0.864
1760384597.039364,462854.000,8884,2,AX,1,100,0.873
1760384597.079365,462894.000,8884,2,AX,1,100,0.867
1760384597.119367,462934.000,8899,3,AX,1,100,0.877
1760384597.159368,462974.000,8899,3,AX,1,100,0.868
1760384597.199370,463014.000,8899,3,AX,1,100,0.870
1760384597.239371,463054.000,8921,2,AX,1,100,0.871
1760384597.279373,463094.000,8921,2,AX,1,100,0.870
1760384597.319374,463134.000,8938,3,AX,1,100,0.872
1760384597.359376,463174.000,8938,3,AX,1,100,0.870
1760384597.399377,463214.000,8938,3,AX,1,100,0.866
1760384597.439379,463254.000,8954,2,AX,1,100,0.870
1760384597.479380,463294.000,8954,2,AX,1,100,0.870
1760384597.519382,463334.000,8969,3,AX,1,100,0.872
1760384597.559383,463374.000,8969,3,AX,1,100,0.872
1760384597.599385,463414.000,8969,3,AX,1,100,0.867
1760384597.639386,463454.000,8986,3,AX,1,100,0.865
1760384597.679388,463494.000,8986,3,AX,1,100,0.873
1760384597.719389,463534.000,8986,3,AX,1,100,0.876
1760384597.759391,463574.000,9003,2,AX,1,100,0.869
1760384597.799392,463614.000,9003,2,AX,1,100,0.870
1760384597.839394,463654.000,9019,3,AX,1,100,0.866
1760384597.879395,463694.000,9019,3,AX,1,100,0.872
1760384597.919397,463734.000,9019,3,AX,1,100,0.866
1760384597.959399,463774.000,9038,2,AX,1,100,0.870
1760384597.999400,463814.000,9038,2,AX,1,100,0.869
1760384598.039068,463853.667,9053,3,AX,1,100,0.868
1760384598.078737,463893.333,9053,3,AX,1,100,0.875
1760384598.118405,463933.000,9053,3,AX,1,100,0.868
1760384598.158406,463973.000,9070,2,AX,1,100,0.868
1760384598.198408,464013.000,9070,2,AX,1,100,0.868
1760384598.234076,464048.667,9087,3,AX,1,100,0.873
1760384598.269744,464084.333,9087,3,AX,1,100,0.873
1760384598.305412,464120.000,9087,3,AX,1,100,0.870
1760384598.345413,464160.000,9104,3,AX,1,100,0.870
1760384598.385415,464200.000,9104,3,AX,1,100,0.866
1760384598.425416,464240.000,9104,3,AX,1,100,0.870
1760384598.465418,464280.000,9118,2,AX,1,100,0.876
1760384598.505419,464320.000,9118,2,AX,1,100,0.863
1760384598.545421,464360.000,9136,3,AX,1,100,0.871
1760384598.585423,464400.000,9136,3,AX,1,100,0.871
1760384598.625424,464440.000,9136,3,AX,1,100,0.875
1760384598.665426,464480.000,9152,2,AX,1,100,0.867
1760384598.705427,464520.000,9152,2,AX,1,100,0.871
1760384598.745429,464560.000,9169,3,AX,1,100,0.869
1760384598.785430,464600.000,9169,3,AX,1,100,0.871
1760384598.825432,464640.000,9169,3,AX,1,100,0.869
1760384598.865433,464680.000,9183,2,AX,1,100,0.870
1760384598.905435,464720.000,9183,2,AX,1,100,0.870
1760384598.945436,464760.000,9201,3,AX,1,100,0.869
1760384598.985438,464800.000,9201,3,AX,1,100,0.877
1760384599.025439,464840.000,9201,3,AX,1,100,0.867
1760384599.065441,464880.000,9219,2,AX,1,100,0.868
1760384599.105442,464920.000,9219,2,AX,1,100,0.865
1760384599.145444,464960.000,9236,3,AX,1,100,0.882
1760384599.185445,465000.000,9236,3,AX,1,100,0.866
1760384599.225447,465040.000,9236,3,AX,1,100,0.865
1760384599.265448,465080.000,9251,2,AX,1,100,0.876
1760384599.305450,465120.000,9251,2,AX,1,100,0.875
1760384599.345451,465160.000,9268,3,AX,1,100,0.868
1760384599.385453,465200.000,9268,3,AX,1,100,0.868
1760384599.425454,465240.000,9268,3,AX,1,100,0.871
1760384599.465456,465280.000,9284,2,AX,1,100,0.867
1760384599.505458,465320.000,9284,2,AX,1,100,0.870
1760384599.545459,465360.000,9302,3,AX,1,100,0.880
1760384599.585461,465400.000,9302,3,AX,1,100,0.869
1760384599.625462,465440.000,9302,3,AX,1,100,0.864
1760384599.665464,465480.000,9316,3,AX,1,100,0.871
1760384599.705465,465520.000,9316,3,AX,1,100,0.873
1760384599.745467,465560.000,9316,3,AX,1,100,0.870
1760384599.785468,465600.000,9333,2,AX,1,100,0.865
1760384599.825470,465640.000,9333,2,AX,1,100,0.870
1760384599.865471,465680.000,9349,3,AX,1,100,0.882
1760384599.905473,465720.000,9349,3,AX,1,100,0.866
1760384599.945474,465760.000,9349,3,AX,1,100,0.873
1760384599.985476,465800.000,9367,2,AX,1,100,0.862
1760384600.025477,465840.000,9367,2,AX,1,100,0.866
1760384600.065479,465880.000,9382,3,AX,1,100,0.876
1760384600.105480,465920.000,9382,3,AX,1,100,0.870
1760384600.145482,465960.000,9382,3,AX,1,100,0.875
1760384600.185483,466000.000,9398,2,AX,1,100,0.866
1760384600.225485,466040.000,9398,2,AX,1,100,0.873
1760384600.265486,466080.000,9417,3,AX,1,100,0.868
1760384600.305488,466120.000,9417,3,AX,1,100,0.873
1760384600.345490,466160.000,9417,3,AX,1,100,0.870
1760384600.385491,466200.000,9434,2,AX,1,100,0.867
1760384600.425493,466240.000,9434,2,AX,1,100,0.875
1760384600.465494,466280.000,9449,3,AX,1,100,0.872
1760384600.505496,466320.000,9449,3,AX,1,100,0.875
1760384600.545497,466360.000,9449,3,AX,1,100,0.861
1760384600.585499,466400.000,9466,2,AX,1,100,0.876
1760384600.625500,466440.000,9466,2,AX,1,100,0.878
1760384600.665502,466480.000,9482,3,AX,1,100,0.866
