LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760384596.653349,462468.000,8809,1,BI,1,100,4040
1760384597.972399,463787.000,9029,1,BI,1,100,1320
1760384599.052440,464867.000,9210,1,BI,1,100,1080
1760384600.332489,466147.000,9407,1,BI,1,100,1280
1760384601.372529,467187.000,9593,1,BI,1,100,1040
1760384601.812546,467627.000,9660,1,BI,1,100,440
1760384602.492571,468307.000,9780,1,BI,1,100,680
1760384603.412606,469227.000,9930,1,BI,1,100,920
1760384603.972628,469787.000,10013,1,BI,1,100,560
1760384605.665692,471480.000,10294,1,BI,1,100,1680
1760384606.345718,472160.000,10392,1,BI,1,100,680
1760384606.905740,472720.000,10495,1,BI,1,100,560
1760384607.905777,473720.000,10666,1,BI,1,100,1000
1760384608.625805,474440.000,10781,1,BI,1,100,720
1760384609.385834,475200.000,10898,1,BI,1,100,760
1760384610.265867,476080.000,11046,1,BI,1,100,880
1760384610.905892,476720.000,11147,1,BI,1,100,640
1760384611.624919,477439.000,11265,1,BI,1,100,720
1760384612.504953,478319.000,11414,1,BI,1,100,880
1760384614.585032,480399.000,11747,1,BI,1,100,2080
1760384615.358062,481172.000,11880,1,BI,1,100,760
1760384616.038087,481852.000,11996,1,BI,1,100,680
1760384616.678112,482492.000,12098,1,BI,1,100,640
1760384617.318136,483132.000,12199,1,BI,1,100,640
1760384617.958161,483772.000,12319,1,BI,1,100,640
1760384618.558183,484372.000,12419,1,BI,1,100,600
1760384619.318212,485132.000,12536,1,BI,1,100,760
1760384620.158244,485972.000,12669,1,BI,1,100,840
1760384620.798269,486612.000,12784,1,BI,1,100,640
1760384621.918311,487732.000,12969,1,BI,1,100,1120
1760384622.198322,488012.000,13003,1,BI,1,100,280
1760384622.758343,488572.000,13104,1,BI,1,100,560
1760384623.118357,488932.000,13159,1,BI,1,100,360
1760384623.838385,489652.000,13291,1,BI,1,100,720
1760384625.691455,491505.000,13588,1,BI,1,100,1840
1760384626.451484,492265.000,13706,1,BI,1,100,760
1760384627.171511,492985.000,13821,1,BI,1,100,720
1760384628.170550,493984.000,13992,1,BI,1,100,1000
1760384629.170588,494984.000,14158,1,BI,1,100,1000
1760384629.970618,495784.000,14290,1,BI,1,100,800
1760384630.730647,496544.000,14423,1,BI,1,100,760
1760384630.890653,496704.000,14441,1,BI,1,100,160
1760384631.490676,497304.000,14543,1,BI,1,100,600
1760384632.210704,498024.000,14658,1,BI,1,100,720
1760384632.850728,498664.000,14776,1,BI,1,100,640
1760384633.530754,499344.000,14880,1,BI,1,100,680
1760384634.170778,499984.000,14997,1,BI,1,100,640
1760384634.930807,500744.000,15113,1,BI,1,100,760
1760384636.783878,502597.000,15412,1,BI,1,100,1840
1760384637.623910,503437.000,15558,1,BI,1,100,840
1760384639.984000,505797.000,15943,1,BI,1,100,2360
1760384640.824032,506637.000,16075,1,BI,1,100,840
1760384641.623062,507436.000,16209,1,BI,1,100,800
1760384642.463094,508276.000,16343,1,BI,1,100,840
1760384643.223123,509036.000,16459,1,BI,1,100,760
1760384644.023154,509836.000,16597,1,BI,1,100,800
1760384644.623176,510436.000,16697,1,BI,1,100,600
1760384645.423207,511236.000,16830,1,BI,1,100,800
1760384646.116233,511929.000,16946,1,BI,1,100,680
1760384646.836261,512649.000,17063,1,BI,1,100,720
1760384647.596290,513409.000,17181,1,BI,1,100,760
1760384649.196351,515009.000,17449,1,BI,1,100,1600
1760384649.956380,515769.000,17564,1,BI,1,100,760
1760384650.756410,516569.000,17697,1,BI,1,100,800
1760384651.356433,517169.000,17799,1,BI,1,100,600
1760384652.276468,518089.000,17949,1,BI,1,100,920
1760384653.636520,519449.000,18171,1,BI,1,100,1360
1760384654.516553,520329.000,18320,1,BI,1,100,880
1760384655.795602,521608.000,18520,1,BI,1,100,1280
