LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760384596.257334,462072.000,8759,1,BV,1,100,3.69
1760384601.257524,467072.000,9573,1,BV,1,100,3.68
1760384606.256715,472071.000,10411,1,BV,1,100,3.69
1760384611.256905,477071.000,11229,1,BV,1,100,3.69
1760384616.256096,482070.000,12048,1,BV,1,100,3.69
1760384621.256286,487070.000,12868,1,BV,1,100,3.69
1760384626.255477,492069.000,13686,1,BV,1,100,3.69
1760384631.255667,497069.000,14524,1,BV,1,100,3.68
1760384636.254858,502068.000,15344,1,BV,1,100,3.68
1760384641.255048,507068.000,16159,1,BV,1,100,3.68
1760384646.254239,512067.000,16979,1,BV,1,100,3.69
1760384651.254429,517067.000,17797,1,BV,1,100,3.68
1760384656.253619,522066.000,18621,1,BV,1,100,3.69
1760384661.253810,527066.000,19438,1,BV,1,100,3.68
1760384666.253000,532065.000,20259,1,BV,1,100,3.68
1760384671.253191,537065.000,21095,1,BV,1,100,3.68
1760384676.252381,542064.000,21913,1,BV,1,100,3.69
1760384681.252572,547064.000,22728,1,BV,1,100,3.69
1760384686.251762,552063.000,23547,1,BV,1,100,3.68
1760384691.251953,557063.000,24380,1,BV,1,100,3.68
1760384696.251143,562062.000,25198,1,BV,1,100,3.68
1760384701.251334,567062.000,26002,1,BV,1,100,3.68
1760384706.250524,572061.000,26820,1,BV,1,100,3.68
1760384711.250715,577061.000,27636,1,BV,1,100,3.69
1760384716.249905,582060.000,28451,1,BV,1,100,3.68
1760384721.250096,587060.000,29267,1,BV,1,100,3.68
