LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1760384596.257334,462072.000,8760,1,B%,1,100,44
1760384601.257524,467072.000,9574,1,B%,1,100,43
1760384606.256715,472071.000,10412,1,B%,1,100,44
1760384611.256905,477071.000,11230,1,B%,1,100,44
1760384616.256096,482070.000,12049,1,B%,1,100,43
1760384621.256286,487070.000,12869,1,B%,1,100,44
1760384626.255477,492069.000,13687,1,B%,1,100,44
1760384631.255667,497069.000,14525,1,B%,1,100,43
1760384636.254858,502068.000,15345,1,B%,1,100,43
1760384641.255048,507068.000,16160,1,B%,1,100,43
1760384646.254239,512067.000,16980,1,B%,1,100,44
1760384651.254429,517067.000,17798,1,B%,1,100,43
1760384656.253619,522066.000,18622,1,B%,1,100,44
1760384661.253810,527066.000,19439,1,B%,1,100,43
1760384666.253000,532065.000,20260,1,B%,1,100,43
1760384671.253191,537065.000,21096,1,B%,1,100,43
1760384676.252381,542064.000,21914,1,B%,1,100,44
1760384681.252572,547064.000,22729,1,B%,1,100,44
1760384686.251762,552063.000,23548,1,B%,1,100,42
1760384691.251953,557063.000,24381,1,B%,1,100,43
1760384696.251143,562062.000,25199,1,B%,1,100,42
1760384701.251334,567062.000,26003,1,B%,1,100,43
1760384706.250524,572061.000,26821,1,B%,1,100,43
1760384711.250715,577061.000,27637,1,B%,1,100,43
1760384716.249905,582060.000,28452,1,B%,1,100,43
1760384721.250096,587060.000,29268,1,B%,1,100,43
