LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760384593.440227,459255.000,8284,3,PI,1,100,151335
1760384593.440227,459255.000,8284,3,PI,1,100,151391
1760384593.440227,459255.000,8284,3,PI,1,100,151455
1760384593.480228,459295.000,8301,2,PI,1,100,151437
1760384593.520230,459335.000,8301,2,PI,1,100,151443
1760384593.560231,459375.000,8318,3,PI,1,100,151452
1760384593.600233,459415.000,8318,3,PI,1,100,151446
1760384593.640234,459455.000,8318,3,PI,1,100,151448
1760384593.680236,459495.000,8335,2,PI,1,100,151433
1760384593.720237,459535.000,8335,2,PI,1,100,151447
1760384593.764572,459579.333,8350,3,PI,1,100,151448
1760384593.808907,459623.667,8350,3,PI,1,100,151457
1760384593.853242,459668.000,8350,3,PI,1,100,151468
1760384593.893244,459708.000,8366,2,PI,1,100,151468
1760384593.933245,459748.000,8366,2,PI,1,100,151477
1760384593.973247,459788.000,8383,3,PI,1,100,151480
1760384594.013248,459828.000,8383,3,PI,1,100,151506
1760384594.053250,459868.000,8383,3,PI,1,100,151519
1760384594.093251,459908.000,8400,2,PI,1,100,151508
1760384594.133253,459948.000,8400,2,PI,1,100,151525
1760384594.173254,459988.000,8416,3,PI,1,100,151540
1760384594.213256,460028.000,8416,3,PI,1,100,151538
1760384594.253258,460068.000,8416,3,PI,1,100,151561
1760384594.293259,460108.000,8432,2,PI,1,100,151529
1760384594.333261,460148.000,8432,2,PI,1,100,151520
1760384594.373262,460188.000,8448,3,PI,1,100,151537
1760384594.413264,460228.000,8448,3,PI,1,100,151527
1760384594.453265,460268.000,8448,3,PI,1,100,151555
1760384594.493267,460308.000,8465,2,PI,1,100,151560
1760384594.533268,460348.000,8465,2,PI,1,100,151572
1760384594.573270,460388.000,8482,3,PI,1,100,151572
1760384594.613271,460428.000,8482,3,PI,1,100,151597
1760384594.653273,460468.000,8482,3,PI,1,100,151610
1760384594.693274,460508.000,8497,2,PI,1,100,151642
1760384594.733276,460548.000,8497,2,PI,1,100,151662
1760384594.773277,460588.000,8513,3,PI,1,100,151666
1760384594.813279,460628.000,8513,3,PI,1,100,151685
1760384594.853280,460668.000,8513,3,PI,1,100,151703
1760384594.893282,460708.000,8531,3,PI,1,100,151693
1760384594.933283,460748.000,8531,3,PI,1,100,151673
1760384594.973285,460788.000,8531,3,PI,1,100,151676
1760384595.013286,460828.000,8547,2,PI,1,100,151674
1760384595.053288,460868.000,8547,2,PI,1,100,151671
1760384595.093289,460908.000,8562,3,PI,1,100,151681
1760384595.133291,460948.000,8562,3,PI,1,100,151713
1760384595.173292,460988.000,8562,3,PI,1,100,151708
1760384595.213294,461028.000,8578,2,PI,1,100,151722
1760384595.253295,461068.000,8578,2,PI,1,100,151723
1760384595.293297,461108.000,8596,3,PI,1,100,151735
1760384595.333299,461148.000,8596,3,PI,1,100,151751
1760384595.373300,461188.000,8596,3,PI,1,100,151756
1760384595.413302,461228.000,8612,2,PI,1,100,151783
1760384595.453303,461268.000,8612,2,PI,1,100,151795
1760384595.493305,461308.000,8627,3,PI,1,100,151810
1760384595.533306,461348.000,8627,3,PI,1,100,151804
1760384595.573308,461388.000,8627,3,PI,1,100,151788
1760384595.613309,461428.000,8644,2,PI,1,100,151773
1760384595.653311,461468.000,8644,2,PI,1,100,151786
1760384595.693312,461508.000,8661,3,PI,1,100,151772
1760384595.733314,461548.000,8661,3,PI,1,100,151775
1760384595.773315,461588.000,8661,3,PI,1,100,151799
1760384595.813317,461628.000,8677,2,PI,1,100,151798
1760384595.853318,461668.000,8677,2,PI,1,100,151816
1760384595.893320,461708.000,8694,3,PI,1,100,151822
1760384595.933321,461748.000,8694,3,PI,1,100,151852
1760384595.973323,461788.000,8694,3,PI,1,100,151829
1760384596.013324,461828.000,8709,2,PI,1,100,151844
1760384596.053326,461868.000,8709,2,PI,1,100,151851
1760384596.093328,461908.000,8726,3,PI,1,100,151852
1760384596.133329,461948.000,8726,3,PI,1,100,151853
1760384596.173331,461988.000,8726,3,PI,1,100,151880
1760384596.213332,462028.000,8743,3,PI,1,100,151843
1760384596.253334,462068.000,8743,3,PI,1,100,151859
1760384596.293335,462108.000,8743,3,PI,1,100,151855
1760384596.333337,462148.000,8762,2,PI,1,100,151832
1760384596.373338,462188.000,8762,2,PI,1,100,151821
1760384596.413340,462228.000,8776,3,PI,1,100,151838
1760384596.453341,462268.000,8776,3,PI,1,100,151833
1760384596.493343,462308.000,8776,3,PI,1,100,151810
1760384596.533344,462348.000,8793,2,PI,1,100,151822
1760384596.573346,462388.000,8793,2,PI,1,100,151834
1760384596.613347,462428.000,8812,3,PI,1,100,151850
1760384596.653349,462468.000,8812,3,PI,1,100,151845
1760384596.693350,462508.000,8812,3,PI,1,100,151844
1760384596.733352,462548.000,8829,2,PI,1,100,151849
1760384596.773353,462588.000,8829,2,PI,1,100,151865
1760384596.813355,462628.000,8843,3,PI,1,100,151873
1760384596.853357,462668.000,8843,3,PI,1,100,151883
1760384596.893358,462708.000,8843,3,PI,1,100,151888
1760384596.933360,462748.000,8861,2,PI,1,100,151896
1760384596.973361,462788.000,8861,2,PI,1,100,151901
1760384597.013363,462828.000,8877,3,PI,1,100,151879
1760384597.053364,462868.000,8877,3,PI,1,100,151895
1760384597.093366,462908.000,8877,3,PI,1,100,151883
1760384597.133367,462948.000,8894,2,PI,1,100,151902
1760384597.173369,462988.000,8894,2,PI,1,100,151886
1760384597.213370,463028.000,8914,3,PI,1,100,151900
1760384597.253372,463068.000,8914,3,PI,1,100,151909
1760384597.293373,463108.000,8914,3,PI,1,100,151905
1760384597.333375,463148.000,8931,3,PI,1,100,151932
1760384597.373376,463188.000,8931,3,PI,1,100,151940
1760384597.413378,463228.000,8931,3,PI,1,100,151949
1760384597.453379,463268.000,8947,2,PI,1,100,151948
1760384597.493381,463308.000,8947,2,PI,1,100,151966
1760384597.533049,463347.667,8964,3,PI,1,100,151973
1760384597.572717,463387.333,8964,3,PI,1,100,151965
1760384597.612386,463427.000,8964,3,PI,1,100,151994
1760384597.652887,463467.500,8979,2,PI,1,100,151998
1760384597.693388,463508.000,8979,2,PI,1,100,152024
1760384597.733390,463548.000,8996,3,PI,1,100,152014
1760384597.773391,463588.000,8996,3,PI,1,100,152003
1760384597.813393,463628.000,8996,3,PI,1,100,151988
1760384597.853395,463668.000,9012,2,PI,1,100,151985
1760384597.893396,463708.000,9012,2,PI,1,100,151987
1760384597.933064,463747.667,9032,3,PI,1,100,151993
1760384597.972733,463787.333,9032,3,PI,1,100,152007
1760384598.012401,463827.000,9032,3,PI,1,100,152012
1760384598.052402,463867.000,9047,2,PI,1,100,152019
1760384598.092404,463907.000,9047,2,PI,1,100,152024
1760384598.132405,463947.000,9063,3,PI,1,100,152019
1760384598.172407,463987.000,9063,3,PI,1,100,152017
1760384598.212408,464027.000,9063,3,PI,1,100,152011
1760384598.252410,464067.000,9080,2,PI,1,100,152020
1760384598.292411,464107.000,9080,2,PI,1,100,152033
1760384598.332413,464147.000,9097,3,PI,1,100,152058
1760384598.372414,464187.000,9097,3,PI,1,100,152057
1760384598.412416,464227.000,9097,3,PI,1,100,152062
1760384598.452417,464267.000,9113,2,PI,1,100,152061
1760384598.492419,464307.000,9113,2,PI,1,100,152061
1760384598.532420,464347.000,9129,3,PI,1,100,152024
1760384598.572422,464387.000,9129,3,PI,1,100,152023
1760384598.612423,464427.000,9129,3,PI,1,100,152012
1760384598.652425,464467.000,9145,3,PI,1,100,152015
1760384598.692426,464507.000,9145,3,PI,1,100,152005
1760384598.732428,464547.000,9145,3,PI,1,100,152017
1760384598.772430,464587.000,9162,2,PI,1,100,152007
1760384598.812431,464627.000,9162,2,PI,1,100,152004
1760384598.852766,464667.333,9178,3,PI,1,100,152010
1760384598.893101,464707.667,9178,3,PI,1,100,151993
1760384598.933436,464748.000,9178,3,PI,1,100,152009
1760384598.972937,464787.500,9194,2,PI,1,100,152015
1760384599.012439,464827.000,9194,2,PI,1,100,152017
1760384599.052440,464867.000,9212,3,PI,1,100,152038
1760384599.092442,464907.000,9212,3,PI,1,100,152039
1760384599.132443,464947.000,9212,3,PI,1,100,152023
1760384599.172445,464987.000,9229,2,PI,1,100,152037
1760384599.212446,465027.000,9229,2,PI,1,100,152033
1760384599.252448,465067.000,9246,3,PI,1,100,152012
1760384599.292449,465107.000,9246,3,PI,1,100,152004
1760384599.332451,465147.000,9246,3,PI,1,100,152027
1760384599.372452,465187.000,9261,2,PI,1,100,152031
1760384599.412454,465227.000,9261,2,PI,1,100,152031
1760384599.452456,465267.000,9277,3,PI,1,100,152031
1760384599.492457,465307.000,9277,3,PI,1,100,152023
1760384599.532459,465347.000,9277,3,PI,1,100,152056
1760384599.572460,465387.000,9295,2,PI,1,100,152033
1760384599.612462,465427.000,9295,2,PI,1,100,152043
1760384599.652463,465467.000,9311,3,PI,1,100,152067
1760384599.692465,465507.000,9311,3,PI,1,100,152095
1760384599.732466,465547.000,9311,3,PI,1,100,152087
1760384599.772468,465587.000,9326,2,PI,1,100,152104
