LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760384593.625233,459440.000,8317,1,SF,1,100,16.7728
1760384594.025249,459840.000,8382,1,SF,1,100,16.5788
1760384594.358261,460173.000,8431,1,SF,1,100,16.3870
1760384594.625272,460440.000,8481,1,SF,1,100,16.1974
1760384594.958284,460773.000,8530,1,SF,1,100,16.0101
1760384595.358299,461173.000,8595,1,SF,1,100,15.8249
1760384595.625310,461440.000,8643,1,SF,1,100,15.6418
1760384595.958322,461773.000,8693,1,SF,1,100,15.4608
1760384596.291335,462106.000,8742,1,SF,1,100,15.2820
1760384596.691350,462506.000,8811,1,SF,1,100,15.1052
1760384596.958360,462773.000,8860,1,SF,1,100,14.9305
1760384597.291373,463106.000,8913,1,SF,1,100,14.7578
1760384597.691388,463506.000,8978,1,SF,1,100,14.5870
1760384597.958399,463773.000,9031,1,SF,1,100,14.4183
1760384598.291411,464106.000,9079,1,SF,1,100,14.2515
1760384598.624424,464439.000,9128,1,SF,1,100,14.0866
1760384599.024439,464839.000,9193,1,SF,1,100,13.9237
1760384599.291449,465106.000,9245,1,SF,1,100,13.7626
1760384599.624462,465439.000,9294,1,SF,1,100,13.6034
1760384600.024477,465839.000,9359,1,SF,1,100,13.4460
1760384600.291487,466106.000,9409,1,SF,1,100,13.2905
1760384600.624500,466439.000,9459,1,SF,1,100,13.1368
1760384600.958513,466773.000,9508,1,SF,1,100,12.9848
1760384601.357528,467172.000,9575,1,SF,1,100,12.8346
1760384601.624538,467439.000,9626,1,SF,1,100,12.6861
1760384601.957551,467772.000,9676,1,SF,1,100,12.5394
1760384602.357566,468172.000,9746,1,SF,1,100,12.3943
1760384602.691579,468506.000,9799,1,SF,1,100,12.2509
1760384602.957589,468772.000,9847,1,SF,1,100,12.1092
1760384603.291602,469106.000,9896,1,SF,1,100,11.9691
1760384603.691617,469506.000,9963,1,SF,1,100,11.8307
1760384603.957627,469772.000,10015,1,SF,1,100,11.6938
1760384604.291640,470106.000,10064,1,SF,1,100,11.5585
1760384604.690655,470505.000,10129,1,SF,1,100,11.4248
1760384605.024668,470839.000,10177,1,SF,1,100,11.2927
1760384605.290678,471105.000,10228,1,SF,1,100,11.1620
1760384605.624691,471439.000,10276,1,SF,1,100,11.0329
1760384606.024706,471839.000,10343,1,SF,1,100,10.9053
1760384606.291716,472106.000,10394,1,SF,1,100,10.7791
1760384606.624729,472439.000,10445,1,SF,1,100,10.6544
1760384606.957741,472772.000,10497,1,SF,1,100,10.5312
1760384607.357757,473172.000,10562,1,SF,1,100,10.4093
1760384607.624767,473439.000,10615,1,SF,1,100,10.2889
1760384607.957780,473772.000,10668,1,SF,1,100,10.1699
1760384608.290792,474105.000,10716,1,SF,1,100,10.0523
1760384608.690808,474505.000,10783,1,SF,1,100,9.9360
1760384608.957818,474772.000,10832,1,SF,1,100,9.8210
1760384609.290830,475105.000,10880,1,SF,1,100,9.7074
1760384609.690845,475505.000,10947,1,SF,1,100,9.5951
1760384609.957856,475772.000,10998,1,SF,1,100,9.4841
1760384610.290869,476105.000,11048,1,SF,1,100,9.3744
1760384610.623881,476438.000,11097,1,SF,1,100,9.2660
1760384611.023896,476838.000,11164,1,SF,1,100,9.1588
1760384611.290906,477105.000,11214,1,SF,1,100,9.0528
1760384611.623919,477438.000,11267,1,SF,1,100,8.9481
1760384612.023934,477838.000,11332,1,SF,1,100,8.8446
1760384612.356947,478171.000,11380,1,SF,1,100,8.7423
1760384612.623957,478438.000,11438,1,SF,1,100,8.6412
1760384612.956970,478771.000,11486,1,SF,1,100,8.5412
