LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760384593.352223,459167.000,8289,1,T1,1,100,31.966
1760384593.485228,459300.000,8306,1,T1,1,100,31.985
1760384593.618233,459433.000,8323,1,T1,1,100,31.994
1760384593.752238,459567.000,8340,1,T1,1,100,32.033
1760384593.885243,459700.000,8371,1,T1,1,100,32.156
1760384594.018249,459833.000,8388,1,T1,1,100,32.067
1760384594.151253,459966.000,8405,1,T1,1,100,32.100
1760384594.285259,460100.000,8437,1,T1,1,100,31.972
1760384594.418264,460233.000,8453,1,T1,1,100,31.917
1760384594.551269,460366.000,8470,1,T1,1,100,32.000
1760384594.685274,460500.000,8502,1,T1,1,100,32.035
1760384594.818279,460633.000,8518,1,T1,1,100,32.051
1760384594.951284,460766.000,8536,1,T1,1,100,32.022
1760384595.085289,460900.000,8567,1,T1,1,100,32.045
1760384595.218294,461033.000,8583,1,T1,1,100,31.949
1760384595.351299,461166.000,8601,1,T1,1,100,32.013
1760384595.485304,461300.000,8632,1,T1,1,100,31.935
1760384595.618309,461433.000,8649,1,T1,1,100,32.043
1760384595.751314,461566.000,8666,1,T1,1,100,32.089
1760384595.885320,461700.000,8682,1,T1,1,100,32.003
1760384596.018325,461833.000,8714,1,T1,1,100,32.001
1760384596.151330,461966.000,8731,1,T1,1,100,32.001
1760384596.285335,462100.000,8748,1,T1,1,100,32.000
1760384596.418340,462233.000,8781,1,T1,1,100,32.071
1760384596.551345,462366.000,8798,1,T1,1,100,32.031
1760384596.684350,462499.000,8817,1,T1,1,100,31.978
1760384596.818355,462633.000,8848,1,T1,1,100,32.026
1760384596.951360,462766.000,8866,1,T1,1,100,32.082
1760384597.084365,462899.000,8882,1,T1,1,100,32.071
1760384597.218370,463033.000,8919,1,T1,1,100,32.173
1760384597.351376,463166.000,8936,1,T1,1,100,32.110
1760384597.484380,463299.000,8952,1,T1,1,100,32.012
1760384597.618386,463433.000,8984,1,T1,1,100,32.112
1760384597.751391,463566.000,9001,1,T1,1,100,32.119
1760384597.884396,463699.000,9017,1,T1,1,100,32.087
1760384598.018401,463833.000,9037,1,T1,1,100,32.002
1760384598.151406,463966.000,9068,1,T1,1,100,32.072
1760384598.284411,464099.000,9085,1,T1,1,100,31.996
1760384598.418416,464233.000,9102,1,T1,1,100,31.998
1760384598.551421,464366.000,9134,1,T1,1,100,31.999
1760384598.684426,464499.000,9150,1,T1,1,100,31.929
1760384598.818431,464633.000,9167,1,T1,1,100,32.005
1760384598.951437,464766.000,9199,1,T1,1,100,31.967
1760384599.084441,464899.000,9217,1,T1,1,100,31.986
1760384599.218446,465033.000,9234,1,T1,1,100,32.100
1760384599.351452,465166.000,9266,1,T1,1,100,32.079
1760384599.484457,465299.000,9282,1,T1,1,100,32.034
1760384599.617462,465432.000,9300,1,T1,1,100,32.050
1760384599.751467,465566.000,9331,1,T1,1,100,32.022
1760384599.884472,465699.000,9347,1,T1,1,100,31.974
1760384600.017477,465832.000,9365,1,T1,1,100,32.024
1760384600.151482,465966.000,9381,1,T1,1,100,32.046
1760384600.284487,466099.000,9415,1,T1,1,100,32.020
1760384600.417492,466232.000,9432,1,T1,1,100,32.044
1760384600.551497,466366.000,9448,1,T1,1,100,31.984
1760384600.684502,466499.000,9480,1,T1,1,100,31.993
1760384600.817508,466632.000,9497,1,T1,1,100,32.068
1760384600.951513,466766.000,9514,1,T1,1,100,32.065
1760384601.084518,466899.000,9545,1,T1,1,100,31.993
1760384601.217523,467032.000,9562,1,T1,1,100,32.068
1760384601.351528,467166.000,9581,1,T1,1,100,32.065
1760384601.484533,467299.000,9614,1,T1,1,100,31.993
1760384601.617538,467432.000,9632,1,T1,1,100,32.103
1760384601.751543,467566.000,9648,1,T1,1,100,32.080
1760384601.884548,467699.000,9682,1,T1,1,100,31.999
1760384602.017553,467832.000,9699,1,T1,1,100,32.035
