LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760384593.366224,459181.000,8290,1,TH,1,100,31.181
1760384593.500229,459315.000,8307,1,TH,1,100,31.028
1760384593.633234,459448.000,8324,1,TH,1,100,31.035
1760384593.766239,459581.000,8355,1,TH,1,100,31.105
1760384593.900244,459715.000,8372,1,TH,1,100,31.105
1760384594.033249,459848.000,8389,1,TH,1,100,31.091
1760384594.166254,459981.000,8406,1,TH,1,100,31.091
1760384594.300259,460115.000,8438,1,TH,1,100,31.084
1760384594.433264,460248.000,8454,1,TH,1,100,31.076
1760384594.566269,460381.000,8471,1,TH,1,100,31.079
1760384594.699275,460514.000,8503,1,TH,1,100,31.079
1760384594.833280,460648.000,8519,1,TH,1,100,31.057
1760384594.966285,460781.000,8537,1,TH,1,100,31.064
1760384595.099290,460914.000,8568,1,TH,1,100,31.017
1760384595.233295,461048.000,8584,1,TH,1,100,31.010
1760384595.366300,461181.000,8602,1,TH,1,100,30.952
1760384595.500305,461315.000,8633,1,TH,1,100,30.959
1760384595.633310,461448.000,8650,1,TH,1,100,31.069
1760384595.766315,461581.000,8667,1,TH,1,100,31.069
1760384595.899320,461714.000,8699,1,TH,1,100,31.135
1760384596.033325,461848.000,8715,1,TH,1,100,31.128
1760384596.166330,461981.000,8732,1,TH,1,100,31.049
1760384596.299335,462114.000,8749,1,TH,1,100,31.049
1760384596.433341,462248.000,8782,1,TH,1,100,31.118
1760384596.566345,462381.000,8799,1,TH,1,100,31.118
1760384596.699351,462514.000,8818,1,TH,1,100,31.005
1760384596.833356,462648.000,8849,1,TH,1,100,31.005
1760384596.966361,462781.000,8867,1,TH,1,100,31.152
1760384597.099366,462914.000,8883,1,TH,1,100,31.152
1760384597.233371,463048.000,8920,1,TH,1,100,31.067
1760384597.366376,463181.000,8937,1,TH,1,100,31.067
1760384597.499381,463314.000,8953,1,TH,1,100,31.079
1760384597.633386,463448.000,8985,1,TH,1,100,31.079
1760384597.766391,463581.000,9002,1,TH,1,100,31.030
1760384597.899396,463714.000,9018,1,TH,1,100,31.030
1760384598.033401,463848.000,9052,1,TH,1,100,31.018
1760384598.166407,463981.000,9069,1,TH,1,100,31.018
1760384598.299412,464114.000,9086,1,TH,1,100,31.081
1760384598.432417,464247.000,9103,1,TH,1,100,31.081
1760384598.566422,464381.000,9135,1,TH,1,100,31.049
1760384598.699427,464514.000,9151,1,TH,1,100,31.049
1760384598.832432,464647.000,9168,1,TH,1,100,31.101
1760384598.966437,464781.000,9200,1,TH,1,100,31.101
