RD,TS_received,TS_sent,AK,RoundTrip,
463071,463096,2025-10-13_15-43-17-263525,463097,25,
468176,468201,2025-10-13_15-43-22-372755,468202,25,
473285,473299,2025-10-13_15-43-27-477848,473300,14,
478415,478428,2025-10-13_15-43-32-607457,478429,13,
483522,483535,2025-10-13_15-43-37-714071,483536,13,
488659,488674,2025-10-13_15-43-42-856174,488675,15,
493767,493778,2025-10-13_15-43-47-959882,493780,11,
498900,498932,2025-10-13_15-43-53-093032,498933,32,
504011,504060,2025-10-13_15-43-58-212446,504064,49,
509120,509158,2025-10-13_15-44-03-333630,509159,38,
514226,514254,2025-10-13_15-44-08-435100,514255,28,
519334,519376,2025-10-13_15-44-13-534950,519377,42,
524442,524456,2025-10-13_15-44-18-637752,524458,14,
529568,529578,2025-10-13_15-44-23-759798,529582,10,
534677,534689,2025-10-13_15-44-28-871643,534691,12,
539783,539798,2025-10-13_15-44-33-975391,539799,15,
544915,544932,2025-10-13_15-44-39-106633,544933,17,
550022,550040,2025-10-13_15-44-44-221795,550042,18,
555160,555175,2025-10-13_15-44-49-356381,555179,15,
560267,560285,2025-10-13_15-44-54-463169,560286,18,
565379,570490,2025-10-13_15-44-59-577118,570491,5111,
570494,570543,2025-10-13_15-45-04-719976,570545,49,
575597,575651,2025-10-13_15-45-09-824710,575652,54,
580705,580746,2025-10-13_15-45-14-926161,580750,41,
585817,585852,2025-10-13_15-45-20-032421,585857,35,
