LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760384361.993595,227805,35340,2,AK,1,100,34511,RD
1760384362.015594,227827,35343,2,AK,1,100,35341,RD
1760384367.113503,232925,36208,2,AK,1,100,35341,RD
1760384367.129502,232941,36211,2,AK,1,100,36209,RD
1760384372.227410,238039,37081,2,AK,1,100,36209,RD
1760384372.241410,238053,37084,2,AK,1,100,37082,RD
1760384377.340318,243152,37940,2,AK,1,100,37082,RD
1760384377.400317,243212,37943,2,AK,1,100,37941,RD
1760384382.451226,248263,38804,2,AK,1,100,37941,RD
1760384382.510225,248322,38807,2,AK,1,100,38805,RD
1760384387.563134,253375,39665,2,AK,1,100,38805,RD
1760384387.589134,253401,39668,2,AK,1,100,39666,RD
1760384392.678042,258490,40518,2,AK,1,100,39666,RD
1760384392.693042,258505,40521,2,AK,1,100,40519,RD
1760384397.799950,263612,41370,2,AK,1,100,40519,RD
1760384397.811950,263624,41373,2,AK,1,100,41371,RD
1760384402.906858,268719,42230,2,AK,1,100,41371,RD
1760384402.968857,268781,42233,2,AK,1,100,42231,RD
1760384408.027766,273840,43092,2,AK,1,100,42231,RD
1760384408.041765,273854,43095,2,AK,1,100,43093,RD
1760384413.146673,278959,43946,2,AK,1,100,43093,RD
1760384413.162673,278975,43949,2,AK,1,100,43947,RD
1760384418.256582,284069,44797,2,AK,1,100,43947,RD
1760384418.279581,284092,44800,2,AK,1,100,44798,RD
1760384423.379489,289192,45645,2,AK,1,100,44798,RD
1760384423.397489,289210,45648,2,AK,1,100,45646,RD
1760384428.502397,294315,46498,2,AK,1,100,45646,RD
1760384428.516397,294329,46501,2,AK,1,100,46499,RD
1760384433.620305,299433,47359,2,AK,1,100,46499,RD
1760384433.634305,299447,47362,2,AK,1,100,47360,RD
1760384438.751213,304564,48214,2,AK,1,100,47360,RD
1760384438.766212,304579,48217,2,AK,1,100,48215,RD
1760384443.873120,309686,49065,2,AK,1,100,48215,RD
1760384443.890120,309703,49068,2,AK,1,100,49066,RD
1760384448.994028,314807,49918,2,AK,1,100,49066,RD
1760384449.009028,314822,49921,2,AK,1,100,49919,RD
1760384454.108936,319922,50773,2,AK,1,100,49919,RD
1760384454.123936,319937,50776,2,AK,1,100,50774,RD
1760384459.229844,325043,51628,2,AK,1,100,50774,RD
1760384459.284843,325098,51631,2,AK,1,100,51629,RD
1760384464.343752,330157,52480,2,AK,1,100,51629,RD
1760384464.395751,330209,52483,2,AK,1,100,52481,RD
1760384469.462660,335276,53342,2,AK,1,100,52481,RD
1760384469.487659,335301,53345,2,AK,1,100,53343,RD
1760384474.575567,340389,54201,2,AK,1,100,53343,RD
1760384474.601567,340415,54204,2,AK,1,100,54202,RD
1760384479.688475,345502,55057,2,AK,1,100,54202,RD
1760384479.708475,345522,55060,2,AK,1,100,55058,RD
1760384484.806383,350620,55914,2,AK,1,100,55058,RD
1760384484.818383,350632,55917,2,AK,1,100,55915,RD
