LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1760384361.284607,227096.000,35233,1,BV,1,100,3.70
1760384366.284517,232096.000,36084,1,BV,1,100,3.70
1760384371.283427,237095.000,36941,1,BV,1,100,3.70
1760384376.282337,242094.000,37763,1,BV,1,100,3.71
1760384381.282247,247094.000,38614,1,BV,1,100,3.70
1760384386.281157,252093.000,39459,1,BV,1,100,3.70
1760384391.281067,257093.000,40296,1,BV,1,100,3.70
1760384396.279977,262092.000,41132,1,BV,1,100,3.70
1760384401.279887,267092.000,41968,1,BV,1,100,3.70
1760384406.278797,272091.000,42816,1,BV,1,100,3.70
1760384411.278707,277091.000,43639,1,BV,1,100,3.70
1760384416.277617,282090.000,44473,1,BV,1,100,3.69
1760384421.277527,287090.000,45303,1,BV,1,100,3.69
1760384426.276437,292089.000,46143,1,BV,1,100,3.70
1760384431.276347,297089.000,46979,1,BV,1,100,3.69
1760384436.275257,302088.000,47822,1,BV,1,100,3.69
1760384441.275167,307088.000,48640,1,BV,1,100,3.69
1760384446.274077,312087.000,49477,1,BV,1,100,3.69
1760384451.273987,317087.000,50311,1,BV,1,100,3.69
1760384456.273897,322087.000,51149,1,BV,1,100,3.69
1760384461.272807,327086.000,51989,1,BV,1,100,3.69
1760384466.271717,332085.000,52810,1,BV,1,100,3.69
1760384471.271627,337085.000,53654,1,BV,1,100,3.69
1760384476.270537,342084.000,54498,1,BV,1,100,3.69
1760384481.270447,347084.000,55332,1,BV,1,100,3.69
1760384486.269357,352083.000,56175,1,BV,1,100,3.69
