LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1760384359.412641,225224.000,34905,1,GY,1,100,203.094
1760384359.452640,225264.000,34921,2,GY,1,100,152.954
1760384359.492640,225304.000,34921,2,GY,1,100,142.059
1760384359.528306,225339.667,34938,3,GY,1,100,137.573
1760384359.563972,225375.333,34938,3,GY,1,100,116.669
1760384359.599638,225411.000,34938,3,GY,1,100,61.523
1760384359.639637,225451.000,34955,3,GY,1,100,-32.806
1760384359.679636,225491.000,34955,3,GY,1,100,-149.872
1760384359.719635,225531.000,34955,3,GY,1,100,-229.797
1760384359.759635,225571.000,34972,2,GY,1,100,-188.751
1760384359.799634,225611.000,34972,2,GY,1,100,-156.311
1760384359.839633,225651.000,34988,3,GY,1,100,-188.507
1760384359.879633,225691.000,34988,3,GY,1,100,-199.249
1760384359.919632,225731.000,34988,3,GY,1,100,-151.001
1760384359.959631,225771.000,35006,2,GY,1,100,-105.316
1760384359.999630,225811.000,35006,2,GY,1,100,-69.305
1760384360.039630,225851.000,35022,3,GY,1,100,33.020
1760384360.079629,225891.000,35022,3,GY,1,100,173.462
1760384360.119628,225931.000,35022,3,GY,1,100,230.194
1760384360.159628,225971.000,35039,2,GY,1,100,116.852
1760384360.199627,226011.000,35039,2,GY,1,100,43.488
1760384360.239626,226051.000,35056,3,GY,1,100,74.341
1760384360.279625,226091.000,35056,3,GY,1,100,44.495
1760384360.319625,226131.000,35056,3,GY,1,100,37.201
1760384360.359624,226171.000,35073,2,GY,1,100,108.795
1760384360.399623,226211.000,35073,2,GY,1,100,98.755
1760384360.439623,226251.000,35089,3,GY,1,100,29.968
1760384360.479622,226291.000,35089,3,GY,1,100,-53.497
1760384360.519621,226331.000,35089,3,GY,1,100,-142.029
1760384360.559620,226371.000,35106,3,GY,1,100,-169.586
1760384360.599620,226411.000,35106,3,GY,1,100,-167.633
1760384360.639619,226451.000,35106,3,GY,1,100,-142.395
1760384360.679618,226491.000,35125,2,GY,1,100,-108.521
1760384360.719618,226531.000,35125,2,GY,1,100,-78.766
1760384360.759617,226571.000,35142,3,GY,1,100,-74.127
1760384360.799616,226611.000,35142,3,GY,1,100,-26.123
1760384360.839615,226651.000,35142,3,GY,1,100,99.823
1760384360.879615,226691.000,35158,2,GY,1,100,212.677
1760384360.919614,226731.000,35158,2,GY,1,100,202.332
1760384360.959613,226771.000,35176,3,GY,1,100,107.300
1760384360.999613,226811.000,35176,3,GY,1,100,129.272
1760384361.039612,226851.000,35176,3,GY,1,100,138.611
1760384361.079611,226891.000,35194,2,GY,1,100,70.770
1760384361.119610,226931.000,35194,2,GY,1,100,49.805
1760384361.159610,226971.000,35212,3,GY,1,100,48.065
1760384361.199609,227011.000,35212,3,GY,1,100,-8.026
1760384361.239608,227051.000,35212,3,GY,1,100,-113.770
1760384361.279608,227091.000,35228,2,GY,1,100,-195.587
1760384361.319607,227131.000,35228,2,GY,1,100,-182.129
1760384361.359606,227171.000,35247,3,GY,1,100,-138.733
1760384361.399605,227211.000,35247,3,GY,1,100,-130.188
1760384361.439605,227251.000,35247,3,GY,1,100,-137.329
1760384361.479604,227291.000,35267,2,GY,1,100,-124.115
1760384361.519603,227331.000,35267,2,GY,1,100,-108.673
1760384361.559602,227371.000,35285,3,GY,1,100,-93.414
1760384361.599602,227411.000,35285,3,GY,1,100,8.942
1760384361.639601,227451.000,35285,3,GY,1,100,115.570
1760384361.679600,227491.000,35299,2,GY,1,100,84.442
1760384361.719599,227531.000,35299,2,GY,1,100,-52.490
1760384361.759599,227571.000,35316,3,GY,1,100,-148.224
1760384361.799598,227611.000,35316,3,GY,1,100,-49.042
1760384361.839597,227651.000,35316,3,GY,1,100,83.282
1760384361.879597,227691.000,35334,3,GY,1,100,93.018
1760384361.919596,227731.000,35334,3,GY,1,100,4.761
1760384361.959595,227771.000,35334,3,GY,1,100,-46.478
1760384361.999594,227811.000,35359,3,GY,1,100,-18.738
1760384362.039594,227851.000,35359,3,GY,1,100,35.736
1760384362.079593,227891.000,35359,3,GY,1,100,-24.384
1760384362.119592,227931.000,35375,3,GY,1,100,-19.562
1760384362.159592,227971.000,35375,3,GY,1,100,47.455
1760384362.199591,228011.000,35375,3,GY,1,100,48.218
1760384362.239590,228051.000,35390,2,GY,1,100,13.306
1760384362.279589,228091.000,35390,2,GY,1,100,-33.051
1760384362.319589,228131.000,35409,3,GY,1,100,-57.007
1760384362.359588,228171.000,35409,3,GY,1,100,-36.499
1760384362.399587,228211.000,35409,3,GY,1,100,-63.263
1760384362.439587,228251.000,35426,2,GY,1,100,-154.663
1760384362.479586,228291.000,35426,2,GY,1,100,-130.463
1760384362.519585,228331.000,35444,3,GY,1,100,82.611
1760384362.559584,228371.000,35444,3,GY,1,100,155.518
1760384362.599584,228411.000,35444,3,GY,1,100,141.724
1760384362.639583,228451.000,35460,2,GY,1,100,144.135
1760384362.679582,228491.000,35460,2,GY,1,100,162.537
1760384362.719582,228531.000,35478,3,GY,1,100,187.408
1760384362.759581,228571.000,35478,3,GY,1,100,137.939
1760384362.799580,228611.000,35478,3,GY,1,100,27.008
1760384362.839579,228651.000,35495,2,GY,1,100,-109.039
1760384362.879579,228691.000,35495,2,GY,1,100,-213.104
1760384362.919578,228731.000,35514,3,GY,1,100,-206.665
1760384362.959577,228771.000,35514,3,GY,1,100,-206.818
1760384362.999577,228811.000,35514,3,GY,1,100,-201.660
1760384363.039576,228851.000,35530,2,GY,1,100,-162.354
1760384363.079575,228891.000,35530,2,GY,1,100,-68.451
1760384363.119574,228931.000,35547,3,GY,1,100,73.883
1760384363.159574,228971.000,35547,3,GY,1,100,149.292
1760384363.199573,229011.000,35547,3,GY,1,100,217.285
1760384363.234905,229046.333,35564,3,GY,1,100,178.802
1760384363.270238,229081.667,35564,3,GY,1,100,95.459
1760384363.305571,229117.000,35564,3,GY,1,100,101.440
1760384363.345570,229157.000,35581,2,GY,1,100,124.939
1760384363.385570,229197.000,35581,2,GY,1,100,128.693
1760384363.425569,229237.000,35600,3,GY,1,100,88.348
1760384363.465568,229277.000,35600,3,GY,1,100,-27.649
1760384363.505567,229317.000,35600,3,GY,1,100,-101.807
1760384363.545567,229357.000,35614,2,GY,1,100,-164.978
1760384363.585566,229397.000,35614,2,GY,1,100,-223.724
1760384363.625565,229437.000,35632,3,GY,1,100,-207.550
1760384363.665565,229477.000,35632,3,GY,1,100,-139.557
1760384363.705564,229517.000,35632,3,GY,1,100,-71.167
1760384363.745563,229557.000,35650,3,GY,1,100,-62.653
1760384363.785562,229597.000,35650,3,GY,1,100,-72.235
1760384363.825562,229637.000,35650,3,GY,1,100,-12.512
1760384363.865561,229677.000,35669,2,GY,1,100,162.323
1760384363.905560,229717.000,35669,2,GY,1,100,307.556
1760384363.945560,229757.000,35684,3,GY,1,100,260.834
1760384363.985559,229797.000,35684,3,GY,1,100,133.087
1760384364.025558,229837.000,35684,3,GY,1,100,102.570
1760384364.065557,229877.000,35703,2,GY,1,100,81.451
1760384364.105556,229917.000,35703,2,GY,1,100,27.557
1760384364.145556,229957.000,35721,3,GY,1,100,39.307
1760384364.185555,229997.000,35721,3,GY,1,100,-6.500
1760384364.225554,230037.000,35721,3,GY,1,100,-66.101
1760384364.265554,230077.000,35739,2,GY,1,100,-94.177
1760384364.305553,230117.000,35739,2,GY,1,100,-191.345
1760384364.345552,230157.000,35753,3,GY,1,100,-218.262
1760384364.385551,230197.000,35753,3,GY,1,100,-228.119
1760384364.425551,230237.000,35753,3,GY,1,100,-177.246
1760384364.465550,230277.000,35772,2,GY,1,100,-72.968
1760384364.505549,230317.000,35772,2,GY,1,100,-3.113
1760384364.545549,230357.000,35788,3,GY,1,100,70.618
1760384364.585548,230397.000,35788,3,GY,1,100,195.770
1760384364.625547,230437.000,35788,3,GY,1,100,283.295
1760384364.665546,230477.000,35806,2,GY,1,100,219.696
1760384364.705546,230517.000,35806,2,GY,1,100,72.388
1760384364.745545,230557.000,35820,3,GY,1,100,64.392
1760384364.785544,230597.000,35820,3,GY,1,100,76.508
1760384364.825544,230637.000,35820,3,GY,1,100,23.987
1760384364.865543,230677.000,35839,2,GY,1,100,7.690
1760384364.905542,230717.000,35839,2,GY,1,100,11.658
1760384364.945541,230757.000,35858,3,GY,1,100,12.939
1760384364.985541,230797.000,35858,3,GY,1,100,-68.115
1760384365.025540,230837.000,35858,3,GY,1,100,-233.795
1760384365.065539,230877.000,35875,3,GY,1,100,-237.457
1760384365.105539,230917.000,35875,3,GY,1,100,-193.665
1760384365.145538,230957.000,35875,3,GY,1,100,-127.594
1760384365.185537,230997.000,35892,2,GY,1,100,-76.935
1760384365.225536,231037.000,35892,2,GY,1,100,-49.377
1760384365.265536,231077.000,35911,3,GY,1,100,21.271
1760384365.305535,231117.000,35911,3,GY,1,100,119.751
1760384365.345534,231157.000,35911,3,GY,1,100,155.243
1760384365.385534,231197.000,35927,2,GY,1,100,109.589
1760384365.425533,231237.000,35927,2,GY,1,100,126.282
1760384365.465532,231277.000,35944,3,GY,1,100,112.946
1760384365.505531,231317.000,35944,3,GY,1,100,5.615
1760384365.545531,231357.000,35944,3,GY,1,100,-3.052
1760384365.585530,231397.000,35961,2,GY,1,100,42.999
1760384365.625529,231437.000,35961,2,GY,1,100,39.520
1760384365.665529,231477.000,35978,3,GY,1,100,-3.448
1760384365.705528,231517.000,35978,3,GY,1,100,-87.830
1760384365.745527,231557.000,35978,3,GY,1,100,-222.778
1760384365.785526,231597.000,35994,2,GY,1,100,-184.357
1760384365.825526,231637.000,35994,2,GY,1,100,-91.919
1760384365.865525,231677.000,36011,3,GY,1,100,-90.088
