LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760384359.999630,225811.000,34995,1,HR,1,100,121.67
1760384360.759617,226571.000,35132,1,HR,1,100,112.17
1760384361.159610,226971.000,35201,1,HR,1,100,120.58
1760384361.519603,227331.000,35253,1,HR,1,100,130.82
1760384362.039594,227851.000,35346,1,HR,1,100,127.39
1760384362.599584,228411.000,35432,1,HR,1,100,122.89
1760384362.999577,228811.000,35501,1,HR,1,100,128.92
1760384363.519567,229331.000,35588,1,HR,1,100,125.91
1760384363.759563,229571.000,35638,1,HR,1,100,153.49
1760384364.212555,230024.000,35709,1,HR,1,100,149.68
1760384364.492550,230304.000,35760,1,HR,1,100,164.04
1760384364.972541,230784.000,35845,1,HR,1,100,155.36
1760384365.212537,231024.000,35881,1,HR,1,100,176.39
1760384365.732527,231544.000,35968,1,HR,1,100,162.84
1760384366.412515,232224.000,36087,1,HR,1,100,146.26
1760384366.652511,232464.000,36120,1,HR,1,100,169.31
1760384367.132502,232944.000,36214,1,HR,1,100,159.46
1760384367.412497,233224.000,36250,1,HR,1,100,171.65
1760384367.812490,233624.000,36319,1,HR,1,100,166.84
1760384368.132484,233944.000,36369,1,HR,1,100,171.43
1760384368.532477,234344.000,36438,1,HR,1,100,166.67
1760384368.852471,234664.000,36508,1,HR,1,100,171.30
1760384369.292463,235104.000,36577,1,HR,1,100,163.53
1760384369.532459,235344.000,36614,1,HR,1,100,182.75
1760384370.012450,235824.000,36700,1,HR,1,100,169.92
1760384370.292445,236104.000,36752,1,HR,1,100,179.78
1760384370.772437,236584.000,36820,1,HR,1,100,167.60
1760384371.012432,236824.000,36872,1,HR,1,100,185.91
1760384371.531423,237343.000,36960,1,HR,1,100,170.24
1760384371.812418,237624.000,37015,1,HR,1,100,180.03
1760384372.251410,238063.000,37087,1,HR,1,100,170.32
1760384372.531405,238343.000,37123,1,HR,1,100,180.09
1760384372.851399,238663.000,37191,1,HR,1,100,181.74
1760384373.291391,239103.000,37258,1,HR,1,100,171.66
1760384373.785382,239597.000,37341,1,HR,1,100,161.29
1760384374.025378,239837.000,37378,1,HR,1,100,181.00
1760384374.504369,240316.000,37463,1,HR,1,100,168.56
1760384374.784364,240596.000,37513,1,HR,1,100,178.72
1760384375.504351,241316.000,37629,1,HR,1,100,157.52
1760384376.024342,241836.000,37715,1,HR,1,100,148.16
1760384376.304337,242116.000,37767,1,HR,1,100,162.85
1760384376.744329,242556.000,37837,1,HR,1,100,156.97
1760384377.024324,242836.000,37891,1,HR,1,100,169.70
1760384377.504315,243316.000,37965,1,HR,1,100,159.77
1760384377.744311,243556.000,38003,1,HR,1,100,179.82
1760384378.224302,244036.000,38085,1,HR,1,100,167.64
1760384378.504297,244316.000,38139,1,HR,1,100,178.01
1760384379.224284,245036.000,38259,1,HR,1,100,156.97
1760384379.664276,245476.000,38326,1,HR,1,100,152.39
1760384379.944271,245756.000,38378,1,HR,1,100,166.14
1760384380.424263,246236.000,38465,1,HR,1,100,157.00
1760384380.704258,246516.000,38515,1,HR,1,100,169.73
1760384381.424245,247236.000,38635,1,HR,1,100,150.53
1760384381.864237,247676.000,38704,1,HR,1,100,147.38
1760384382.144232,247956.000,38754,1,HR,1,100,162.25
1760384382.584224,248396.000,38828,1,HR,1,100,156.50
1760384382.864219,248676.000,38864,1,HR,1,100,169.34
1760384383.304211,249116.000,38948,1,HR,1,100,162.01
1760384383.597206,249409.000,38998,1,HR,1,100,173.63
1760384384.077197,249889.000,39065,1,HR,1,100,162.82
1760384384.317193,250129.000,39118,1,HR,1,100,182.20
1760384384.797184,250609.000,39204,1,HR,1,100,169.48
1760384385.077179,250889.000,39240,1,HR,1,100,179.44
1760384385.557170,251369.000,39324,1,HR,1,100,167.34
1760384385.837165,251649.000,39376,1,HR,1,100,177.77
1760384386.277157,252089.000,39443,1,HR,1,100,168.57
1760384386.557152,252369.000,39496,1,HR,1,100,178.73
1760384387.037144,252849.000,39580,1,HR,1,100,166.79
1760384387.277139,253089.000,39613,1,HR,1,100,185.28
1760384387.717131,253529.000,39690,1,HR,1,100,174.41
1760384387.957127,253769.000,39723,1,HR,1,100,191.21
1760384388.476118,254288.000,39808,1,HR,1,100,174.36
1760384388.716113,254528.000,39858,1,HR,1,100,191.17
1760384389.236104,255048.000,39942,1,HR,1,100,174.33
1760384389.436100,255248.000,39978,1,HR,1,100,202.26
1760384389.916092,255728.000,40059,1,HR,1,100,185.09
1760384390.156087,255968.000,40095,1,HR,1,100,199.51
1760384390.636079,256448.000,40179,1,HR,1,100,182.95
1760384390.916074,256728.000,40229,1,HR,1,100,189.92
1760384391.356066,257168.000,40299,1,HR,1,100,178.02
1760384391.636061,257448.000,40349,1,HR,1,100,186.08
1760384392.076053,257888.000,40417,1,HR,1,100,175.03
1760384392.356048,258168.000,40469,1,HR,1,100,183.75
1760384392.836039,258648.000,40541,1,HR,1,100,170.70
1760384393.076035,258888.000,40577,1,HR,1,100,188.32
1760384393.556026,259368.000,40659,1,HR,1,100,174.25
1760384393.849021,259661.000,40711,1,HR,1,100,183.15
1760384394.289013,260101.000,40778,1,HR,1,100,172.75
1760384394.609007,260421.000,40829,1,HR,1,100,176.03
1760384395.009000,260821.000,40896,1,HR,1,100,170.24
1760384395.288995,261101.000,40946,1,HR,1,100,180.03
1760384395.768986,261581.000,41031,1,HR,1,100,167.80
1760384396.008982,261821.000,41066,1,HR,1,100,186.07
1760384396.448974,262261.000,41151,1,HR,1,100,175.02
1760384396.728969,262541.000,41185,1,HR,1,100,183.75
1760384397.208961,263021.000,41270,1,HR,1,100,170.69
1760384397.448956,263261.000,41304,1,HR,1,100,188.32
1760384397.928947,263741.000,41392,1,HR,1,100,174.25
1760384398.168943,263981.000,41427,1,HR,1,100,191.08
1760384398.648935,264461.000,41511,1,HR,1,100,176.40
1760384398.928930,264741.000,41561,1,HR,1,100,184.82
1760384399.328922,265141.000,41629,1,HR,1,100,177.08
1760384399.648916,265461.000,41679,1,HR,1,100,179.39
1760384399.968911,265781.000,41731,1,HR,1,100,181.20
1760384400.368904,266181.000,41799,1,HR,1,100,174.26
1760384401.088891,266901.000,41917,1,HR,1,100,154.06
1760384401.528883,267341.000,41990,1,HR,1,100,150.12
1760384401.807878,267620.000,42040,1,HR,1,100,164.38
1760384402.207870,268020.000,42109,1,HR,1,100,161.19
1760384402.527865,268340.000,42164,1,HR,1,100,167.03
1760384402.967857,268780.000,42236,1,HR,1,100,160.22
1760384403.247852,269060.000,42288,1,HR,1,100,172.23
1760384403.687844,269500.000,42357,1,HR,1,100,164.26
1760384403.981838,269794.000,42410,1,HR,1,100,175.38
1760384404.421831,270234.000,42478,1,HR,1,100,166.71
1760384404.700826,270513.000,42527,1,HR,1,100,177.28
1760384405.140818,270953.000,42595,1,HR,1,100,168.19
1760384405.420813,271233.000,42646,1,HR,1,100,178.43
1760384405.820806,271633.000,42713,1,HR,1,100,172.11
1760384406.180799,271993.000,42782,1,HR,1,100,170.90
1760384406.580792,272393.000,42853,1,HR,1,100,166.26
1760384406.860787,272673.000,42889,1,HR,1,100,176.93
1760384407.300779,273113.000,42974,1,HR,1,100,167.92
1760384407.580774,273393.000,43008,1,HR,1,100,178.22
1760384408.020766,273833.000,43098,1,HR,1,100,168.92
1760384408.300761,274113.000,43133,1,HR,1,100,179.00
1760384408.740753,274553.000,43200,1,HR,1,100,169.53
1760384409.020748,274833.000,43250,1,HR,1,100,179.47
1760384409.460740,275273.000,43335,1,HR,1,100,169.89
1760384409.740735,275553.000,43371,1,HR,1,100,179.76
1760384410.220726,276033.000,43452,1,HR,1,100,167.59
1760384410.460722,276273.000,43488,1,HR,1,100,185.90
1760384410.940713,276753.000,43572,1,HR,1,100,172.37
1760384411.180709,276993.000,43606,1,HR,1,100,189.62
1760384411.660700,277473.000,43691,1,HR,1,100,175.26
1760384411.940695,277753.000,43742,1,HR,1,100,183.93
1760384412.300689,278113.000,43809,1,HR,1,100,180.10
1760384412.660682,278473.000,43861,1,HR,1,100,177.11
1760384413.060675,278873.000,43929,1,HR,1,100,171.09
1760384413.380669,279193.000,43984,1,HR,1,100,174.73
1760384413.793662,279606.000,44051,1,HR,1,100,169.24
1760384414.073657,279886.000,44103,1,HR,1,100,179.25
1760384414.513649,280326.000,44170,1,HR,1,100,169.72
1760384414.793644,280606.000,44221,1,HR,1,100,179.62
1760384415.273635,281086.000,44288,1,HR,1,100,167.48
1760384415.513631,281326.000,44338,1,HR,1,100,185.82
1760384415.993622,281806.000,44405,1,HR,1,100,172.30
1760384416.233618,282046.000,44458,1,HR,1,100,189.57
1760384416.713609,282526.000,44543,1,HR,1,100,175.22
1760384416.993604,282806.000,44577,1,HR,1,100,183.90
1760384417.473596,283286.000,44662,1,HR,1,100,170.81
