LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760384359.400641,225212.000,34900,1,PG,1,100,7423
1760384359.440307,225251.667,34912,3,PG,1,100,7440
1760384359.479973,225291.333,34912,3,PG,1,100,7424
1760384359.519639,225331.000,34912,3,PG,1,100,7414
1760384359.559639,225371.000,34931,2,PG,1,100,7402
1760384359.599638,225411.000,34931,2,PG,1,100,7382
1760384359.639637,225451.000,34946,3,PG,1,100,7379
1760384359.679636,225491.000,34946,3,PG,1,100,7365
1760384359.719635,225531.000,34946,3,PG,1,100,7356
1760384359.759635,225571.000,34963,2,PG,1,100,7370
1760384359.799634,225611.000,34963,2,PG,1,100,7376
1760384359.839633,225651.000,34979,3,PG,1,100,7395
1760384359.879633,225691.000,34979,3,PG,1,100,7379
1760384359.919632,225731.000,34979,3,PG,1,100,7415
1760384359.959631,225771.000,34999,2,PG,1,100,7425
1760384359.999630,225811.000,34999,2,PG,1,100,7439
1760384360.039630,225851.000,35013,3,PG,1,100,7449
1760384360.079629,225891.000,35013,3,PG,1,100,7445
1760384360.119628,225931.000,35013,3,PG,1,100,7435
1760384360.159628,225971.000,35030,2,PG,1,100,7430
1760384360.199627,226011.000,35030,2,PG,1,100,7426
1760384360.239626,226051.000,35047,3,PG,1,100,7426
1760384360.279625,226091.000,35047,3,PG,1,100,7420
1760384360.319625,226131.000,35047,3,PG,1,100,7411
1760384360.359624,226171.000,35066,2,PG,1,100,7399
1760384360.399623,226211.000,35066,2,PG,1,100,7399
1760384360.439623,226251.000,35080,3,PG,1,100,7407
1760384360.479622,226291.000,35080,3,PG,1,100,7418
1760384360.519621,226331.000,35080,3,PG,1,100,7422
1760384360.559620,226371.000,35097,2,PG,1,100,7428
1760384360.599620,226411.000,35097,2,PG,1,100,7441
1760384360.639619,226451.000,35116,3,PG,1,100,7436
1760384360.679618,226491.000,35116,3,PG,1,100,7430
1760384360.719618,226531.000,35116,3,PG,1,100,7427
1760384360.759617,226571.000,35135,3,PG,1,100,7418
1760384360.799616,226611.000,35135,3,PG,1,100,7430
1760384360.839615,226651.000,35135,3,PG,1,100,7431
1760384360.879615,226691.000,35149,2,PG,1,100,7453
1760384360.919614,226731.000,35149,2,PG,1,100,7458
1760384360.959613,226771.000,35167,3,PG,1,100,7443
1760384360.999613,226811.000,35167,3,PG,1,100,7461
1760384361.039612,226851.000,35167,3,PG,1,100,7452
1760384361.079611,226891.000,35185,2,PG,1,100,7468
1760384361.119610,226931.000,35185,2,PG,1,100,7453
1760384361.159610,226971.000,35204,3,PG,1,100,7461
1760384361.199609,227011.000,35204,3,PG,1,100,7447
1760384361.239608,227051.000,35204,3,PG,1,100,7426
1760384361.279608,227091.000,35220,2,PG,1,100,7412
1760384361.319607,227131.000,35220,2,PG,1,100,7403
1760384361.359606,227171.000,35238,3,PG,1,100,7412
1760384361.399605,227211.000,35238,3,PG,1,100,7430
1760384361.439605,227251.000,35238,3,PG,1,100,7443
1760384361.479604,227291.000,35258,2,PG,1,100,7445
1760384361.519603,227331.000,35258,2,PG,1,100,7454
1760384361.559602,227371.000,35276,3,PG,1,100,7445
1760384361.599602,227411.000,35276,3,PG,1,100,7451
1760384361.639601,227451.000,35276,3,PG,1,100,7455
1760384361.679600,227491.000,35292,2,PG,1,100,7450
1760384361.719599,227531.000,35292,2,PG,1,100,7460
1760384361.759599,227571.000,35307,3,PG,1,100,7450
1760384361.799598,227611.000,35307,3,PG,1,100,7438
1760384361.839597,227651.000,35307,3,PG,1,100,7431
1760384361.879597,227691.000,35325,2,PG,1,100,7409
1760384361.919596,227731.000,35325,2,PG,1,100,7406
1760384361.959595,227771.000,35350,4,PG,1,100,7423
1760384361.999594,227811.000,35350,4,PG,1,100,7413
1760384362.039594,227851.000,35350,4,PG,1,100,7414
1760384362.079593,227891.000,35350,4,PG,1,100,7416
1760384362.119592,227931.000,35366,3,PG,1,100,7422
1760384362.159592,227971.000,35366,3,PG,1,100,7438
1760384362.199591,228011.000,35366,3,PG,1,100,7436
1760384362.239590,228051.000,35383,2,PG,1,100,7448
1760384362.279589,228091.000,35383,2,PG,1,100,7459
1760384362.319589,228131.000,35400,3,PG,1,100,7450
1760384362.359588,228171.000,35400,3,PG,1,100,7434
1760384362.399587,228211.000,35400,3,PG,1,100,7436
1760384362.439587,228251.000,35417,2,PG,1,100,7426
1760384362.479586,228291.000,35417,2,PG,1,100,7463
1760384362.519585,228331.000,35435,3,PG,1,100,7491
1760384362.559584,228371.000,35435,3,PG,1,100,7508
1760384362.599584,228411.000,35435,3,PG,1,100,7506
1760384362.639583,228451.000,35453,2,PG,1,100,7523
1760384362.679582,228491.000,35453,2,PG,1,100,7516
1760384362.719582,228531.000,35469,3,PG,1,100,7491
1760384362.759581,228571.000,35469,3,PG,1,100,7489
1760384362.799580,228611.000,35469,3,PG,1,100,7495
1760384362.839579,228651.000,35486,2,PG,1,100,7514
1760384362.879579,228691.000,35486,2,PG,1,100,7508
1760384362.919578,228731.000,35505,3,PG,1,100,7523
1760384362.959577,228771.000,35505,3,PG,1,100,7500
1760384362.999577,228811.000,35505,3,PG,1,100,7513
1760384363.039576,228851.000,35522,2,PG,1,100,7506
1760384363.079575,228891.000,35522,2,PG,1,100,7508
1760384363.119574,228931.000,35539,3,PG,1,100,7493
1760384363.159574,228971.000,35539,3,PG,1,100,7498
1760384363.199573,229011.000,35539,3,PG,1,100,7492
1760384363.239572,229051.000,35555,2,PG,1,100,7513
1760384363.279572,229091.000,35555,2,PG,1,100,7500
1760384363.319571,229131.000,35572,3,PG,1,100,7494
1760384363.359570,229171.000,35572,3,PG,1,100,7488
1760384363.399569,229211.000,35572,3,PG,1,100,7469
1760384363.439569,229251.000,35591,3,PG,1,100,7471
1760384363.479568,229291.000,35591,3,PG,1,100,7432
1760384363.519567,229331.000,35591,3,PG,1,100,7434
1760384363.559566,229371.000,35607,2,PG,1,100,7445
1760384363.599566,229411.000,35607,2,PG,1,100,7460
1760384363.639565,229451.000,35623,3,PG,1,100,7465
1760384363.679564,229491.000,35623,3,PG,1,100,7487
1760384363.719563,229531.000,35623,3,PG,1,100,7480
1760384363.759563,229571.000,35641,2,PG,1,100,7489
1760384363.799562,229611.000,35641,2,PG,1,100,7498
1760384363.846061,229657.500,35660,2,PG,1,100,7502
1760384363.892560,229704.000,35660,2,PG,1,100,7492
1760384363.932560,229744.000,35677,3,PG,1,100,7485
1760384363.972559,229784.000,35677,3,PG,1,100,7464
1760384364.012558,229824.000,35677,3,PG,1,100,7454
1760384364.052557,229864.000,35694,3,PG,1,100,7443
1760384364.092557,229904.000,35694,3,PG,1,100,7432
1760384364.132556,229944.000,35694,3,PG,1,100,7432
1760384364.172555,229984.000,35712,2,PG,1,100,7425
1760384364.212555,230024.000,35712,2,PG,1,100,7423
1760384364.252554,230064.000,35730,3,PG,1,100,7421
1760384364.292553,230104.000,35730,3,PG,1,100,7420
1760384364.332552,230144.000,35730,3,PG,1,100,7446
1760384364.372552,230184.000,35746,2,PG,1,100,7452
1760384364.412551,230224.000,35746,2,PG,1,100,7481
1760384364.452550,230264.000,35763,3,PG,1,100,7491
1760384364.492550,230304.000,35763,3,PG,1,100,7488
1760384364.532549,230344.000,35763,3,PG,1,100,7475
1760384364.572548,230384.000,35779,2,PG,1,100,7441
1760384364.612547,230424.000,35779,2,PG,1,100,7442
1760384364.652547,230464.000,35797,3,PG,1,100,7429
1760384364.692546,230504.000,35797,3,PG,1,100,7456
1760384364.732545,230544.000,35797,3,PG,1,100,7442
1760384364.772545,230584.000,35813,2,PG,1,100,7452
1760384364.812544,230624.000,35813,2,PG,1,100,7437
1760384364.852543,230664.000,35830,3,PG,1,100,7446
1760384364.892542,230704.000,35830,3,PG,1,100,7436
1760384364.932542,230744.000,35830,3,PG,1,100,7449
1760384364.972541,230784.000,35849,2,PG,1,100,7449
1760384365.012540,230824.000,35849,2,PG,1,100,7437
1760384365.052540,230864.000,35866,3,PG,1,100,7448
1760384365.092539,230904.000,35866,3,PG,1,100,7454
1760384365.132538,230944.000,35866,3,PG,1,100,7455
1760384365.172537,230984.000,35884,2,PG,1,100,7463
1760384365.212537,231024.000,35884,2,PG,1,100,7462
1760384365.252536,231064.000,35903,3,PG,1,100,7463
1760384365.292535,231104.000,35903,3,PG,1,100,7462
1760384365.332535,231144.000,35903,3,PG,1,100,7471
1760384365.372534,231184.000,35918,2,PG,1,100,7481
1760384365.412533,231224.000,35918,2,PG,1,100,7481
