LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760384359.399641,225211.000,34898,1,PI,1,100,150087
1760384359.439641,225251.000,34910,3,PI,1,100,150104
1760384359.479640,225291.000,34910,3,PI,1,100,150076
1760384359.519639,225331.000,34910,3,PI,1,100,150092
1760384359.559639,225371.000,34929,2,PI,1,100,150113
1760384359.599638,225411.000,34929,2,PI,1,100,150158
1760384359.639637,225451.000,34944,3,PI,1,100,150089
1760384359.679636,225491.000,34944,3,PI,1,100,149836
1760384359.719635,225531.000,34944,3,PI,1,100,149515
1760384359.759635,225571.000,34961,2,PI,1,100,149028
1760384359.799634,225611.000,34961,2,PI,1,100,149020
1760384359.839633,225651.000,34977,3,PI,1,100,149169
1760384359.879633,225691.000,34977,3,PI,1,100,149432
1760384359.919632,225731.000,34977,3,PI,1,100,149763
1760384359.959631,225771.000,34997,2,PI,1,100,150221
1760384359.999630,225811.000,34997,2,PI,1,100,150616
1760384360.039630,225851.000,35011,3,PI,1,100,150881
1760384360.079629,225891.000,35011,3,PI,1,100,151105
1760384360.119628,225931.000,35011,3,PI,1,100,150582
1760384360.159628,225971.000,35028,2,PI,1,100,150063
1760384360.199627,226011.000,35028,2,PI,1,100,150071
1760384360.239626,226051.000,35045,3,PI,1,100,150076
1760384360.279625,226091.000,35045,3,PI,1,100,150205
1760384360.319625,226131.000,35045,3,PI,1,100,149987
1760384360.359624,226171.000,35064,2,PI,1,100,149938
1760384360.399623,226211.000,35064,2,PI,1,100,150107
1760384360.439623,226251.000,35078,3,PI,1,100,150168
1760384360.479622,226291.000,35078,3,PI,1,100,149894
1760384360.519621,226331.000,35078,3,PI,1,100,149464
1760384360.559620,226371.000,35095,2,PI,1,100,149503
1760384360.599620,226411.000,35095,2,PI,1,100,149599
1760384360.639619,226451.000,35114,3,PI,1,100,149700
1760384360.679618,226491.000,35114,3,PI,1,100,149926
1760384360.719618,226531.000,35114,3,PI,1,100,150296
1760384360.759617,226571.000,35133,3,PI,1,100,150630
1760384360.799616,226611.000,35133,3,PI,1,100,150703
1760384360.839615,226651.000,35133,3,PI,1,100,150759
1760384360.879615,226691.000,35147,2,PI,1,100,150802
1760384360.919614,226731.000,35147,2,PI,1,100,149882
1760384360.959613,226771.000,35165,3,PI,1,100,150100
1760384360.999613,226811.000,35165,3,PI,1,100,149910
1760384361.039612,226851.000,35165,3,PI,1,100,150100
1760384361.079611,226891.000,35183,2,PI,1,100,150512
1760384361.119610,226931.000,35183,2,PI,1,100,150502
1760384361.159610,226971.000,35202,3,PI,1,100,150531
1760384361.199609,227011.000,35202,3,PI,1,100,150467
1760384361.239608,227051.000,35202,3,PI,1,100,150183
1760384361.279608,227091.000,35218,2,PI,1,100,149755
1760384361.319607,227131.000,35218,2,PI,1,100,149357
1760384361.359606,227171.000,35236,3,PI,1,100,149527
1760384361.399605,227211.000,35236,3,PI,1,100,149723
1760384361.439605,227251.000,35236,3,PI,1,100,149968
1760384361.479604,227291.000,35256,2,PI,1,100,150297
1760384361.519603,227331.000,35256,2,PI,1,100,150626
1760384361.559602,227371.000,35274,3,PI,1,100,150838
1760384361.599602,227411.000,35274,3,PI,1,100,150947
1760384361.639601,227451.000,35274,3,PI,1,100,150815
1760384361.679600,227491.000,35290,2,PI,1,100,150160
1760384361.719599,227531.000,35290,2,PI,1,100,149504
1760384361.759599,227571.000,35305,3,PI,1,100,149679
1760384361.799598,227611.000,35305,3,PI,1,100,149778
1760384361.839597,227651.000,35305,3,PI,1,100,149810
1760384361.879597,227691.000,35323,2,PI,1,100,149689
1760384361.919596,227731.000,35323,2,PI,1,100,149848
1760384361.959595,227771.000,35348,4,PI,1,100,150084
1760384361.999594,227811.000,35348,4,PI,1,100,150324
1760384362.039594,227851.000,35348,4,PI,1,100,150510
1760384362.079593,227891.000,35348,4,PI,1,100,150171
1760384362.119592,227931.000,35364,3,PI,1,100,149913
1760384362.159592,227971.000,35364,3,PI,1,100,150136
1760384362.199591,228011.000,35364,3,PI,1,100,150234
1760384362.239590,228051.000,35381,2,PI,1,100,150381
1760384362.279589,228091.000,35381,2,PI,1,100,150363
1760384362.319589,228131.000,35398,3,PI,1,100,150448
1760384362.359588,228171.000,35398,3,PI,1,100,150344
1760384362.399587,228211.000,35398,3,PI,1,100,149791
1760384362.439587,228251.000,35415,2,PI,1,100,149655
1760384362.479586,228291.000,35415,2,PI,1,100,150124
1760384362.519585,228331.000,35433,3,PI,1,100,150473
1760384362.559584,228371.000,35433,3,PI,1,100,150698
1760384362.599584,228411.000,35433,3,PI,1,100,150638
1760384362.639583,228451.000,35451,2,PI,1,100,150631
1760384362.679582,228491.000,35451,2,PI,1,100,150169
1760384362.719582,228531.000,35467,3,PI,1,100,148994
1760384362.759581,228571.000,35467,3,PI,1,100,148757
1760384362.799580,228611.000,35467,3,PI,1,100,148887
1760384362.839579,228651.000,35484,2,PI,1,100,149163
1760384362.879579,228691.000,35484,2,PI,1,100,149582
1760384362.919578,228731.000,35503,3,PI,1,100,149750
1760384362.959577,228771.000,35503,3,PI,1,100,149956
1760384362.999577,228811.000,35503,3,PI,1,100,150319
1760384363.039576,228851.000,35520,2,PI,1,100,150881
1760384363.079575,228891.000,35520,2,PI,1,100,151210
1760384363.119574,228931.000,35537,3,PI,1,100,151314
1760384363.159574,228971.000,35537,3,PI,1,100,151316
1760384363.199573,229011.000,35537,3,PI,1,100,150083
1760384363.239572,229051.000,35553,2,PI,1,100,149674
1760384363.279572,229091.000,35553,2,PI,1,100,149582
1760384363.319571,229131.000,35570,3,PI,1,100,149552
1760384363.359570,229171.000,35570,3,PI,1,100,149727
1760384363.399569,229211.000,35570,3,PI,1,100,149949
1760384363.439569,229251.000,35589,3,PI,1,100,150285
1760384363.479568,229291.000,35589,3,PI,1,100,150402
1760384363.519567,229331.000,35589,3,PI,1,100,150543
1760384363.559566,229371.000,35605,2,PI,1,100,149082
1760384363.599566,229411.000,35605,2,PI,1,100,149391
1760384363.639565,229451.000,35621,3,PI,1,100,149791
1760384363.679564,229491.000,35621,3,PI,1,100,150263
