LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760384359.399641,225211.000,34899,1,PR,1,100,104124
1760384359.439641,225251.000,34911,3,PR,1,100,104101
1760384359.479640,225291.000,34911,3,PR,1,100,104060
1760384359.519639,225331.000,34911,3,PR,1,100,104059
1760384359.559639,225371.000,34930,2,PR,1,100,104039
1760384359.599638,225411.000,34930,2,PR,1,100,104020
1760384359.639637,225451.000,34945,3,PR,1,100,103988
1760384359.679636,225491.000,34945,3,PR,1,100,103865
1760384359.719635,225531.000,34945,3,PR,1,100,103699
1760384359.759635,225571.000,34962,2,PR,1,100,103499
1760384359.799634,225611.000,34962,2,PR,1,100,103546
1760384359.839633,225651.000,34978,3,PR,1,100,103632
1760384359.879633,225691.000,34978,3,PR,1,100,103843
1760384359.919632,225731.000,34978,3,PR,1,100,104061
1760384359.959631,225771.000,34998,2,PR,1,100,104268
1760384359.999630,225811.000,34998,2,PR,1,100,104429
1760384360.039630,225851.000,35012,3,PR,1,100,104541
1760384360.079629,225891.000,35012,3,PR,1,100,104639
1760384360.119628,225931.000,35012,3,PR,1,100,104386
1760384360.159628,225971.000,35029,2,PR,1,100,104104
1760384360.199627,226011.000,35029,2,PR,1,100,104114
1760384360.239626,226051.000,35046,3,PR,1,100,104092
1760384360.279625,226091.000,35046,3,PR,1,100,104144
1760384360.319625,226131.000,35046,3,PR,1,100,104013
1760384360.359624,226171.000,35065,2,PR,1,100,103972
1760384360.399623,226211.000,35065,2,PR,1,100,104018
1760384360.439623,226251.000,35079,3,PR,1,100,104053
1760384360.479622,226291.000,35079,3,PR,1,100,103950
1760384360.519621,226331.000,35079,3,PR,1,100,103753
1760384360.559620,226371.000,35096,2,PR,1,100,103806
1760384360.599620,226411.000,35096,2,PR,1,100,103859
1760384360.639619,226451.000,35115,3,PR,1,100,103962
1760384360.679618,226491.000,35115,3,PR,1,100,104103
1760384360.719618,226531.000,35115,3,PR,1,100,104272
1760384360.759617,226571.000,35134,3,PR,1,100,104398
1760384360.799616,226611.000,35134,3,PR,1,100,104445
1760384360.839615,226651.000,35134,3,PR,1,100,104475
1760384360.879615,226691.000,35148,2,PR,1,100,104501
1760384360.919614,226731.000,35148,2,PR,1,100,104043
1760384360.959613,226771.000,35166,3,PR,1,100,104160
1760384360.999613,226811.000,35166,3,PR,1,100,104066
1760384361.039612,226851.000,35166,3,PR,1,100,104168
1760384361.079611,226891.000,35184,2,PR,1,100,104300
1760384361.119610,226931.000,35184,2,PR,1,100,104248
1760384361.159610,226971.000,35203,3,PR,1,100,104249
1760384361.199609,227011.000,35203,3,PR,1,100,104196
1760384361.239608,227051.000,35203,3,PR,1,100,104069
1760384361.279608,227091.000,35219,2,PR,1,100,103904
1760384361.319607,227131.000,35219,2,PR,1,100,103742
1760384361.359606,227171.000,35237,3,PR,1,100,103873
1760384361.399605,227211.000,35237,3,PR,1,100,103978
1760384361.439605,227251.000,35237,3,PR,1,100,104152
1760384361.479604,227291.000,35257,2,PR,1,100,104303
1760384361.519603,227331.000,35257,2,PR,1,100,104445
1760384361.559602,227371.000,35275,3,PR,1,100,104532
1760384361.599602,227411.000,35275,3,PR,1,100,104563
1760384361.639601,227451.000,35275,3,PR,1,100,104482
1760384361.679600,227491.000,35291,2,PR,1,100,104199
1760384361.719599,227531.000,35291,2,PR,1,100,103926
1760384361.759599,227571.000,35306,3,PR,1,100,104061
1760384361.799598,227611.000,35306,3,PR,1,100,104132
1760384361.839597,227651.000,35306,3,PR,1,100,104120
1760384361.879597,227691.000,35324,2,PR,1,100,104019
1760384361.919596,227731.000,35324,2,PR,1,100,104085
1760384361.959595,227771.000,35349,4,PR,1,100,104157
1760384361.999594,227811.000,35349,4,PR,1,100,104240
1760384362.039594,227851.000,35349,4,PR,1,100,104306
1760384362.079593,227891.000,35349,4,PR,1,100,104182
1760384362.119592,227931.000,35365,3,PR,1,100,104071
1760384362.159592,227971.000,35365,3,PR,1,100,104167
1760384362.199591,228011.000,35365,3,PR,1,100,104205
1760384362.239590,228051.000,35382,2,PR,1,100,104248
1760384362.279589,228091.000,35382,2,PR,1,100,104237
1760384362.319589,228131.000,35399,3,PR,1,100,104249
1760384362.359588,228171.000,35399,3,PR,1,100,104183
1760384362.399587,228211.000,35399,3,PR,1,100,103890
1760384362.439587,228251.000,35416,2,PR,1,100,103887
1760384362.479586,228291.000,35416,2,PR,1,100,104164
1760384362.519585,228331.000,35434,3,PR,1,100,104349
1760384362.559584,228371.000,35434,3,PR,1,100,104437
1760384362.599584,228411.000,35434,3,PR,1,100,104426
1760384362.639583,228451.000,35452,2,PR,1,100,104517
1760384362.679582,228491.000,35452,2,PR,1,100,104235
1760384362.719582,228531.000,35468,3,PR,1,100,103741
1760384362.759581,228571.000,35468,3,PR,1,100,103716
1760384362.799580,228611.000,35468,3,PR,1,100,103790
1760384362.839579,228651.000,35485,2,PR,1,100,103841
1760384362.879579,228691.000,35485,2,PR,1,100,104175
1760384362.919578,228731.000,35504,3,PR,1,100,104356
1760384362.959577,228771.000,35504,3,PR,1,100,104497
1760384362.999577,228811.000,35504,3,PR,1,100,104635
1760384363.039576,228851.000,35521,2,PR,1,100,104806
1760384363.079575,228891.000,35521,2,PR,1,100,104854
1760384363.119574,228931.000,35538,3,PR,1,100,104812
1760384363.159574,228971.000,35538,3,PR,1,100,104719
1760384363.199573,229011.000,35538,3,PR,1,100,104208
1760384363.239572,229051.000,35554,2,PR,1,100,103975
1760384363.279572,229091.000,35554,2,PR,1,100,103933
1760384363.319571,229131.000,35571,3,PR,1,100,103880
1760384363.359570,229171.000,35571,3,PR,1,100,103967
1760384363.399569,229211.000,35571,3,PR,1,100,104048
1760384363.439569,229251.000,35590,3,PR,1,100,104174
1760384363.479568,229291.000,35590,3,PR,1,100,104225
1760384363.519567,229331.000,35590,3,PR,1,100,104304
1760384363.559566,229371.000,35606,2,PR,1,100,103647
1760384363.599566,229411.000,35606,2,PR,1,100,103937
1760384363.639565,229451.000,35622,3,PR,1,100,104297
1760384363.679564,229491.000,35622,3,PR,1,100,104550
1760384363.719563,229531.000,35622,3,PR,1,100,104783
1760384363.759563,229571.000,35640,2,PR,1,100,104847
1760384363.799562,229611.000,35640,2,PR,1,100,104791
1760384363.846061,229657.500,35659,2,PR,1,100,104575
1760384363.892560,229704.000,35659,2,PR,1,100,104354
1760384363.932560,229744.000,35676,3,PR,1,100,104023
1760384363.972559,229784.000,35676,3,PR,1,100,103848
1760384364.012558,229824.000,35676,3,PR,1,100,103796
1760384364.052557,229864.000,35693,3,PR,1,100,103818
1760384364.092557,229904.000,35693,3,PR,1,100,103966
1760384364.132556,229944.000,35693,3,PR,1,100,104093
1760384364.172555,229984.000,35711,2,PR,1,100,104197
