LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760384361.994595,227806,35341,2,RD,1,100,TL,TU
1760384367.114502,232926,36209,2,RD,1,100,TL,TU
1760384372.228410,238040,37082,2,RD,1,100,TL,TU
1760384377.341318,243153,37941,2,RD,1,100,TL,TU
1760384382.452226,248264,38805,2,RD,1,100,TL,TU
1760384387.564134,253376,39666,2,RD,1,100,TL,TU
1760384392.679042,258491,40519,2,RD,1,100,TL,TU
1760384397.799950,263612,41371,2,RD,1,100,TL,TU
1760384402.907858,268720,42231,2,RD,1,100,TL,TU
1760384408.027766,273840,43093,2,RD,1,100,TL,TU
1760384413.146673,278959,43947,2,RD,1,100,TL,TU
1760384418.256582,284069,44798,2,RD,1,100,TL,TU
1760384423.380489,289193,45646,2,RD,1,100,TL,TU
1760384428.502397,294315,46499,2,RD,1,100,TL,TU
1760384433.621305,299434,47360,2,RD,1,100,TL,TU
1760384438.751213,304564,48215,2,RD,1,100,TL,TU
1760384443.874120,309687,49066,2,RD,1,100,TL,TU
1760384448.995028,314808,49919,2,RD,1,100,TL,TU
1760384454.109936,319923,50774,2,RD,1,100,TL,TU
1760384459.229844,325043,51629,2,RD,1,100,TL,TU
1760384464.344752,330158,52481,2,RD,1,100,TL,TU
1760384469.462660,335276,53343,2,RD,1,100,TL,TU
1760384474.575567,340389,54202,2,RD,1,100,TL,TU
1760384479.688475,345502,55058,2,RD,1,100,TL,TU
1760384484.807383,350621,55915,2,RD,1,100,TL,TU
