LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760384359.318643,225130.000,34927,1,SA,1,100,0.000507
1760384360.118628,225930.000,35062,1,SA,1,100,0.000441
1760384360.452622,226264.000,35112,1,SA,1,100,0.000490
1760384360.918614,226730.000,35181,1,SA,1,100,0.000310
1760384361.318607,227130.000,35254,1,SA,1,100,0.000053
1760384361.718600,227530.000,35321,1,SA,1,100,0.000179
1760384362.118592,227930.000,35396,1,SA,1,100,0.000030
1760384362.451586,228263.000,35465,1,SA,1,100,0.002804
1760384362.918578,228730.000,35535,1,SA,1,100,0.001378
1760384363.652565,229464.000,35656,1,SA,1,100,0.000806
1760384363.918560,229730.000,35690,1,SA,1,100,0.000459
1760384364.584548,230396.000,35826,1,SA,1,100,0.000576
1760384365.052540,230864.000,35898,1,SA,1,100,0.000149
1760384366.117520,231929.000,36065,1,SA,1,100,0.000093
1760384366.385515,232197.000,36121,1,SA,1,100,0.000465
1760384366.717510,232529.000,36188,1,SA,1,100,0.000502
1760384367.184501,232996.000,36251,1,SA,1,100,0.000187
1760384367.917488,233729.000,36370,1,SA,1,100,0.000018
1760384368.184483,233996.000,36439,1,SA,1,100,0.000609
1760384368.651475,234463.000,36509,1,SA,1,100,0.000054
1760384369.051467,234863.000,36578,1,SA,1,100,0.000226
1760384369.384461,235196.000,36632,1,SA,1,100,0.000247
1760384369.784454,235596.000,36702,1,SA,1,100,0.000394
1760384370.584440,236396.000,36821,1,SA,1,100,0.000077
1760384370.784436,236596.000,36874,1,SA,1,100,0.000442
1760384371.517423,237329.000,36995,1,SA,1,100,0.000205
1760384372.251410,238063.000,37105,1,SA,1,100,0.000330
1760384373.517387,239329.000,37342,1,SA,1,100,0.000057
1760384375.650349,241462.000,37695,1,SA,1,100,0.000529
1760384376.183339,241995.000,37768,1,SA,1,100,0.000082
1760384376.450334,242262.000,37838,1,SA,1,100,0.000288
1760384377.250320,243062.000,37946,1,SA,1,100,0.000134
1760384377.516315,243328.000,37983,1,SA,1,100,0.000140
1760384377.916308,243728.000,38086,1,SA,1,100,0.000206
1760384378.316301,244128.000,38140,1,SA,1,100,0.000127
1760384378.716294,244528.000,38222,1,SA,1,100,0.000198
1760384379.449280,245261.000,38327,1,SA,1,100,0.000058
1760384380.183267,245995.000,38444,1,SA,1,100,0.000011
1760384381.382246,247194.000,38650,1,SA,1,100,0.000082
1760384382.382227,248194.000,38809,1,SA,1,100,0.000131
1760384383.783202,249595.000,39066,1,SA,1,100,0.000250
1760384384.582188,250394.000,39185,1,SA,1,100,0.000150
1760384385.316175,251128.000,39306,1,SA,1,100,0.000111
1760384387.515135,253327.000,39670,1,SA,1,100,0.000030
1760384400.513901,266326.000,41865,1,SA,1,100,0.000326
1760384400.847895,266660.000,41918,1,SA,1,100,0.000408
1760384401.180889,266993.000,41970,1,SA,1,100,0.000626
1760384401.513883,267326.000,42041,1,SA,1,100,0.000421
1760384401.980875,267793.000,42110,1,SA,1,100,0.000043
1760384402.713861,268526.000,42237,1,SA,1,100,0.000017
1760384403.447848,269260.000,42340,1,SA,1,100,0.000085
1760384405.646809,271459.000,42714,1,SA,1,100,0.000008
1760384406.380795,272193.000,42835,1,SA,1,100,0.000003
1760384407.112782,272925.000,42955,1,SA,1,100,0.000011
1760384430.510361,296323.000,46860,1,SA,1,100,0.000057
1760384430.777356,296590.000,46911,1,SA,1,100,0.000494
1760384431.110350,296923.000,46984,1,SA,1,100,0.000426
1760384431.643341,297456.000,47053,1,SA,1,100,0.000039
1760384433.776302,299589.000,47398,1,SA,1,100,0.000067
1760384446.175079,311988.000,49458,1,SA,1,100,0.000007
1760384453.440948,319254.000,50686,1,SA,1,100,0.000017
1760384456.306896,322120.000,51152,1,SA,1,100,0.000008
1760384458.507857,324321.000,51525,1,SA,1,100,0.000163
1760384465.039739,330853.000,52622,1,SA,1,100,0.000023
1760384466.106720,331920.000,52794,1,SA,1,100,0.000001
1760384468.239681,334053.000,53151,1,SA,1,100,0.000314
1760384468.639674,334453.000,53235,1,SA,1,100,0.000495
1760384468.972668,334786.000,53273,1,SA,1,100,0.000260
1760384469.439660,335253.000,53383,1,SA,1,100,0.000126
1760384470.172647,335986.000,53484,1,SA,1,100,0.000138
1760384471.705619,337519.000,53760,1,SA,1,100,0.000030
1760384473.171593,338985.000,53978,1,SA,1,100,0.000074
1760384475.371553,341185.000,54359,1,SA,1,100,0.000019
1760384481.170449,346984.000,55313,1,SA,1,100,0.000103
1760384484.037397,349851.000,55808,1,SA,1,100,0.000140
1760384484.237394,350051.000,55845,1,SA,1,100,0.000206
1760384485.103378,350917.000,55986,1,SA,1,100,0.000261
1760384485.770366,351584.000,56107,1,SA,1,100,0.000104
1760384486.170359,351984.000,56195,1,SA,1,100,0.000425
