LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1760384359.318643,225130.000,34928,1,SR,1,100,0.200000
1760384360.118628,225930.000,35063,1,SR,1,100,0.200000
1760384360.452622,226264.000,35113,1,SR,1,100,0.200000
1760384360.918614,226730.000,35182,1,SR,1,100,0.133333
1760384361.318607,227130.000,35255,1,SR,1,100,0.133333
1760384361.718600,227530.000,35322,1,SR,1,100,0.133333
1760384362.118592,227930.000,35397,1,SR,1,100,0.200000
1760384362.451586,228263.000,35466,1,SR,1,100,0.200000
1760384362.918578,228730.000,35536,1,SR,1,100,0.200000
1760384363.652565,229464.000,35657,1,SR,1,100,0.133333
1760384363.918560,229730.000,35691,1,SR,1,100,0.133333
1760384364.584548,230396.000,35827,1,SR,1,100,0.200000
1760384365.052540,230864.000,35899,1,SR,1,100,0.133333
1760384366.117520,231929.000,36066,1,SR,1,100,0.133333
1760384366.385515,232197.000,36122,1,SR,1,100,0.200000
1760384366.717510,232529.000,36189,1,SR,1,100,0.200000
1760384367.184501,232996.000,36252,1,SR,1,100,0.133333
1760384367.917488,233729.000,36371,1,SR,1,100,0.133333
1760384368.184483,233996.000,36440,1,SR,1,100,0.200000
1760384368.651475,234463.000,36510,1,SR,1,100,0.133333
1760384369.051467,234863.000,36579,1,SR,1,100,0.200000
1760384369.384461,235196.000,36633,1,SR,1,100,0.200000
1760384369.784454,235596.000,36703,1,SR,1,100,0.200000
1760384370.584440,236396.000,36822,1,SR,1,100,0.066667
1760384370.784436,236596.000,36875,1,SR,1,100,0.200000
1760384371.517423,237329.000,36996,1,SR,1,100,0.200000
1760384372.251410,238063.000,37106,1,SR,1,100,0.066667
1760384373.517387,239329.000,37343,1,SR,1,100,0.200000
1760384375.650349,241462.000,37696,1,SR,1,100,0.266667
1760384376.183339,241995.000,37769,1,SR,1,100,0.066667
1760384376.450334,242262.000,37839,1,SR,1,100,0.266667
1760384377.250320,243062.000,37947,1,SR,1,100,0.133333
1760384377.516315,243328.000,37984,1,SR,1,100,0.066667
1760384377.916308,243728.000,38087,1,SR,1,100,0.266667
1760384378.316301,244128.000,38141,1,SR,1,100,0.133333
1760384378.716294,244528.000,38223,1,SR,1,100,0.200000
1760384379.449280,245261.000,38328,1,SR,1,100,0.133333
1760384380.183267,245995.000,38445,1,SR,1,100,0.066667
1760384381.382246,247194.000,38651,1,SR,1,100,0.066667
1760384382.382227,248194.000,38810,1,SR,1,100,0.066667
1760384383.783202,249595.000,39067,1,SR,1,100,0.133333
1760384384.582188,250394.000,39186,1,SR,1,100,0.066667
1760384385.316175,251128.000,39307,1,SR,1,100,0.066667
1760384387.515135,253327.000,39671,1,SR,1,100,0.066667
1760384400.513901,266326.000,41866,1,SR,1,100,0.200000
1760384400.847895,266660.000,41919,1,SR,1,100,0.200000
1760384401.180889,266993.000,41971,1,SR,1,100,0.200000
1760384401.513883,267326.000,42042,1,SR,1,100,0.200000
1760384401.980875,267793.000,42111,1,SR,1,100,0.133333
1760384402.713861,268526.000,42238,1,SR,1,100,0.133333
1760384403.447848,269260.000,42341,1,SR,1,100,0.066667
1760384405.646809,271459.000,42715,1,SR,1,100,0.066667
1760384406.380795,272193.000,42836,1,SR,1,100,0.066667
1760384407.112782,272925.000,42956,1,SR,1,100,0.066667
1760384430.510361,296323.000,46861,1,SR,1,100,0.133333
1760384430.777356,296590.000,46912,1,SR,1,100,0.200000
1760384431.110350,296923.000,46985,1,SR,1,100,0.266667
1760384431.643341,297456.000,47054,1,SR,1,100,0.066667
1760384433.776302,299589.000,47399,1,SR,1,100,0.066667
1760384446.175079,311988.000,49459,1,SR,1,100,0.066667
1760384453.440948,319254.000,50687,1,SR,1,100,0.066667
1760384456.306896,322120.000,51153,1,SR,1,100,0.066667
1760384458.507857,324321.000,51526,1,SR,1,100,0.066667
1760384465.039739,330853.000,52623,1,SR,1,100,0.066667
1760384466.106720,331920.000,52795,1,SR,1,100,0.066667
1760384468.239681,334053.000,53152,1,SR,1,100,0.066667
1760384468.639674,334453.000,53236,1,SR,1,100,0.200000
1760384468.972668,334786.000,53274,1,SR,1,100,0.066667
1760384469.439660,335253.000,53384,1,SR,1,100,0.200000
1760384470.172647,335986.000,53485,1,SR,1,100,0.133333
1760384471.705619,337519.000,53761,1,SR,1,100,0.200000
1760384473.171593,338985.000,53979,1,SR,1,100,0.066667
1760384475.371553,341185.000,54360,1,SR,1,100,0.066667
1760384481.170449,346984.000,55314,1,SR,1,100,0.066667
1760384484.037397,349851.000,55809,1,SR,1,100,0.066667
1760384484.237394,350051.000,55846,1,SR,1,100,0.066667
1760384485.103378,350917.000,55987,1,SR,1,100,0.066667
1760384485.770366,351584.000,56108,1,SR,1,100,0.133333
1760384486.170359,351984.000,56196,1,SR,1,100,0.266667
