LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760384359.526639,225338.000,34916,1,TH,1,100,31.202
1760384359.659636,225471.000,34950,1,TH,1,100,31.224
1760384359.793634,225605.000,34967,1,TH,1,100,31.217
1760384359.926632,225738.000,34983,1,TH,1,100,31.327
1760384360.059629,225871.000,35017,1,TH,1,100,31.334
1760384360.193627,226005.000,35034,1,TH,1,100,31.314
1760384360.326625,226138.000,35051,1,TH,1,100,31.314
1760384360.459622,226271.000,35084,1,TH,1,100,31.229
1760384360.593620,226405.000,35101,1,TH,1,100,31.229
1760384360.726617,226538.000,35120,1,TH,1,100,31.183
1760384360.859615,226671.000,35153,1,TH,1,100,31.183
1760384360.993613,226805.000,35171,1,TH,1,100,31.285
1760384361.126610,226938.000,35189,1,TH,1,100,31.285
1760384361.259608,227071.000,35223,1,TH,1,100,31.227
1760384361.393605,227205.000,35242,1,TH,1,100,31.227
1760384361.526603,227338.000,35262,1,TH,1,100,31.234
1760384361.659600,227471.000,35280,1,TH,1,100,31.234
1760384361.792598,227604.000,35311,1,TH,1,100,31.266
1760384361.926596,227738.000,35329,1,TH,1,100,31.266
1760384362.059593,227871.000,35354,1,TH,1,100,31.244
1760384362.192591,228004.000,35370,1,TH,1,100,31.244
1760384362.326589,228138.000,35404,1,TH,1,100,31.392
1760384362.459586,228271.000,35421,1,TH,1,100,31.392
1760384362.592584,228404.000,35439,1,TH,1,100,31.273
1760384362.726581,228538.000,35473,1,TH,1,100,31.273
1760384362.859579,228671.000,35490,1,TH,1,100,31.256
1760384362.992577,228804.000,35509,1,TH,1,100,31.249
1760384363.126574,228938.000,35542,1,TH,1,100,31.288
1760384363.259572,229071.000,35559,1,TH,1,100,31.288
1760384363.392569,229204.000,35576,1,TH,1,100,31.246
1760384363.526567,229338.000,35595,1,TH,1,100,31.253
1760384363.659564,229471.000,35627,1,TH,1,100,31.319
1760384363.792562,229604.000,35645,1,TH,1,100,31.312
1760384363.926560,229738.000,35664,1,TH,1,100,31.268
1760384364.059557,229871.000,35698,1,TH,1,100,31.275
1760384364.192555,230004.000,35716,1,TH,1,100,31.224
1760384364.326553,230138.000,35734,1,TH,1,100,31.217
1760384364.459550,230271.000,35767,1,TH,1,100,31.259
1760384364.592548,230404.000,35783,1,TH,1,100,31.266
1760384364.725545,230537.000,35801,1,TH,1,100,31.207
1760384364.859543,230671.000,35834,1,TH,1,100,31.207
1760384364.992541,230804.000,35853,1,TH,1,100,31.261
1760384365.125538,230937.000,35870,1,TH,1,100,31.254
1760384365.259536,231071.000,35906,1,TH,1,100,31.268
1760384365.392533,231204.000,35922,1,TH,1,100,31.275
1760384365.525531,231337.000,35939,1,TH,1,100,31.290
1760384365.659528,231471.000,35956,1,TH,1,100,31.290
1760384365.792526,231604.000,35989,1,TH,1,100,31.185
1760384365.925524,231737.000,36006,1,TH,1,100,31.185
1760384366.059521,231871.000,36023,1,TH,1,100,31.241
1760384366.192519,232004.000,36054,1,TH,1,100,31.234
1760384366.325517,232137.000,36074,1,TH,1,100,31.247
1760384366.459514,232271.000,36094,1,TH,1,100,31.246
1760384366.592512,232404.000,36130,1,TH,1,100,31.234
1760384366.725509,232537.000,36147,1,TH,1,100,31.234
1760384366.859507,232671.000,36163,1,TH,1,100,31.283
1760384366.992505,232804.000,36197,1,TH,1,100,31.290
1760384367.125502,232937.000,36221,1,TH,1,100,31.273
1760384367.259500,233071.000,36238,1,TH,1,100,31.266
1760384367.392497,233204.000,36259,1,TH,1,100,31.198
1760384367.525495,233337.000,36275,1,TH,1,100,31.198
1760384367.659492,233471.000,36307,1,TH,1,100,31.290
1760384367.792490,233604.000,36326,1,TH,1,100,31.298
1760384367.925488,233737.000,36342,1,TH,1,100,31.341
1760384368.059485,233871.000,36378,1,TH,1,100,31.334
1760384368.192483,234004.000,36395,1,TH,1,100,31.203
1760384368.325480,234137.000,36412,1,TH,1,100,31.203
1760384368.459478,234271.000,36447,1,TH,1,100,31.312
1760384368.592476,234404.000,36464,1,TH,1,100,31.319
1760384368.725473,234537.000,36481,1,TH,1,100,31.273
1760384368.858471,234670.000,36516,1,TH,1,100,31.266
1760384368.992469,234804.000,36534,1,TH,1,100,31.266
1760384369.125466,234937.000,36550,1,TH,1,100,31.266
1760384369.258464,235070.000,36586,1,TH,1,100,31.198
1760384369.392461,235204.000,36603,1,TH,1,100,31.198
1760384369.525459,235337.000,36621,1,TH,1,100,31.278
1760384369.658457,235470.000,36641,1,TH,1,100,31.278
1760384369.792454,235604.000,36672,1,TH,1,100,31.286
1760384369.925452,235737.000,36688,1,TH,1,100,31.293
1760384370.058449,235870.000,36710,1,TH,1,100,31.239
