RD,TS_received,TS_sent,AK,RoundTrip,
227806,227825,2025-10-13_15-39-22-004393,227827,19,
232926,232940,2025-10-13_15-39-27-121650,232941,14,
238040,238052,2025-10-13_15-39-32-234410,238053,12,
243153,243210,2025-10-13_15-39-37-381490,243212,57,
248264,248321,2025-10-13_15-39-42-502912,248322,57,
253376,253400,2025-10-13_15-39-47-580958,253401,24,
258491,258504,2025-10-13_15-39-52-684176,258505,13,
263612,263622,2025-10-13_15-39-57-803667,263624,10,
268720,268776,2025-10-13_15-40-02-920555,268781,56,
273840,273852,2025-10-13_15-40-08-033483,273854,12,
278959,278974,2025-10-13_15-40-13-157436,278975,15,
284069,284091,2025-10-13_15-40-18-271605,284092,22,
289193,289208,2025-10-13_15-40-23-388143,289210,15,
294315,294328,2025-10-13_15-40-28-508797,294329,13,
299434,299445,2025-10-13_15-40-33-625157,299447,11,
304564,304577,2025-10-13_15-40-38-757927,304579,13,
309687,309701,2025-10-13_15-40-43-883751,309703,14,
314808,314821,2025-10-13_15-40-49-002149,314822,13,
319923,319932,2025-10-13_15-40-54-114436,319937,9,
325043,325096,2025-10-13_15-40-59-263834,325098,53,
330158,330208,2025-10-13_15-41-04-373830,330209,50,
335276,335300,2025-10-13_15-41-09-481484,335301,24,
340389,340414,2025-10-13_15-41-14-594380,340415,25,
345502,345521,2025-10-13_15-41-19-697702,345522,19,
350621,350631,2025-10-13_15-41-24-813035,350632,10,
