LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760382196.949208,1501836.000,50555,1,HR,1,100,87.56
1760382198.508178,1503395.000,50803,1,HR,1,100,76.65
1760382200.308143,1505195.000,51099,1,HR,1,100,67.02
1760382202.188106,1507075.000,51404,1,HR,1,100,59.22
1760382204.188067,1509075.000,51732,1,HR,1,100,52.73
1760382206.161029,1511048.000,52050,1,HR,1,100,47.81
1760382206.401024,1511288.000,52086,1,HR,1,100,92.75
1760382210.760940,1515648.000,52791,1,HR,1,100,75.19
1760382211.960917,1516848.000,52979,1,HR,1,100,69.59
1760382213.119894,1518007.000,53179,1,HR,1,100,65.62
1760382215.012857,1519900.000,53492,1,HR,1,100,58.13
1760382217.172815,1522060.000,53826,1,HR,1,100,51.39
1760382217.452810,1522340.000,53877,1,HR,1,100,87.59
1760382217.852802,1522740.000,53945,1,HR,1,100,101.46
1760382238.077410,1542965.000,57210,1,HR,1,100,79.57
1760382248.089216,1552977.000,58833,1,HR,1,100,63.22
1760382249.689185,1554577.000,59096,1,HR,1,100,57.50
1760382250.569168,1555457.000,59228,1,HR,1,100,59.88
1760382253.049119,1557937.000,59626,1,HR,1,100,51.95
1760382262.060945,1566949.000,61093,1,HR,1,100,41.88
1760382263.900909,1568789.000,61379,1,HR,1,100,39.82
1760382279.365609,1584254.000,63868,1,HR,1,100,31.84
1760382283.005538,1587894.000,64464,1,HR,1,100,28.42
1760382284.245514,1589134.000,64664,1,HR,1,100,32.86
1760382287.298455,1592187.000,65156,1,HR,1,100,29.94
1760382291.097381,1595986.000,234,1,HR,1,100,26.80
1760382292.897346,1597786.000,532,1,HR,1,100,28.25
1760382293.737330,1598626.000,670,1,HR,1,100,37.85
1760382297.297261,1602186.000,1243,1,HR,1,100,33.18
1760382299.390221,1604279.000,1594,1,HR,1,100,32.22
1760382301.029189,1605918.000,1859,1,HR,1,100,33.19
1760382301.790174,1606679.000,1974,1,HR,1,100,43.36
1760382306.069091,1610958.000,2668,1,HR,1,100,36.84
1760382306.829076,1611718.000,2801,1,HR,1,100,46.20
1760382321.373794,1626263.000,5160,1,HR,1,100,36.85
1760382322.333776,1627223.000,5310,1,HR,1,100,42.55
1760382325.813708,1630703.000,5873,1,HR,1,100,36.92
1760382326.493695,1631383.000,5989,1,HR,1,100,48.33
1760382327.013685,1631903.000,6072,1,HR,1,100,63.23
