LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760382196.669213,1501556.000,50504,3,PI,1,100,155948
1760382196.669213,1501556.000,50504,3,PI,1,100,155913
1760382196.669213,1501556.000,50504,3,PI,1,100,155928
1760382196.709212,1501596.000,50521,2,PI,1,100,155952
1760382196.749212,1501636.000,50521,2,PI,1,100,155937
1760382196.789211,1501676.000,50537,3,PI,1,100,155888
1760382196.829210,1501716.000,50537,3,PI,1,100,155886
1760382196.869209,1501756.000,50537,3,PI,1,100,155946
1760382196.909209,1501796.000,50556,2,PI,1,100,155940
1760382196.949208,1501836.000,50556,2,PI,1,100,155891
1760382196.989207,1501876.000,50573,3,PI,1,100,155873
1760382197.029206,1501916.000,50573,3,PI,1,100,155910
1760382197.069205,1501956.000,50573,3,PI,1,100,155944
1760382197.109205,1501996.000,50590,3,PI,1,100,155925
1760382197.149204,1502036.000,50590,3,PI,1,100,155902
1760382197.189203,1502076.000,50590,3,PI,1,100,155884
1760382197.229202,1502116.000,50606,2,PI,1,100,155888
1760382197.269202,1502156.000,50606,2,PI,1,100,155881
1760382197.309201,1502196.000,50624,3,PI,1,100,155877
1760382197.349200,1502236.000,50624,3,PI,1,100,155868
1760382197.389199,1502276.000,50624,3,PI,1,100,155883
1760382197.429199,1502316.000,50638,2,PI,1,100,155867
1760382197.469198,1502356.000,50638,2,PI,1,100,155849
1760382197.509197,1502396.000,50655,3,PI,1,100,155840
1760382197.549196,1502436.000,50655,3,PI,1,100,155828
1760382197.589195,1502476.000,50655,3,PI,1,100,155827
1760382197.629194,1502516.000,50672,2,PI,1,100,155830
1760382197.669194,1502556.000,50672,2,PI,1,100,155819
1760382197.709193,1502596.000,50689,3,PI,1,100,155830
1760382197.749192,1502636.000,50689,3,PI,1,100,155823
1760382197.789191,1502676.000,50689,3,PI,1,100,155834
1760382197.829191,1502716.000,50704,2,PI,1,100,155828
1760382197.869190,1502756.000,50704,2,PI,1,100,155810
1760382197.909189,1502796.000,50721,3,PI,1,100,155837
1760382197.949188,1502836.000,50721,3,PI,1,100,155851
1760382197.989187,1502876.000,50721,3,PI,1,100,155856
1760382198.028687,1502915.500,50737,2,PI,1,100,155851
1760382198.068186,1502955.000,50737,2,PI,1,100,155848
1760382198.108519,1502995.333,50754,3,PI,1,100,155852
1760382198.148851,1503035.667,50754,3,PI,1,100,155829
1760382198.189184,1503076.000,50754,3,PI,1,100,155828
1760382198.228683,1503115.500,50770,2,PI,1,100,155829
1760382198.268182,1503155.000,50770,2,PI,1,100,155822
1760382198.308181,1503195.000,50786,3,PI,1,100,155814
1760382198.348181,1503235.000,50786,3,PI,1,100,155820
1760382198.388180,1503275.000,50786,3,PI,1,100,155814
1760382198.428179,1503315.000,50804,3,PI,1,100,155841
1760382198.468178,1503355.000,50804,3,PI,1,100,155839
1760382198.508178,1503395.000,50804,3,PI,1,100,155828
1760382198.548177,1503435.000,50821,2,PI,1,100,155824
1760382198.588176,1503475.000,50821,2,PI,1,100,155826
1760382198.628175,1503515.000,50838,3,PI,1,100,155798
1760382198.668174,1503555.000,50838,3,PI,1,100,155790
1760382198.708174,1503595.000,50838,3,PI,1,100,155800
1760382198.748173,1503635.000,50853,2,PI,1,100,155789
1760382198.788172,1503675.000,50853,2,PI,1,100,155771
1760382198.828171,1503715.000,50869,3,PI,1,100,155767
1760382198.868170,1503755.000,50869,3,PI,1,100,155776
1760382198.908170,1503795.000,50869,3,PI,1,100,155781
1760382198.948169,1503835.000,50887,2,PI,1,100,155758
1760382198.988168,1503875.000,50887,2,PI,1,100,155773
1760382199.028167,1503915.000,50903,3,PI,1,100,155773
1760382199.068167,1503955.000,50903,3,PI,1,100,155756
1760382199.108166,1503995.000,50903,3,PI,1,100,155753
1760382199.148165,1504035.000,50918,2,PI,1,100,155779
1760382199.188164,1504075.000,50918,2,PI,1,100,155758
1760382199.228163,1504115.000,50934,3,PI,1,100,155768
1760382199.268163,1504155.000,50934,3,PI,1,100,155762
1760382199.308162,1504195.000,50934,3,PI,1,100,155766
1760382199.348161,1504235.000,50952,2,PI,1,100,155735
1760382199.388160,1504275.000,50952,2,PI,1,100,155739
1760382199.428160,1504315.000,50968,3,PI,1,100,155740
1760382199.468159,1504355.000,50968,3,PI,1,100,155730
1760382199.508158,1504395.000,50968,3,PI,1,100,155728
1760382199.548157,1504435.000,50983,3,PI,1,100,155744
1760382199.588156,1504475.000,50983,3,PI,1,100,155731
1760382199.628156,1504515.000,50983,3,PI,1,100,155736
1760382199.668155,1504555.000,51000,2,PI,1,100,155713
1760382199.708154,1504595.000,51000,2,PI,1,100,155741
1760382199.748153,1504635.000,51017,3,PI,1,100,155716
1760382199.788153,1504675.000,51017,3,PI,1,100,155736
1760382199.828152,1504715.000,51017,3,PI,1,100,155738
1760382199.868151,1504755.000,51033,2,PI,1,100,155726
1760382199.908150,1504795.000,51033,2,PI,1,100,155721
1760382199.948149,1504835.000,51050,3,PI,1,100,155715
1760382199.988149,1504875.000,51050,3,PI,1,100,155693
1760382200.028148,1504915.000,51050,3,PI,1,100,155678
1760382200.068147,1504955.000,51065,2,PI,1,100,155678
1760382200.108146,1504995.000,51065,2,PI,1,100,155667
1760382200.148146,1505035.000,51082,3,PI,1,100,155683
1760382200.188145,1505075.000,51082,3,PI,1,100,155702
1760382200.228144,1505115.000,51082,3,PI,1,100,155703
1760382200.268143,1505155.000,51101,2,PI,1,100,155681
1760382200.308143,1505195.000,51101,2,PI,1,100,155693
1760382200.348142,1505235.000,51118,3,PI,1,100,155680
1760382200.388141,1505275.000,51118,3,PI,1,100,155651
1760382200.428140,1505315.000,51118,3,PI,1,100,155660
1760382200.468139,1505355.000,51132,2,PI,1,100,155643
1760382200.508139,1505395.000,51132,2,PI,1,100,155637
1760382200.548138,1505435.000,51149,3,PI,1,100,155626
1760382200.588137,1505475.000,51149,3,PI,1,100,155619
1760382200.628136,1505515.000,51149,3,PI,1,100,155608
1760382200.668136,1505555.000,51166,2,PI,1,100,155617
1760382200.708135,1505595.000,51166,2,PI,1,100,155610
1760382200.748134,1505635.000,51183,3,PI,1,100,155614
1760382200.788133,1505675.000,51183,3,PI,1,100,155602
1760382200.828132,1505715.000,51183,3,PI,1,100,155604
1760382200.868132,1505755.000,51197,2,PI,1,100,155587
1760382200.908131,1505795.000,51197,2,PI,1,100,155560
1760382200.948130,1505835.000,51220,5,PI,1,100,155580
1760382200.988129,1505875.000,51220,5,PI,1,100,155585
1760382201.028129,1505915.000,51220,5,PI,1,100,155584
1760382201.068128,1505955.000,51220,5,PI,1,100,155587
1760382201.108127,1505995.000,51220,5,PI,1,100,155590
1760382201.148126,1506035.000,51237,2,PI,1,100,155582
1760382201.188126,1506075.000,51237,2,PI,1,100,155562
1760382201.228125,1506115.000,51253,3,PI,1,100,155583
1760382201.268124,1506155.000,51253,3,PI,1,100,155562
1760382201.308123,1506195.000,51253,3,PI,1,100,155567
1760382201.348122,1506235.000,51271,2,PI,1,100,155541
1760382201.388122,1506275.000,51271,2,PI,1,100,155547
1760382201.428121,1506315.000,51287,3,PI,1,100,155551
1760382201.468120,1506355.000,51287,3,PI,1,100,155525
1760382201.508119,1506395.000,51287,3,PI,1,100,155532
1760382201.548119,1506435.000,51303,3,PI,1,100,155523
1760382201.588118,1506475.000,51303,3,PI,1,100,155542
1760382201.628117,1506515.000,51303,3,PI,1,100,155526
1760382201.668116,1506555.000,51319,2,PI,1,100,155526
1760382201.708115,1506595.000,51319,2,PI,1,100,155517
1760382201.748115,1506635.000,51336,3,PI,1,100,155512
1760382201.788114,1506675.000,51336,3,PI,1,100,155509
1760382201.828113,1506715.000,51336,3,PI,1,100,155510
