LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760382196.667213,1501554.000,50503,1,SF,1,100,9.6241
1760382197.067205,1501954.000,50572,1,SF,1,100,9.5128
1760382197.334200,1502221.000,50623,1,SF,1,100,9.4027
1760382197.667194,1502554.000,50671,1,SF,1,100,9.2939
1760382198.000187,1502887.000,50720,1,SF,1,100,9.1864
1760382198.400180,1503287.000,50785,1,SF,1,100,9.0802
1760382198.667174,1503554.000,50837,1,SF,1,100,8.9751
1760382199.000168,1503887.000,50886,1,SF,1,100,8.8713
1760382199.400160,1504287.000,50951,1,SF,1,100,8.7687
1760382199.667155,1504554.000,50999,1,SF,1,100,8.6672
1760382200.000149,1504887.000,51049,1,SF,1,100,8.5670
1760382200.334142,1505221.000,51100,1,SF,1,100,8.4679
1760382200.734134,1505621.000,51165,1,SF,1,100,8.3699
1760382201.067128,1505954.000,51219,1,SF,1,100,8.2731
1760382201.400121,1506287.000,51270,1,SF,1,100,8.1774
1760382201.667116,1506554.000,51318,1,SF,1,100,8.0828
1760382202.000110,1506887.000,51368,1,SF,1,100,7.9893
1760382202.333103,1507220.000,51421,1,SF,1,100,7.8969
1760382202.733096,1507620.000,51486,1,SF,1,100,7.8055
1760382203.000090,1507887.000,51535,1,SF,1,100,7.7152
1760382203.333084,1508220.000,51584,1,SF,1,100,7.6260
1760382203.733076,1508620.000,51649,1,SF,1,100,7.5378
1760382204.067070,1508954.000,51699,1,SF,1,100,7.4506
1760382204.333065,1509220.000,51749,1,SF,1,100,7.3644
1760382204.666058,1509553.000,51798,1,SF,1,100,7.2792
1760382205.066050,1509953.000,51863,1,SF,1,100,7.1950
1760382205.333045,1510220.000,51913,1,SF,1,100,7.1117
1760382205.666039,1510553.000,51962,1,SF,1,100,7.0295
1760382206.066031,1510953.000,52027,1,SF,1,100,6.9482
1760382206.333026,1511220.000,52068,1,SF,1,100,6.8678
1760382206.733018,1511620.000,52135,1,SF,1,100,6.7883
1760382207.000013,1511887.000,52183,1,SF,1,100,6.7098
1760382207.333006,1512220.000,52234,1,SF,1,100,6.6322
1760382207.732999,1512620.000,52300,1,SF,1,100,6.5555
1760382207.999993,1512887.000,52349,1,SF,1,100,6.4796
1760382208.332987,1513220.000,52398,1,SF,1,100,6.4047
1760382208.665980,1513553.000,52446,1,SF,1,100,6.3306
1760382209.065973,1513953.000,52511,1,SF,1,100,6.2573
1760382209.332968,1514220.000,52562,1,SF,1,100,6.1850
1760382209.665961,1514553.000,52610,1,SF,1,100,6.1134
1760382210.065953,1514953.000,52675,1,SF,1,100,6.0427
1760382210.332948,1515220.000,52724,1,SF,1,100,5.9728
1760382210.665942,1515553.000,52774,1,SF,1,100,5.9037
1760382210.998935,1515886.000,52825,1,SF,1,100,5.8354
1760382211.332929,1516220.000,52879,1,SF,1,100,5.7679
1760382211.731921,1516619.000,52945,1,SF,1,100,5.7012
1760382212.065914,1516953.000,52998,1,SF,1,100,5.6352
1760382212.331909,1517219.000,53047,1,SF,1,100,5.5700
1760382212.665903,1517553.000,53095,1,SF,1,100,5.5056
1760382213.065895,1517953.000,53160,1,SF,1,100,5.4419
1760382213.331890,1518219.000,53213,1,SF,1,100,5.3790
1760382213.665884,1518553.000,53261,1,SF,1,100,5.3167
1760382214.065876,1518953.000,53326,1,SF,1,100,5.2552
1760382214.398869,1519286.000,53375,1,SF,1,100,5.1944
1760382214.664864,1519552.000,53425,1,SF,1,100,5.1343
1760382214.998857,1519886.000,53474,1,SF,1,100,5.0750
1760382215.398850,1520286.000,53541,1,SF,1,100,5.0162
1760382215.664845,1520552.000,53589,1,SF,1,100,4.9582
1760382215.998838,1520886.000,53638,1,SF,1,100,4.9009
1760382216.464829,1521352.000,53709,1,SF,1,100,4.8442
1760382216.664825,1521552.000,53741,1,SF,1,100,4.7881
1760382217.064817,1521952.000,53808,1,SF,1,100,4.7327
1760382217.331812,1522219.000,53860,1,SF,1,100,4.6780
1760382217.664806,1522552.000,53911,1,SF,1,100,4.6239
1760382218.064798,1522952.000,53978,1,SF,1,100,4.5704
1760382218.397792,1523285.000,54026,1,SF,1,100,4.5175
1760382218.664787,1523552.000,54077,1,SF,1,100,4.4653
1760382218.997780,1523885.000,54125,1,SF,1,100,4.4136
1760382219.397772,1524285.000,54190,1,SF,1,100,4.3625
1760382219.664767,1524552.000,54239,1,SF,1,100,4.3121
1760382219.997761,1524885.000,54287,1,SF,1,100,4.2622
1760382220.397753,1525285.000,54353,1,SF,1,100,4.2129
1760382220.664748,1525552.000,54403,1,SF,1,100,4.1642
1760382220.997741,1525885.000,54451,1,SF,1,100,4.1160
1760382221.330735,1526218.000,54500,1,SF,1,100,4.0684
1760382221.664728,1526552.000,54555,1,SF,1,100,4.0213
1760382222.064721,1526952.000,54622,1,SF,1,100,3.9748
1760382222.331715,1527219.000,54671,1,SF,1,100,3.9288
1760382222.664709,1527552.000,54720,1,SF,1,100,3.8834
1760382222.997702,1527885.000,54770,1,SF,1,100,3.8384
1760382223.397695,1528285.000,54835,1,SF,1,100,3.7940
1760382223.664690,1528552.000,54883,1,SF,1,100,3.7501
1760382223.997683,1528885.000,54932,1,SF,1,100,3.7068
1760382224.397675,1529285.000,54997,1,SF,1,100,3.6639
1760382224.664670,1529552.000,55047,1,SF,1,100,3.6215
1760382224.997664,1529885.000,55096,1,SF,1,100,3.5796
1760382225.330657,1530218.000,55144,1,SF,1,100,3.5382
1760382225.730649,1530618.000,55209,1,SF,1,100,3.4973
1760382225.997644,1530885.000,55260,1,SF,1,100,3.4568
1760382226.330638,1531218.000,55308,1,SF,1,100,3.4168
1760382226.663631,1531551.000,55362,1,SF,1,100,3.3773
1760382226.997625,1531885.000,55412,1,SF,1,100,3.3382
1760382227.397617,1532285.000,55479,1,SF,1,100,3.2996
1760382227.663612,1532551.000,55528,1,SF,1,100,3.2614
1760382227.996605,1532884.000,55576,1,SF,1,100,3.2237
1760382228.396598,1533284.000,55641,1,SF,1,100,3.1864
