LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760382196.594215,1501481.000,50509,1,T1,1,100,31.592
1760382196.727212,1501614.000,50526,1,T1,1,100,31.540
1760382196.860209,1501747.000,50542,1,T1,1,100,31.482
1760382196.994207,1501881.000,50578,1,T1,1,100,31.528
1760382197.127204,1502014.000,50595,1,T1,1,100,31.512
1760382197.260202,1502147.000,50611,1,T1,1,100,31.505
1760382197.394199,1502281.000,50643,1,T1,1,100,31.538
1760382197.527196,1502414.000,50660,1,T1,1,100,31.587
1760382197.660194,1502547.000,50677,1,T1,1,100,31.467
1760382197.794191,1502681.000,50694,1,T1,1,100,31.486
1760382197.927189,1502814.000,50726,1,T1,1,100,31.529
1760382198.060186,1502947.000,50742,1,T1,1,100,31.406
1760382198.194184,1503081.000,50759,1,T1,1,100,31.530
1760382198.327181,1503214.000,50791,1,T1,1,100,31.584
1760382198.460178,1503347.000,50809,1,T1,1,100,31.465
1760382198.594176,1503481.000,50826,1,T1,1,100,31.414
1760382198.727173,1503614.000,50858,1,T1,1,100,31.534
1760382198.860171,1503747.000,50874,1,T1,1,100,31.515
1760382198.994168,1503881.000,50892,1,T1,1,100,31.542
1760382199.127166,1504014.000,50923,1,T1,1,100,31.589
1760382199.260163,1504147.000,50939,1,T1,1,100,31.503
1760382199.394160,1504281.000,50957,1,T1,1,100,31.572
1760382199.527158,1504414.000,50988,1,T1,1,100,31.602
1760382199.660155,1504547.000,51005,1,T1,1,100,31.509
1760382199.793153,1504680.000,51022,1,T1,1,100,31.504
1760382199.927150,1504814.000,51038,1,T1,1,100,31.608
1760382200.060147,1504947.000,51070,1,T1,1,100,31.547
1760382200.193145,1505080.000,51087,1,T1,1,100,31.485
1760382200.327142,1505214.000,51106,1,T1,1,100,31.564
1760382200.460140,1505347.000,51137,1,T1,1,100,31.457
1760382200.593137,1505480.000,51154,1,T1,1,100,31.517
1760382200.727134,1505614.000,51171,1,T1,1,100,31.578
1760382200.860132,1505747.000,51202,1,T1,1,100,31.534
1760382200.993129,1505880.000,51225,1,T1,1,100,31.586
1760382201.127127,1506014.000,51242,1,T1,1,100,31.537
