LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760382196.609214,1501496.000,50510,1,TH,1,100,30.383
1760382196.742212,1501629.000,50527,1,TH,1,100,30.383
1760382196.875209,1501762.000,50543,1,TH,1,100,30.253
1760382197.009207,1501896.000,50579,1,TH,1,100,30.253
1760382197.142204,1502029.000,50596,1,TH,1,100,30.336
1760382197.275201,1502162.000,50612,1,TH,1,100,30.329
1760382197.409199,1502296.000,50644,1,TH,1,100,30.314
1760382197.542196,1502429.000,50661,1,TH,1,100,30.321
1760382197.675194,1502562.000,50678,1,TH,1,100,30.339
1760382197.809191,1502696.000,50709,1,TH,1,100,30.339
1760382197.942189,1502829.000,50727,1,TH,1,100,30.284
1760382198.075186,1502962.000,50743,1,TH,1,100,30.284
1760382198.208183,1503095.000,50760,1,TH,1,100,30.292
1760382198.342181,1503229.000,50792,1,TH,1,100,30.285
1760382198.475178,1503362.000,50810,1,TH,1,100,30.282
1760382198.608176,1503495.000,50827,1,TH,1,100,30.289
1760382198.742173,1503629.000,50859,1,TH,1,100,30.341
1760382198.875170,1503762.000,50875,1,TH,1,100,30.341
1760382199.008168,1503895.000,50893,1,TH,1,100,30.302
1760382199.142165,1504029.000,50924,1,TH,1,100,30.302
1760382199.275163,1504162.000,50940,1,TH,1,100,30.289
1760382199.408160,1504295.000,50958,1,TH,1,100,30.289
1760382199.542157,1504429.000,50989,1,TH,1,100,30.354
1760382199.675155,1504562.000,51006,1,TH,1,100,30.354
1760382199.808152,1504695.000,51023,1,TH,1,100,30.302
1760382199.942150,1504829.000,51055,1,TH,1,100,30.302
1760382200.075147,1504962.000,51071,1,TH,1,100,30.250
1760382200.208144,1505095.000,51088,1,TH,1,100,30.250
1760382200.342142,1505229.000,51107,1,TH,1,100,30.297
1760382200.475139,1505362.000,51138,1,TH,1,100,30.297
1760382200.608137,1505495.000,51155,1,TH,1,100,30.334
1760382200.742134,1505629.000,51172,1,TH,1,100,30.334
1760382200.875132,1505762.000,51203,1,TH,1,100,30.277
1760382201.008129,1505895.000,51226,1,TH,1,100,30.277
1760382201.141126,1506028.000,51243,1,TH,1,100,30.314
1760382201.275124,1506162.000,51259,1,TH,1,100,30.314
1760382201.408121,1506295.000,51277,1,TH,1,100,30.331
1760382201.542119,1506429.000,51308,1,TH,1,100,30.331
1760382201.675116,1506562.000,51325,1,TH,1,100,30.314
1760382201.808114,1506695.000,51342,1,TH,1,100,30.314
1760382201.941111,1506828.000,51374,1,TH,1,100,30.353
1760382202.075108,1506962.000,51392,1,TH,1,100,30.353
1760382202.208106,1507095.000,51411,1,TH,1,100,30.381
1760382202.342103,1507229.000,51428,1,TH,1,100,30.381
1760382202.475101,1507362.000,51459,1,TH,1,100,30.346
1760382202.608098,1507495.000,51476,1,TH,1,100,30.346
1760382202.741095,1507628.000,51493,1,TH,1,100,30.301
1760382202.875093,1507762.000,51524,1,TH,1,100,30.301
1760382203.008090,1507895.000,51542,1,TH,1,100,30.321
1760382203.141088,1508028.000,51558,1,TH,1,100,30.321
1760382203.275085,1508162.000,51590,1,TH,1,100,30.353
1760382203.408082,1508295.000,51607,1,TH,1,100,30.353
1760382203.541080,1508428.000,51623,1,TH,1,100,30.398
1760382203.675077,1508562.000,51655,1,TH,1,100,30.398
1760382203.808075,1508695.000,51672,1,TH,1,100,30.373
1760382203.941072,1508828.000,51688,1,TH,1,100,30.373
1760382204.075069,1508962.000,51706,1,TH,1,100,30.351
1760382204.208067,1509095.000,51739,1,TH,1,100,30.351
1760382204.341064,1509228.000,51756,1,TH,1,100,30.363
1760382204.475062,1509362.000,51773,1,TH,1,100,30.363
1760382204.608059,1509495.000,51805,1,TH,1,100,30.314
1760382204.741057,1509628.000,51821,1,TH,1,100,30.314
1760382204.874054,1509761.000,51838,1,TH,1,100,30.343
1760382205.008051,1509895.000,51870,1,TH,1,100,30.343
1760382205.141049,1510028.000,51886,1,TH,1,100,30.299
1760382205.274046,1510161.000,51903,1,TH,1,100,30.299
1760382205.408044,1510295.000,51935,1,TH,1,100,30.341
1760382205.541041,1510428.000,51951,1,TH,1,100,30.341
1760382205.674038,1510561.000,51969,1,TH,1,100,30.326
1760382205.808036,1510695.000,52000,1,TH,1,100,30.326
1760382205.941033,1510828.000,52016,1,TH,1,100,30.348
1760382206.074031,1510961.000,52034,1,TH,1,100,30.348
1760382206.208028,1511095.000,52057,1,TH,1,100,30.319
1760382206.341026,1511228.000,52075,1,TH,1,100,30.319
1760382206.474023,1511361.000,52108,1,TH,1,100,30.346
1760382206.608020,1511495.000,52124,1,TH,1,100,30.346
1760382206.741018,1511628.000,52142,1,TH,1,100,30.353
1760382206.874015,1511761.000,52173,1,TH,1,100,30.353
1760382207.008013,1511895.000,52190,1,TH,1,100,30.402
1760382207.141010,1512028.000,52209,1,TH,1,100,30.402
1760382207.274008,1512161.000,52241,1,TH,1,100,30.297
1760382207.408005,1512295.000,52257,1,TH,1,100,30.297
1760382207.541002,1512428.000,52274,1,TH,1,100,30.299
1760382207.674000,1512561.000,52306,1,TH,1,100,30.299
1760382207.806997,1512694.000,52322,1,TH,1,100,30.255
1760382207.940995,1512828.000,52339,1,TH,1,100,30.255
1760382208.073992,1512961.000,52371,1,TH,1,100,30.343
1760382208.206989,1513094.000,52387,1,TH,1,100,30.343
1760382208.340987,1513228.000,52405,1,TH,1,100,30.378
1760382208.473984,1513361.000,52421,1,TH,1,100,30.378
1760382208.606982,1513494.000,52453,1,TH,1,100,30.346
1760382208.740979,1513628.000,52470,1,TH,1,100,30.346
1760382208.873976,1513761.000,52486,1,TH,1,100,30.339
1760382209.006974,1513894.000,52518,1,TH,1,100,30.339
1760382209.140971,1514028.000,52535,1,TH,1,100,30.353
1760382209.273969,1514161.000,52551,1,TH,1,100,30.353
1760382209.406966,1514294.000,52583,1,TH,1,100,30.304
1760382209.540963,1514428.000,52600,1,TH,1,100,30.304
1760382209.673961,1514561.000,52617,1,TH,1,100,30.343
1760382209.806958,1514694.000,52648,1,TH,1,100,30.343
1760382209.940956,1514828.000,52665,1,TH,1,100,30.282
1760382210.073953,1514961.000,52682,1,TH,1,100,30.282
1760382210.206951,1515094.000,52713,1,TH,1,100,30.348
1760382210.340948,1515228.000,52731,1,TH,1,100,30.348
1760382210.473945,1515361.000,52747,1,TH,1,100,30.339
1760382210.606943,1515494.000,52764,1,TH,1,100,30.339
1760382210.740940,1515628.000,52798,1,TH,1,100,30.358
1760382210.873938,1515761.000,52814,1,TH,1,100,30.358
1760382211.006935,1515894.000,52832,1,TH,1,100,30.248
1760382211.140933,1516028.000,52863,1,TH,1,100,30.248
1760382211.273930,1516161.000,52886,1,TH,1,100,30.307
1760382211.406927,1516294.000,52902,1,TH,1,100,30.307
1760382211.539925,1516427.000,52919,1,TH,1,100,30.400
1760382211.673922,1516561.000,52951,1,TH,1,100,30.400
1760382211.806920,1516694.000,52967,1,TH,1,100,30.240
1760382211.939917,1516827.000,52986,1,TH,1,100,30.240
1760382212.073914,1516961.000,53005,1,TH,1,100,30.378
1760382212.206912,1517094.000,53036,1,TH,1,100,30.378
1760382212.339909,1517227.000,53054,1,TH,1,100,30.348
1760382212.473907,1517361.000,53070,1,TH,1,100,30.348
1760382212.606904,1517494.000,53102,1,TH,1,100,30.321
1760382212.739902,1517627.000,53119,1,TH,1,100,30.321
1760382212.873899,1517761.000,53135,1,TH,1,100,30.402
1760382213.006896,1517894.000,53167,1,TH,1,100,30.402
1760382213.139894,1518027.000,53186,1,TH,1,100,30.314
1760382213.273891,1518161.000,53202,1,TH,1,100,30.314
1760382213.406888,1518294.000,53234,1,TH,1,100,30.348
1760382213.539886,1518427.000,53251,1,TH,1,100,30.348
1760382213.673883,1518561.000,53268,1,TH,1,100,30.388
1760382213.806881,1518694.000,53299,1,TH,1,100,30.388
1760382213.939878,1518827.000,53316,1,TH,1,100,30.331
1760382214.073876,1518961.000,53333,1,TH,1,100,30.331
1760382214.206873,1519094.000,53364,1,TH,1,100,30.317
1760382214.339870,1519227.000,53382,1,TH,1,100,30.317
1760382214.473868,1519361.000,53398,1,TH,1,100,30.294
1760382214.606865,1519494.000,53415,1,TH,1,100,30.294
1760382214.739863,1519627.000,53447,1,TH,1,100,30.348
1760382214.873860,1519761.000,53463,1,TH,1,100,30.348
1760382215.006857,1519894.000,53481,1,TH,1,100,30.312
1760382215.139855,1520027.000,53514,1,TH,1,100,30.312
1760382215.272852,1520160.000,53530,1,TH,1,100,30.289
1760382215.406850,1520294.000,53548,1,TH,1,100,30.289
1760382215.539847,1520427.000,53579,1,TH,1,100,30.299
1760382215.672845,1520560.000,53596,1,TH,1,100,30.299
1760382215.806842,1520694.000,53613,1,TH,1,100,30.429
1760382215.939839,1520827.000,53645,1,TH,1,100,30.429
1760382216.072837,1520960.000,53661,1,TH,1,100,30.410
1760382216.206834,1521094.000,53678,1,TH,1,100,30.410
1760382216.339832,1521227.000,53716,2,TH,1,100,30.383
1760382216.472829,1521360.000,53716,2,TH,1,100,30.383
