LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760384203.014581,68827.000,9144,1,BI,1,100,600
1760384203.374580,69187.000,9197,1,BI,1,100,360
1760384204.174577,69987.000,9335,1,BI,1,100,800
1760384204.654576,70467.000,9417,1,BI,1,100,480
1760384204.934575,70747.000,9469,1,BI,1,100,280
1760384205.414574,71227.000,9553,1,BI,1,100,480
1760384206.254571,72067.000,9685,1,BI,1,100,840
1760384207.214569,73027.000,9837,1,BI,1,100,960
1760384208.534565,74347.000,10054,1,BI,1,100,1320
1760384208.973564,74786.000,10138,1,BI,1,100,440
1760384209.413562,75226.000,10206,1,BI,1,100,440
1760384210.253560,76066.000,10338,1,BI,1,100,840
1760384210.533559,76346.000,10390,1,BI,1,100,280
1760384210.973558,76786.000,10457,1,BI,1,100,440
1760384211.373557,77186.000,10524,1,BI,1,100,400
1760384212.533553,78346.000,10724,1,BI,1,100,1160
1760384212.866552,78679.000,10775,1,BI,1,100,320
1760384213.506551,79319.000,10876,1,BI,1,100,640
1760384214.826547,80639.000,11095,1,BI,1,100,1320
1760384215.506545,81319.000,11211,1,BI,1,100,680
1760384216.266543,82079.000,11326,1,BI,1,100,760
1760384216.826541,82639.000,11429,1,BI,1,100,560
1760384217.866538,83679.000,11594,1,BI,1,100,1040
1760384218.706536,84519.000,11727,1,BI,1,100,840
1760384219.026535,84839.000,11800,1,BI,1,100,320
1760384219.506533,85319.000,11867,1,BI,1,100,480
1760384220.306531,86119.000,11999,1,BI,1,100,800
1760384221.545527,87358.000,12199,1,BI,1,100,1240
1760384222.545525,88358.000,12367,1,BI,1,100,1000
1760384224.398519,90211.000,12668,1,BI,1,100,1840
1760384225.878515,91691.000,12917,1,BI,1,100,1480
1760384226.798512,92611.000,13068,1,BI,1,100,920
1760384227.838509,93651.000,13232,1,BI,1,100,1040
1760384229.118506,94931.000,13452,1,BI,1,100,1280
1760384229.478505,95291.000,13519,1,BI,1,100,360
1760384230.718501,96531.000,13717,1,BI,1,100,1240
1760384232.198497,98011.000,13950,1,BI,1,100,1480
1760384233.598493,99411.000,14181,1,BI,1,100,1400
1760384235.051488,100864.000,14415,1,BI,1,100,1440
1760384235.571487,101384.000,14499,1,BI,1,100,520
1760384236.451484,102264.000,14651,1,BI,1,100,880
1760384237.970480,103783.000,14896,1,BI,1,100,1520
1760384238.610478,104423.000,14997,1,BI,1,100,640
1760384239.410476,105223.000,15135,1,BI,1,100,800
1760384240.170474,105983.000,15267,1,BI,1,100,760
1760384240.890472,106703.000,15385,1,BI,1,100,720
1760384241.570470,107383.000,15486,1,BI,1,100,680
1760384242.450467,108263.000,15635,1,BI,1,100,880
1760384243.090465,108903.000,15734,1,BI,1,100,640
1760384244.090462,109903.000,15900,1,BI,1,100,1000
1760384244.863460,110676.000,16037,1,BI,1,100,760
1760384245.623458,111436.000,16155,1,BI,1,100,760
1760384246.303456,112116.000,16270,1,BI,1,100,680
1760384246.983454,112796.000,16388,1,BI,1,100,680
1760384248.103451,113916.000,16571,1,BI,1,100,1120
1760384248.503450,114316.000,16638,1,BI,1,100,400
1760384249.263448,115076.000,16754,1,BI,1,100,760
1760384249.823446,115636.000,16860,1,BI,1,100,560
1760384250.463444,116276.000,16959,1,BI,1,100,640
1760384251.143442,116956.000,17074,1,BI,1,100,680
1760384251.902440,117715.000,17194,1,BI,1,100,760
1760384252.582438,118395.000,17309,1,BI,1,100,680
1760384253.422436,119235.000,17442,1,BI,1,100,840
1760384254.182433,119995.000,17574,1,BI,1,100,760
1760384254.955431,120768.000,17697,1,BI,1,100,760
1760384255.635429,121448.000,17812,1,BI,1,100,680
1760384256.235427,122048.000,17913,1,BI,1,100,600
1760384257.075425,122888.000,18048,1,BI,1,100,840
1760384258.475421,124288.000,18277,1,BI,1,100,1400
1760384259.195419,125008.000,18395,1,BI,1,100,720
1760384259.835417,125648.000,18499,1,BI,1,100,640
1760384260.635415,126448.000,18631,1,BI,1,100,800
1760384261.355413,127168.000,18748,1,BI,1,100,720
1760384261.955411,127768.000,18849,1,BI,1,100,600
1760384262.595409,128408.000,18965,1,BI,1,100,640
1760384263.075408,128888.000,19033,1,BI,1,100,480
1760384264.848403,130661.000,19334,1,BI,1,100,1760
1760384265.448401,131261.000,19435,1,BI,1,100,600
1760384266.168399,131981.000,19550,1,BI,1,100,720
1760384266.928397,132741.000,19668,1,BI,1,100,760
1760384267.408395,133221.000,19752,1,BI,1,100,480
1760384268.247393,134060.000,19884,1,BI,1,100,840
1760384268.967391,134780.000,20002,1,BI,1,100,720
1760384269.687389,135500.000,20135,1,BI,1,100,720
1760384270.327387,136140.000,20238,1,BI,1,100,640
1760384271.127385,136940.000,20371,1,BI,1,100,800
1760384271.767383,137580.000,20474,1,BI,1,100,640
1760384272.447381,138260.000,20589,1,BI,1,100,680
1760384273.087379,138900.000,20690,1,BI,1,100,640
1760384273.727377,139540.000,20788,1,BI,1,100,640
1760384275.020373,140833.000,21008,1,BI,1,100,1280
1760384276.540369,142353.000,21258,1,BI,1,100,1520
1760384277.260367,143073.000,21374,1,BI,1,100,720
1760384277.780365,143593.000,21460,1,BI,1,100,520
1760384278.420363,144233.000,21576,1,BI,1,100,640
1760384279.140362,144953.000,21691,1,BI,1,100,720
1760384279.620360,145433.000,21759,1,BI,1,100,480
1760384280.420358,146233.000,21898,1,BI,1,100,800
1760384281.219355,147032.000,22030,1,BI,1,100,800
1760384281.819354,147632.000,22131,1,BI,1,100,600
1760384283.179350,148992.000,22346,1,BI,1,100,1360
1760384283.659348,149472.000,22429,1,BI,1,100,480
1760384284.499346,150312.000,22562,1,BI,1,100,840
1760384285.152344,150965.000,22678,1,BI,1,100,640
1760384285.912342,151725.000,22800,1,BI,1,100,760
1760384286.272341,152085.000,22867,1,BI,1,100,360
1760384286.592340,152405.000,22920,1,BI,1,100,320
1760384287.232338,153045.000,23021,1,BI,1,100,640
1760384287.552337,153365.000,23088,1,BI,1,100,320
1760384288.592334,154405.000,23252,1,BI,1,100,1040
1760384289.112333,154925.000,23336,1,BI,1,100,520
1760384289.952330,155765.000,23468,1,BI,1,100,840
1760384290.712328,156525.000,23606,1,BI,1,100,760
1760384291.352326,157165.000,23706,1,BI,1,100,640
1760384291.752325,157565.000,23776,1,BI,1,100,400
1760384291.992324,157805.000,23809,1,BI,1,100,240
1760384292.672323,158485.000,23927,1,BI,1,100,680
