LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760384203.014581,68827.000,9145,1,HR,1,100,61.79
1760384203.374580,69187.000,9198,1,HR,1,100,85.10
1760384204.174577,69987.000,9336,1,HR,1,100,82.85
1760384204.654576,70467.000,9418,1,HR,1,100,92.22
1760384204.934575,70747.000,9470,1,HR,1,100,119.35
1760384205.414574,71227.000,9554,1,HR,1,100,120.60
1760384206.254571,72067.000,9686,1,HR,1,100,109.68
1760384207.214569,73027.000,9838,1,HR,1,100,99.19
1760384208.534565,74347.000,10055,1,HR,1,100,87.25
1760384208.973564,74786.000,10139,1,HR,1,100,98.16
1760384209.413562,75226.000,10207,1,HR,1,100,106.65
1760384210.253560,76066.000,10339,1,HR,1,100,98.83
1760384210.533559,76346.000,10391,1,HR,1,100,124.48
1760384210.973558,76786.000,10458,1,HR,1,100,127.12
1760384211.373557,77186.000,10525,1,HR,1,100,132.21
1760384212.533553,78346.000,10725,1,HR,1,100,114.32
1760384212.866552,78679.000,10776,1,HR,1,100,130.58
1760384213.506551,79319.000,10877,1,HR,1,100,122.40
1760384214.826547,80639.000,11096,1,HR,1,100,105.30
1760384215.506545,81319.000,11212,1,HR,1,100,101.51
1760384216.266543,82079.000,11327,1,HR,1,100,96.49
1760384216.826541,82639.000,11430,1,HR,1,100,98.86
1760384217.866538,83679.000,11595,1,HR,1,100,89.71
1760384218.706536,84519.000,11728,1,HR,1,100,85.65
1760384219.026535,84839.000,11801,1,HR,1,100,108.28
1760384219.506533,85319.000,11868,1,HR,1,100,112.00
1760384220.306531,86119.000,12000,1,HR,1,100,103.78
1760384221.545527,87358.000,12200,1,HR,1,100,91.47
1760384222.545525,88358.000,12368,1,HR,1,100,84.47
1760384224.398519,90211.000,12669,1,HR,1,100,72.95
1760384225.878515,91691.000,12918,1,HR,1,100,65.75
1760384226.798512,92611.000,13069,1,HR,1,100,65.63
1760384227.838509,93651.000,13233,1,HR,1,100,63.86
1760384229.118506,94931.000,13453,1,HR,1,100,60.09
1760384229.478505,95291.000,13520,1,HR,1,100,83.77
1760384230.718501,96531.000,13718,1,HR,1,100,75.91
1760384232.198497,98011.000,13951,1,HR,1,100,68.05
1760384233.598493,99411.000,14182,1,HR,1,100,62.45
1760384235.051488,100864.000,14416,1,HR,1,100,57.83
1760384235.571487,101384.000,14500,1,HR,1,100,70.62
1760384236.451484,102264.000,14652,1,HR,1,100,70.08
1760384237.970480,103783.000,14897,1,HR,1,100,63.28
1760384238.610478,104423.000,14998,1,HR,1,100,70.05
1760384239.410476,105223.000,15136,1,HR,1,100,71.15
1760384240.170474,105983.000,15268,1,HR,1,100,72.88
1760384240.890472,106703.000,15386,1,HR,1,100,75.21
1760384241.570470,107383.000,15487,1,HR,1,100,78.10
1760384242.450467,108263.000,15636,1,HR,1,100,75.90
1760384243.090465,108903.000,15735,1,HR,1,100,79.86
1760384244.090462,109903.000,15901,1,HR,1,100,75.45
1760384244.863460,110676.000,16038,1,HR,1,100,76.23
1760384245.623458,111436.000,16156,1,HR,1,100,76.83
1760384246.303456,112116.000,16271,1,HR,1,100,79.37
1760384246.983454,112796.000,16389,1,HR,1,100,81.34
1760384248.103451,113916.000,16572,1,HR,1,100,75.17
1760384248.503450,114316.000,16639,1,HR,1,100,91.80
1760384249.263448,115076.000,16755,1,HR,1,100,88.94
1760384249.823446,115636.000,16861,1,HR,1,100,92.99
1760384250.463444,116276.000,16960,1,HR,1,100,93.16
1760384251.143442,116956.000,17075,1,HR,1,100,92.06
1760384251.902440,117715.000,17195,1,HR,1,100,89.15
1760384252.582438,118395.000,17310,1,HR,1,100,88.95
1760384253.422436,119235.000,17443,1,HR,1,100,85.05
1760384254.182433,119995.000,17575,1,HR,1,100,83.70
1760384254.955431,120768.000,17698,1,HR,1,100,82.64
1760384255.635429,121448.000,17813,1,HR,1,100,83.88
1760384256.235427,122048.000,17914,1,HR,1,100,87.47
1760384257.075425,122888.000,18049,1,HR,1,100,83.90
1760384258.475421,124288.000,18278,1,HR,1,100,74.78
1760384259.195419,125008.000,18396,1,HR,1,100,76.68
1760384259.835417,125648.000,18500,1,HR,1,100,80.47
1760384260.635415,126448.000,18632,1,HR,1,100,79.26
1760384261.355413,127168.000,18749,1,HR,1,100,80.16
1760384261.955411,127768.000,18850,1,HR,1,100,84.57
1760384262.595409,128408.000,18966,1,HR,1,100,86.61
1760384263.075408,128888.000,19034,1,HR,1,100,95.14
1760384264.848403,130661.000,19335,1,HR,1,100,81.57
1760384265.448401,131261.000,19436,1,HR,1,100,85.67
1760384266.168399,131981.000,19551,1,HR,1,100,85.15
1760384266.928397,132741.000,19669,1,HR,1,100,83.77
1760384267.408395,133221.000,19753,1,HR,1,100,92.93
1760384268.247393,134060.000,19885,1,HR,1,100,88.15
1760384268.967391,134780.000,20003,1,HR,1,100,87.08
1760384269.687389,135500.000,20136,1,HR,1,100,86.25
1760384270.327387,136140.000,20239,1,HR,1,100,87.92
1760384271.127385,136940.000,20372,1,HR,1,100,85.05
1760384271.767383,137580.000,20475,1,HR,1,100,86.98
1760384272.447381,138260.000,20590,1,HR,1,100,87.26
1760384273.087379,138900.000,20691,1,HR,1,100,88.70
1760384273.727377,139540.000,20789,1,HR,1,100,89.82
1760384275.020373,140833.000,21009,1,HR,1,100,80.28
1760384276.540369,142353.000,21259,1,HR,1,100,71.21
1760384277.260367,143073.000,21375,1,HR,1,100,73.90
1760384277.780365,143593.000,21461,1,HR,1,100,83.12
1760384278.420363,144233.000,21577,1,HR,1,100,85.48
1760384279.140362,144953.000,21692,1,HR,1,100,85.01
1760384279.620360,145433.000,21760,1,HR,1,100,93.89
1760384280.420358,146233.000,21899,1,HR,1,100,89.70
1760384281.219355,147032.000,22031,1,HR,1,100,86.43
1760384281.819354,147632.000,22132,1,HR,1,100,89.45
1760384283.179350,148992.000,22347,1,HR,1,100,79.37
1760384283.659348,149472.000,22430,1,HR,1,100,89.51
1760384284.499346,150312.000,22563,1,HR,1,100,85.49
1760384285.152344,150965.000,22679,1,HR,1,100,87.33
1760384285.912342,151725.000,22801,1,HR,1,100,85.47
1760384286.272341,152085.000,22868,1,HR,1,100,103.51
1760384286.592340,152405.000,22921,1,HR,1,100,122.18
1760384287.232338,153045.000,23022,1,HR,1,100,115.86
1760384287.552337,153365.000,23089,1,HR,1,100,131.78
1760384288.592334,154405.000,23253,1,HR,1,100,115.32
1760384289.112333,154925.000,23337,1,HR,1,100,115.33
1760384289.952330,155765.000,23469,1,HR,1,100,105.57
1760384290.712328,156525.000,23607,1,HR,1,100,99.66
1760384291.352326,157165.000,23707,1,HR,1,100,98.34
