LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MX
1760384203.054581,68867.000,9160,3,MX,1,100,-39
1760384203.054581,68867.000,9160,3,MX,1,100,-39
1760384203.054581,68867.000,9160,3,MX,1,100,-40
1760384203.094581,68907.000,9177,3,MX,1,100,-41
1760384203.134581,68947.000,9177,3,MX,1,100,-42
1760384203.174580,68987.000,9177,3,MX,1,100,-40
1760384203.214580,69027.000,9193,2,MX,1,100,-42
1760384203.254580,69067.000,9193,2,MX,1,100,-41
1760384203.294580,69107.000,9211,3,MX,1,100,-39
1760384203.334580,69147.000,9211,3,MX,1,100,-41
1760384203.374580,69187.000,9211,3,MX,1,100,-40
1760384203.414580,69227.000,9232,2,MX,1,100,-39
1760384203.454580,69267.000,9232,2,MX,1,100,-40
1760384203.494580,69307.000,9249,3,MX,1,100,-41
1760384203.534579,69347.000,9249,3,MX,1,100,-41
1760384203.574579,69387.000,9249,3,MX,1,100,-41
1760384203.614579,69427.000,9266,2,MX,1,100,-41
1760384203.654579,69467.000,9266,2,MX,1,100,-41
1760384203.694579,69507.000,9281,3,MX,1,100,-43
1760384203.734579,69547.000,9281,3,MX,1,100,-43
1760384203.774579,69587.000,9281,3,MX,1,100,-43
1760384203.814579,69627.000,9297,2,MX,1,100,-44
1760384203.854578,69667.000,9297,2,MX,1,100,-42
1760384203.894578,69707.000,9314,3,MX,1,100,-42
1760384203.934578,69747.000,9314,3,MX,1,100,-42
1760384203.974578,69787.000,9314,3,MX,1,100,-42
1760384204.014578,69827.000,9331,2,MX,1,100,-43
1760384204.054578,69867.000,9331,2,MX,1,100,-42
1760384204.094578,69907.000,9348,3,MX,1,100,-41
1760384204.134578,69947.000,9348,3,MX,1,100,-40
1760384204.174577,69987.000,9348,3,MX,1,100,-41
1760384204.214577,70027.000,9364,3,MX,1,100,-42
1760384204.254577,70067.000,9364,3,MX,1,100,-42
1760384204.294577,70107.000,9364,3,MX,1,100,-41
1760384204.334577,70147.000,9382,2,MX,1,100,-41
1760384204.374577,70187.000,9382,2,MX,1,100,-41
1760384204.414577,70227.000,9398,3,MX,1,100,-41
1760384204.454577,70267.000,9398,3,MX,1,100,-41
1760384204.494577,70307.000,9398,3,MX,1,100,-41
1760384204.534576,70347.000,9414,2,MX,1,100,-42
1760384204.574576,70387.000,9414,2,MX,1,100,-42
1760384204.614576,70427.000,9432,3,MX,1,100,-44
1760384204.654576,70467.000,9432,3,MX,1,100,-43
1760384204.694576,70507.000,9432,3,MX,1,100,-45
1760384204.734576,70547.000,9449,2,MX,1,100,-44
1760384204.774576,70587.000,9449,2,MX,1,100,-45
1760384204.814576,70627.000,9465,3,MX,1,100,-44
1760384204.854576,70667.000,9465,3,MX,1,100,-43
1760384204.894575,70707.000,9465,3,MX,1,100,-44
1760384204.934575,70747.000,9485,2,MX,1,100,-44
1760384204.974575,70787.000,9485,2,MX,1,100,-44
1760384205.014575,70827.000,9499,3,MX,1,100,-45
1760384205.054575,70867.000,9499,3,MX,1,100,-46
1760384205.094575,70907.000,9499,3,MX,1,100,-46
1760384205.134575,70947.000,9516,2,MX,1,100,-46
1760384205.174575,70987.000,9516,2,MX,1,100,-46
1760384205.214575,71027.000,9532,3,MX,1,100,-46
1760384205.254574,71067.000,9532,3,MX,1,100,-47
1760384205.294574,71107.000,9532,3,MX,1,100,-46
1760384205.334574,71147.000,9550,2,MX,1,100,-46
1760384205.374574,71187.000,9550,2,MX,1,100,-45
1760384205.414574,71227.000,9566,3,MX,1,100,-45
1760384205.454574,71267.000,9566,3,MX,1,100,-44
1760384205.494574,71307.000,9566,3,MX,1,100,-45
1760384205.534574,71347.000,9583,3,MX,1,100,-44
1760384205.574574,71387.000,9583,3,MX,1,100,-43
1760384205.614573,71427.000,9583,3,MX,1,100,-41
1760384205.654573,71467.000,9600,2,MX,1,100,-41
1760384205.694573,71507.000,9600,2,MX,1,100,-41
1760384205.734573,71547.000,9617,3,MX,1,100,-40
1760384205.774573,71587.000,9617,3,MX,1,100,-40
1760384205.814573,71627.000,9617,3,MX,1,100,-39
1760384205.847573,71660.000,9631,2,MX,1,100,-39
1760384205.880573,71693.000,9631,2,MX,1,100,-40
1760384205.920573,71733.000,9649,3,MX,1,100,-39
1760384205.960572,71773.000,9649,3,MX,1,100,-40
1760384206.000572,71813.000,9649,3,MX,1,100,-39
1760384206.040572,71853.000,9665,3,MX,1,100,-39
1760384206.080572,71893.000,9665,3,MX,1,100,-38
1760384206.120572,71933.000,9665,3,MX,1,100,-38
1760384206.160572,71973.000,9682,2,MX,1,100,-37
1760384206.200572,72013.000,9682,2,MX,1,100,-37
1760384206.240571,72053.000,9698,3,MX,1,100,-36
1760384206.280571,72093.000,9698,3,MX,1,100,-36
1760384206.320571,72133.000,9698,3,MX,1,100,-36
1760384206.360571,72173.000,9718,2,MX,1,100,-37
1760384206.400571,72213.000,9718,2,MX,1,100,-37
1760384206.440571,72253.000,9734,3,MX,1,100,-37
1760384206.480571,72293.000,9734,3,MX,1,100,-37
1760384206.520571,72333.000,9734,3,MX,1,100,-38
1760384206.560571,72373.000,9751,2,MX,1,100,-39
1760384206.600570,72413.000,9751,2,MX,1,100,-40
1760384206.640570,72453.000,9767,3,MX,1,100,-39
1760384206.680570,72493.000,9767,3,MX,1,100,-40
1760384206.720570,72533.000,9767,3,MX,1,100,-40
1760384206.760570,72573.000,9783,2,MX,1,100,-40
1760384206.800570,72613.000,9783,2,MX,1,100,-40
1760384206.840570,72653.000,9799,3,MX,1,100,-40
1760384206.880570,72693.000,9799,3,MX,1,100,-41
1760384206.920570,72733.000,9799,3,MX,1,100,-41
1760384206.960569,72773.000,9817,2,MX,1,100,-41
1760384207.000569,72813.000,9817,2,MX,1,100,-42
1760384207.040569,72853.000,9833,3,MX,1,100,-43
1760384207.080569,72893.000,9833,3,MX,1,100,-44
1760384207.120569,72933.000,9833,3,MX,1,100,-44
1760384207.160569,72973.000,9850,2,MX,1,100,-45
1760384207.200569,73013.000,9850,2,MX,1,100,-44
1760384207.240569,73053.000,9867,3,MX,1,100,-46
1760384207.280569,73093.000,9867,3,MX,1,100,-46
1760384207.320568,73133.000,9867,3,MX,1,100,-45
1760384207.360568,73173.000,9884,3,MX,1,100,-45
