LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760384202.974581,68787.000,9143,1,PG,1,100,7408
1760384203.014581,68827.000,9149,2,PG,1,100,7412
1760384203.054581,68867.000,9149,2,PG,1,100,7428
1760384203.094581,68907.000,9166,3,PG,1,100,7435
1760384203.134581,68947.000,9166,3,PG,1,100,7432
1760384203.174580,68987.000,9166,3,PG,1,100,7423
1760384203.214580,69027.000,9182,2,PG,1,100,7417
1760384203.254580,69067.000,9182,2,PG,1,100,7414
1760384203.294580,69107.000,9202,3,PG,1,100,7420
1760384203.334580,69147.000,9202,3,PG,1,100,7400
1760384203.374580,69187.000,9202,3,PG,1,100,7418
1760384203.414580,69227.000,9221,2,PG,1,100,7420
1760384203.454580,69267.000,9221,2,PG,1,100,7416
1760384203.494580,69307.000,9238,3,PG,1,100,7415
1760384203.534579,69347.000,9238,3,PG,1,100,7421
1760384203.574579,69387.000,9238,3,PG,1,100,7433
1760384203.614579,69427.000,9255,2,PG,1,100,7417
1760384203.654579,69467.000,9255,2,PG,1,100,7425
1760384203.694579,69507.000,9272,3,PG,1,100,7430
1760384203.734579,69547.000,9272,3,PG,1,100,7425
1760384203.774579,69587.000,9272,3,PG,1,100,7425
1760384203.814579,69627.000,9286,2,PG,1,100,7432
1760384203.854578,69667.000,9286,2,PG,1,100,7438
1760384203.894578,69707.000,9303,3,PG,1,100,7422
1760384203.934578,69747.000,9303,3,PG,1,100,7421
1760384203.974578,69787.000,9303,3,PG,1,100,7429
1760384204.014578,69827.000,9320,2,PG,1,100,7433
1760384204.054578,69867.000,9320,2,PG,1,100,7433
1760384204.094578,69907.000,9339,3,PG,1,100,7434
1760384204.134578,69947.000,9339,3,PG,1,100,7430
1760384204.174577,69987.000,9339,3,PG,1,100,7431
1760384204.214577,70027.000,9353,2,PG,1,100,7426
1760384204.254577,70067.000,9353,2,PG,1,100,7420
1760384204.294577,70107.000,9371,3,PG,1,100,7438
1760384204.334577,70147.000,9371,3,PG,1,100,7454
1760384204.374577,70187.000,9371,3,PG,1,100,7449
1760384204.414577,70227.000,9387,3,PG,1,100,7451
1760384204.454577,70267.000,9387,3,PG,1,100,7441
1760384204.494577,70307.000,9387,3,PG,1,100,7436
1760384204.534576,70347.000,9404,2,PG,1,100,7441
1760384204.574576,70387.000,9404,2,PG,1,100,7442
1760384204.614576,70427.000,9422,3,PG,1,100,7454
1760384204.654576,70467.000,9422,3,PG,1,100,7459
1760384204.694576,70507.000,9422,3,PG,1,100,7456
1760384204.734576,70547.000,9438,2,PG,1,100,7448
1760384204.774576,70587.000,9438,2,PG,1,100,7451
1760384204.814576,70627.000,9454,3,PG,1,100,7454
1760384204.854576,70667.000,9454,3,PG,1,100,7453
