LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760384202.974581,68787.000,9141,1,PI,1,100,150377
1760384203.014581,68827.000,9147,2,PI,1,100,150450
1760384203.054581,68867.000,9147,2,PI,1,100,150521
1760384203.094581,68907.000,9164,3,PI,1,100,150508
1760384203.134581,68947.000,9164,3,PI,1,100,150491
1760384203.174580,68987.000,9164,3,PI,1,100,150419
1760384203.214580,69027.000,9180,2,PI,1,100,150396
1760384203.254580,69067.000,9180,2,PI,1,100,150418
1760384203.294580,69107.000,9200,3,PI,1,100,150469
1760384203.334580,69147.000,9200,3,PI,1,100,150494
1760384203.374580,69187.000,9200,3,PI,1,100,150514
1760384203.414580,69227.000,9219,2,PI,1,100,150500
1760384203.454580,69267.000,9219,2,PI,1,100,150494
1760384203.494580,69307.000,9236,3,PI,1,100,150505
1760384203.534579,69347.000,9236,3,PI,1,100,150512
1760384203.574579,69387.000,9236,3,PI,1,100,150527
1760384203.614579,69427.000,9253,2,PI,1,100,150505
1760384203.654579,69467.000,9253,2,PI,1,100,150507
1760384203.694579,69507.000,9270,3,PI,1,100,150449
1760384203.734579,69547.000,9270,3,PI,1,100,150431
1760384203.774579,69587.000,9270,3,PI,1,100,150388
1760384203.814579,69627.000,9284,2,PI,1,100,150340
1760384203.854578,69667.000,9284,2,PI,1,100,150279
1760384203.894578,69707.000,9301,3,PI,1,100,150191
1760384203.934578,69747.000,9301,3,PI,1,100,150182
1760384203.974578,69787.000,9301,3,PI,1,100,150207
1760384204.014578,69827.000,9318,2,PI,1,100,150229
1760384204.054578,69867.000,9318,2,PI,1,100,150271
1760384204.094578,69907.000,9337,3,PI,1,100,150334
1760384204.134578,69947.000,9337,3,PI,1,100,150343
1760384204.174577,69987.000,9337,3,PI,1,100,150396
1760384204.214577,70027.000,9351,2,PI,1,100,150412
1760384204.254577,70067.000,9351,2,PI,1,100,150392
1760384204.294577,70107.000,9369,3,PI,1,100,150369
1760384204.334577,70147.000,9369,3,PI,1,100,150364
1760384204.374577,70187.000,9369,3,PI,1,100,150333
1760384204.414577,70227.000,9385,3,PI,1,100,150316
1760384204.454577,70267.000,9385,3,PI,1,100,150350
1760384204.494577,70307.000,9385,3,PI,1,100,150338
1760384204.534576,70347.000,9402,2,PI,1,100,150343
1760384204.574576,70387.000,9402,2,PI,1,100,150337
1760384204.614576,70427.000,9420,3,PI,1,100,150373
1760384204.654576,70467.000,9420,3,PI,1,100,150384
1760384204.694576,70507.000,9420,3,PI,1,100,150336
1760384204.734576,70547.000,9436,2,PI,1,100,150277
1760384204.774576,70587.000,9436,2,PI,1,100,150258
1760384204.814576,70627.000,9452,3,PI,1,100,150237
1760384204.854576,70667.000,9452,3,PI,1,100,150292
1760384204.894575,70707.000,9452,3,PI,1,100,150386
1760384204.934575,70747.000,9472,2,PI,1,100,150430
1760384204.974575,70787.000,9472,2,PI,1,100,150450
1760384205.014575,70827.000,9488,3,PI,1,100,150436
1760384205.054575,70867.000,9488,3,PI,1,100,150406
1760384205.094575,70907.000,9488,3,PI,1,100,150331
1760384205.134575,70947.000,9503,2,PI,1,100,150447
1760384205.174575,70987.000,9503,2,PI,1,100,150410
1760384205.214575,71027.000,9519,3,PI,1,100,150369
1760384205.254574,71067.000,9519,3,PI,1,100,150349
1760384205.294574,71107.000,9519,3,PI,1,100,150352
1760384205.334574,71147.000,9537,2,PI,1,100,150383
1760384205.374574,71187.000,9537,2,PI,1,100,150411
1760384205.414574,71227.000,9555,3,PI,1,100,150459
1760384205.454574,71267.000,9555,3,PI,1,100,150500
1760384205.494574,71307.000,9555,3,PI,1,100,150462
1760384205.534574,71347.000,9570,2,PI,1,100,150492
1760384205.574574,71387.000,9570,2,PI,1,100,150448
1760384205.614573,71427.000,9587,3,PI,1,100,150527
1760384205.654573,71467.000,9587,3,PI,1,100,150600
1760384205.694573,71507.000,9587,3,PI,1,100,150628
1760384205.734573,71547.000,9604,3,PI,1,100,150674
1760384205.774573,71587.000,9604,3,PI,1,100,150697
1760384205.814573,71627.000,9604,3,PI,1,100,150525
1760384205.854573,71667.000,9620,2,PI,1,100,150255
1760384205.894572,71707.000,9620,2,PI,1,100,150159
1760384205.934572,71747.000,9636,3,PI,1,100,150123
1760384205.974572,71787.000,9636,3,PI,1,100,150082
1760384206.014572,71827.000,9636,3,PI,1,100,150061
1760384206.054572,71867.000,9652,2,PI,1,100,150075
1760384206.094572,71907.000,9652,2,PI,1,100,150120
1760384206.134572,71947.000,9669,3,PI,1,100,150153
1760384206.174572,71987.000,9669,3,PI,1,100,150182
1760384206.214572,72027.000,9669,3,PI,1,100,150237
1760384206.254571,72067.000,9687,2,PI,1,100,150314
1760384206.294571,72107.000,9687,2,PI,1,100,150369
1760384206.334571,72147.000,9705,3,PI,1,100,150335
1760384206.374571,72187.000,9705,3,PI,1,100,150308
1760384206.414571,72227.000,9705,3,PI,1,100,150418
1760384206.454571,72267.000,9721,2,PI,1,100,150423
1760384206.494571,72307.000,9721,2,PI,1,100,150309
1760384206.534571,72347.000,9738,3,PI,1,100,150001
1760384206.574571,72387.000,9738,3,PI,1,100,149798
1760384206.614570,72427.000,9738,3,PI,1,100,149727
1760384206.654570,72467.000,9755,2,PI,1,100,149748
1760384206.694570,72507.000,9755,2,PI,1,100,149810
1760384206.734570,72547.000,9771,3,PI,1,100,149763
1760384206.774570,72587.000,9771,3,PI,1,100,149767
1760384206.814570,72627.000,9771,3,PI,1,100,149817
1760384206.854570,72667.000,9786,2,PI,1,100,149817
1760384206.894570,72707.000,9786,2,PI,1,100,149635
1760384206.934570,72747.000,9804,3,PI,1,100,149485
1760384206.974569,72787.000,9804,3,PI,1,100,149524
1760384207.014569,72827.000,9804,3,PI,1,100,149507
1760384207.054569,72867.000,9820,3,PI,1,100,149501
1760384207.094569,72907.000,9820,3,PI,1,100,149583
1760384207.134569,72947.000,9820,3,PI,1,100,149731
1760384207.174569,72987.000,9839,2,PI,1,100,149915
1760384207.214569,73027.000,9839,2,PI,1,100,150095
1760384207.254569,73067.000,9854,3,PI,1,100,150277
1760384207.294569,73107.000,9854,3,PI,1,100,150402
1760384207.334569,73147.000,9854,3,PI,1,100,150529
1760384207.374568,73187.000,9871,2,PI,1,100,150742
1760384207.414568,73227.000,9871,2,PI,1,100,150765
1760384207.454568,73267.000,9887,3,PI,1,100,150869
1760384207.494568,73307.000,9887,3,PI,1,100,151023
1760384207.534568,73347.000,9887,3,PI,1,100,150925
1760384207.574568,73387.000,9904,2,PI,1,100,150886
1760384207.614568,73427.000,9904,2,PI,1,100,151076
1760384207.654567,73467.000,9919,3,PI,1,100,151033
1760384207.694567,73507.000,9919,3,PI,1,100,150868
1760384207.734567,73547.000,9919,3,PI,1,100,150837
1760384207.774567,73587.000,9936,2,PI,1,100,150934
1760384207.814567,73627.000,9936,2,PI,1,100,150924
1760384207.854567,73667.000,9952,3,PI,1,100,150662
1760384207.894567,73707.000,9952,3,PI,1,100,150369
1760384207.934567,73747.000,9952,3,PI,1,100,150435
1760384207.974566,73787.000,9970,2,PI,1,100,150372
1760384208.014566,73827.000,9970,2,PI,1,100,150297
1760384208.054566,73867.000,9984,3,PI,1,100,150250
1760384208.094566,73907.000,9984,3,PI,1,100,150194
1760384208.134566,73947.000,9984,3,PI,1,100,150176
1760384208.174066,73986.500,10001,2,PI,1,100,150205
1760384208.213566,74026.000,10001,2,PI,1,100,150157
1760384208.253899,74066.333,10018,3,PI,1,100,150144
1760384208.294232,74106.667,10018,3,PI,1,100,150206
1760384208.334565,74147.000,10018,3,PI,1,100,150132
1760384208.374232,74186.667,10035,3,PI,1,100,150072
1760384208.413899,74226.333,10035,3,PI,1,100,150135
1760384208.453565,74266.000,10035,3,PI,1,100,150233
1760384208.494065,74306.500,10056,2,PI,1,100,150246
1760384208.534565,74347.000,10056,2,PI,1,100,150181
1760384208.574231,74386.667,10073,3,PI,1,100,150173
1760384208.613898,74426.333,10073,3,PI,1,100,150137
1760384208.653565,74466.000,10073,3,PI,1,100,150009
1760384208.693564,74506.000,10090,2,PI,1,100,149962
1760384208.733564,74546.000,10090,2,PI,1,100,149953
1760384208.773564,74586.000,10107,3,PI,1,100,149926
1760384208.813564,74626.000,10107,3,PI,1,100,149966
1760384208.853564,74666.000,10107,3,PI,1,100,150035
1760384208.894064,74706.500,10122,2,PI,1,100,150017
1760384208.934564,74747.000,10122,2,PI,1,100,150103
1760384208.974230,74786.667,10141,3,PI,1,100,150130
