LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760384202.974581,68787.000,9142,1,PR,1,100,103585
1760384203.014581,68827.000,9148,2,PR,1,100,103646
1760384203.054581,68867.000,9148,2,PR,1,100,103639
1760384203.094581,68907.000,9165,3,PR,1,100,103666
1760384203.134581,68947.000,9165,3,PR,1,100,103650
1760384203.174580,68987.000,9165,3,PR,1,100,103616
1760384203.214580,69027.000,9181,2,PR,1,100,103585
1760384203.254580,69067.000,9181,2,PR,1,100,103582
1760384203.294580,69107.000,9201,3,PR,1,100,103581
1760384203.334580,69147.000,9201,3,PR,1,100,103569
1760384203.374580,69187.000,9201,3,PR,1,100,103591
1760384203.414580,69227.000,9220,2,PR,1,100,103569
1760384203.454580,69267.000,9220,2,PR,1,100,103574
1760384203.494580,69307.000,9237,3,PR,1,100,103576
1760384203.534579,69347.000,9237,3,PR,1,100,103603
1760384203.574579,69387.000,9237,3,PR,1,100,103611
1760384203.614579,69427.000,9254,2,PR,1,100,103598
1760384203.654579,69467.000,9254,2,PR,1,100,103603
1760384203.694579,69507.000,9271,3,PR,1,100,103570
1760384203.734579,69547.000,9271,3,PR,1,100,103566
1760384203.774579,69587.000,9271,3,PR,1,100,103540
1760384203.814579,69627.000,9285,2,PR,1,100,103530
1760384203.854578,69667.000,9285,2,PR,1,100,103515
1760384203.894578,69707.000,9302,3,PR,1,100,103483
1760384203.934578,69747.000,9302,3,PR,1,100,103476
1760384203.974578,69787.000,9302,3,PR,1,100,103498
1760384204.014578,69827.000,9319,2,PR,1,100,103518
1760384204.054578,69867.000,9319,2,PR,1,100,103536
1760384204.094578,69907.000,9338,3,PR,1,100,103558
1760384204.134578,69947.000,9338,3,PR,1,100,103566
1760384204.174577,69987.000,9338,3,PR,1,100,103581
1760384204.214577,70027.000,9352,2,PR,1,100,103588
1760384204.254577,70067.000,9352,2,PR,1,100,103583
