LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760384203.066581,68879.000,9146,1,SF,1,100,14.3288
1760384203.333580,69146.000,9199,1,SF,1,100,14.1630
1760384203.666579,69479.000,9252,1,SF,1,100,13.9992
1760384204.066578,69879.000,9317,1,SF,1,100,13.8372
1760384204.333577,70146.000,9368,1,SF,1,100,13.6771
1760384204.666576,70479.000,9419,1,SF,1,100,13.5189
1760384204.999575,70812.000,9471,1,SF,1,100,13.3625
1760384205.399574,71212.000,9536,1,SF,1,100,13.2080
1760384205.666573,71479.000,9586,1,SF,1,100,13.0552
1760384205.999572,71812.000,9635,1,SF,1,100,12.9041
1760384206.399571,72212.000,9704,1,SF,1,100,12.7549
1760384206.666570,72479.000,9754,1,SF,1,100,12.6073
1760384206.999569,72812.000,9803,1,SF,1,100,12.4615
1760384207.332568,73145.000,9853,1,SF,1,100,12.3173
1760384207.732567,73545.000,9918,1,SF,1,100,12.1748
1760384207.999567,73812.000,9969,1,SF,1,100,12.0340
1760384208.332566,74145.000,10017,1,SF,1,100,11.8948
1760384208.732564,74545.000,10089,1,SF,1,100,11.7572
1760384208.999564,74812.000,10140,1,SF,1,100,11.6212
1760384209.332563,75145.000,10190,1,SF,1,100,11.4867
1760384209.665562,75478.000,10241,1,SF,1,100,11.3539
1760384210.065561,75878.000,10306,1,SF,1,100,11.2225
1760384210.332560,76145.000,10356,1,SF,1,100,11.0927
1760384210.665559,76478.000,10407,1,SF,1,100,10.9644
1760384211.065558,76878.000,10474,1,SF,1,100,10.8375
1760384211.332557,77145.000,10526,1,SF,1,100,10.7122
1760384211.665556,77478.000,10577,1,SF,1,100,10.5883
1760384211.998555,77811.000,10625,1,SF,1,100,10.4658
1760384212.398554,78211.000,10690,1,SF,1,100,10.3447
1760384212.665553,78478.000,10743,1,SF,1,100,10.2250
1760384212.998552,78811.000,10793,1,SF,1,100,10.1067
1760384213.398551,79211.000,10858,1,SF,1,100,9.9898
1760384213.665550,79478.000,10914,1,SF,1,100,9.8743
1760384213.998549,79811.000,10963,1,SF,1,100,9.7600
1760384214.332548,80145.000,11013,1,SF,1,100,9.6471
1760384214.731547,80544.000,11078,1,SF,1,100,9.5355
1760384214.998546,80811.000,11128,1,SF,1,100,9.4252
1760384215.331545,81144.000,11177,1,SF,1,100,9.3162
1760384215.731544,81544.000,11244,1,SF,1,100,9.2084
1760384216.065543,81878.000,11294,1,SF,1,100,9.1019
1760384216.331542,82144.000,11345,1,SF,1,100,8.9966
1760384216.665541,82478.000,11395,1,SF,1,100,8.8925
1760384217.065540,82878.000,11462,1,SF,1,100,8.7897
1760384217.331540,83144.000,11513,1,SF,1,100,8.6880
1760384217.665539,83478.000,11561,1,SF,1,100,8.5875
1760384218.064538,83877.000,11628,1,SF,1,100,8.4881
1760384218.398536,84211.000,11677,1,SF,1,100,8.3900
