LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1760384202.993581,68806.000,9152,1,T1,1,100,30.961
1760384203.126580,68939.000,9169,1,T1,1,100,30.912
1760384203.259580,69072.000,9185,1,T1,1,100,30.998
1760384203.392580,69205.000,9224,1,T1,1,100,30.893
1760384203.526579,69339.000,9241,1,T1,1,100,30.918
1760384203.659579,69472.000,9258,1,T1,1,100,30.965
1760384203.792579,69605.000,9289,1,T1,1,100,30.949
1760384203.926578,69739.000,9306,1,T1,1,100,30.836
1760384204.059578,69872.000,9323,1,T1,1,100,30.929
1760384204.192577,70005.000,9356,1,T1,1,100,31.076
1760384204.326577,70139.000,9374,1,T1,1,100,30.997
1760384204.459577,70272.000,9390,1,T1,1,100,30.963
1760384204.592576,70405.000,9407,1,T1,1,100,30.984
1760384204.726576,70539.000,9441,1,T1,1,100,30.922
1760384204.859576,70672.000,9457,1,T1,1,100,30.931
1760384204.992575,70805.000,9477,1,T1,1,100,30.970
1760384205.126575,70939.000,9508,1,T1,1,100,30.952
1760384205.259574,71072.000,9524,1,T1,1,100,30.979
1760384205.392574,71205.000,9542,1,T1,1,100,30.991
1760384205.526574,71339.000,9575,1,T1,1,100,30.996
1760384205.659573,71472.000,9592,1,T1,1,100,30.927
1760384205.792573,71605.000,9609,1,T1,1,100,31.039
1760384205.926573,71739.000,9641,1,T1,1,100,30.946
1760384206.059572,71872.000,9657,1,T1,1,100,30.977
1760384206.192572,72005.000,9674,1,T1,1,100,31.025
1760384206.326571,72139.000,9710,1,T1,1,100,30.976
1760384206.459571,72272.000,9726,1,T1,1,100,30.989
1760384206.592571,72405.000,9743,1,T1,1,100,31.031
1760384206.725570,72538.000,9760,1,T1,1,100,30.978
1760384206.859570,72672.000,9791,1,T1,1,100,30.990
1760384206.992569,72805.000,9809,1,T1,1,100,30.996
1760384207.125569,72938.000,9825,1,T1,1,100,31.069
1760384207.259569,73072.000,9859,1,T1,1,100,31.065
1760384207.392568,73205.000,9876,1,T1,1,100,31.028
1760384207.525568,73338.000,9892,1,T1,1,100,30.977
1760384207.659567,73472.000,9924,1,T1,1,100,31.025
1760384207.792567,73605.000,9941,1,T1,1,100,31.046
1760384207.925567,73738.000,9957,1,T1,1,100,30.985
1760384208.059566,73872.000,9989,1,T1,1,100,31.029
1760384208.192566,74005.000,10006,1,T1,1,100,31.083
1760384208.325566,74138.000,10023,1,T1,1,100,31.072
1760384208.459565,74272.000,10061,1,T1,1,100,31.031
1760384208.592565,74405.000,10078,1,T1,1,100,31.120
1760384208.725564,74538.000,10095,1,T1,1,100,30.981
1760384208.859564,74672.000,10112,1,T1,1,100,31.063
1760384208.992564,74805.000,10146,1,T1,1,100,31.027
1760384209.125563,74938.000,10162,1,T1,1,100,31.047
1760384209.259563,75072.000,10179,1,T1,1,100,31.162
1760384209.392562,75205.000,10213,1,T1,1,100,31.141
1760384209.525562,75338.000,10229,1,T1,1,100,31.132
1760384209.658562,75471.000,10247,1,T1,1,100,31.128
1760384209.792561,75605.000,10278,1,T1,1,100,31.055
1760384209.925561,75738.000,10294,1,T1,1,100,31.024
1760384210.058561,75871.000,10312,1,T1,1,100,31.152
1760384210.192560,76005.000,10345,1,T1,1,100,31.172
1760384210.325560,76138.000,10362,1,T1,1,100,31.039
1760384210.458559,76271.000,10379,1,T1,1,100,31.123
1760384210.592559,76405.000,10413,1,T1,1,100,31.124
1760384210.725559,76538.000,10429,1,T1,1,100,31.054
1760384210.858558,76671.000,10446,1,T1,1,100,31.094
1760384210.992558,76805.000,10480,1,T1,1,100,31.183
1760384211.125557,76938.000,10496,1,T1,1,100,31.079
1760384211.258557,77071.000,10513,1,T1,1,100,31.070
1760384211.392557,77205.000,10532,1,T1,1,100,31.137
1760384211.525556,77338.000,10565,1,T1,1,100,31.024
1760384211.658556,77471.000,10583,1,T1,1,100,31.046
1760384211.792556,77605.000,10599,1,T1,1,100,31.162
1760384211.925555,77738.000,10631,1,T1,1,100,31.034
1760384212.058555,77871.000,10648,1,T1,1,100,31.086
1760384212.192554,78005.000,10664,1,T1,1,100,31.179
1760384212.325554,78138.000,10696,1,T1,1,100,31.219
1760384212.458554,78271.000,10713,1,T1,1,100,31.272
1760384212.592553,78405.000,10731,1,T1,1,100,31.224
1760384212.725553,78538.000,10763,1,T1,1,100,31.168
1760384212.858552,78671.000,10782,1,T1,1,100,31.179
1760384212.991552,78804.000,10799,1,T1,1,100,31.219
1760384213.125552,78938.000,10830,1,T1,1,100,31.237
1760384213.258551,79071.000,10847,1,T1,1,100,31.173
1760384213.391551,79204.000,10864,1,T1,1,100,31.181
1760384213.525551,79338.000,10897,1,T1,1,100,31.149
1760384213.658550,79471.000,10920,1,T1,1,100,31.136
1760384213.791550,79604.000,10936,1,T1,1,100,31.200
1760384213.925550,79738.000,10953,1,T1,1,100,31.229
1760384214.058549,79871.000,10985,1,T1,1,100,31.241
1760384214.191549,80004.000,11001,1,T1,1,100,31.246
1760384214.325548,80138.000,11019,1,T1,1,100,31.142
1760384214.458548,80271.000,11050,1,T1,1,100,31.097
1760384214.591547,80404.000,11066,1,T1,1,100,31.113
1760384214.725547,80538.000,11084,1,T1,1,100,31.155
1760384214.858547,80671.000,11117,1,T1,1,100,31.138
1760384214.991546,80804.000,11134,1,T1,1,100,31.166
1760384215.125546,80938.000,11151,1,T1,1,100,31.249
1760384215.258546,81071.000,11183,1,T1,1,100,31.072
1760384215.391545,81204.000,11199,1,T1,1,100,31.067
1760384215.525545,81338.000,11218,1,T1,1,100,31.171
1760384215.658544,81471.000,11250,1,T1,1,100,31.145
1760384215.791544,81604.000,11266,1,T1,1,100,31.275
1760384215.925544,81738.000,11283,1,T1,1,100,31.261
1760384216.058543,81871.000,11300,1,T1,1,100,31.255
1760384216.191543,82004.000,11333,1,T1,1,100,31.288
1760384216.325542,82138.000,11351,1,T1,1,100,31.266
1760384216.458542,82271.000,11369,1,T1,1,100,31.222
1760384216.591542,82404.000,11401,1,T1,1,100,31.202
1760384216.724541,82537.000,11418,1,T1,1,100,31.265
1760384216.858541,82671.000,11436,1,T1,1,100,31.185
1760384216.991541,82804.000,11468,1,T1,1,100,31.222
1760384217.124540,82937.000,11485,1,T1,1,100,31.238
1760384217.258540,83071.000,11501,1,T1,1,100,31.209
1760384217.391539,83204.000,11533,1,T1,1,100,31.197
1760384217.524539,83337.000,11550,1,T1,1,100,31.227
1760384217.658539,83471.000,11567,1,T1,1,100,31.205
1760384217.791538,83604.000,11584,1,T1,1,100,31.230
1760384217.924538,83737.000,11617,1,T1,1,100,31.242
1760384218.058537,83871.000,11634,1,T1,1,100,31.069
1760384218.191537,84004.000,11651,1,T1,1,100,31.065
1760384218.324537,84137.000,11683,1,T1,1,100,31.170
1760384218.458536,84271.000,11699,1,T1,1,100,31.145
1760384218.591536,84404.000,11716,1,T1,1,100,31.169
1760384218.724535,84537.000,11755,1,T1,1,100,31.321
1760384218.858535,84671.000,11771,1,T1,1,100,31.210
1760384218.991535,84804.000,11789,1,T1,1,100,31.233
1760384219.124534,84937.000,11822,1,T1,1,100,31.278
1760384219.258534,85071.000,11838,1,T1,1,100,31.227
1760384219.391534,85204.000,11856,1,T1,1,100,31.204
1760384219.524533,85337.000,11889,1,T1,1,100,31.230
1760384219.658533,85471.000,11906,1,T1,1,100,31.241
1760384219.791533,85604.000,11923,1,T1,1,100,31.282
1760384219.924532,85737.000,11939,1,T1,1,100,31.299
1760384220.057532,85870.000,11971,1,T1,1,100,31.200
1760384220.191531,86004.000,11988,1,T1,1,100,31.158
1760384220.324531,86137.000,12007,1,T1,1,100,31.245
1760384220.457530,86270.000,12038,1,T1,1,100,31.213
1760384220.591530,86404.000,12055,1,T1,1,100,31.305
1760384220.724530,86537.000,12072,1,T1,1,100,31.309
1760384220.857529,86670.000,12103,1,T1,1,100,31.276
1760384220.991529,86804.000,12121,1,T1,1,100,31.261
1760384221.124529,86937.000,12137,1,T1,1,100,31.326
1760384221.257528,87070.000,12169,1,T1,1,100,31.318
1760384221.391528,87204.000,12188,1,T1,1,100,31.280
1760384221.524528,87337.000,12206,1,T1,1,100,31.334
1760384221.657527,87470.000,12240,1,T1,1,100,31.286
1760384221.791527,87604.000,12257,1,T1,1,100,31.372
1760384221.924526,87737.000,12273,1,T1,1,100,31.303
1760384222.057526,87870.000,12291,1,T1,1,100,31.273
1760384222.191525,88004.000,12322,1,T1,1,100,31.224
1760384222.324525,88137.000,12339,1,T1,1,100,31.345
1760384222.457525,88270.000,12356,1,T1,1,100,31.291
1760384222.591524,88404.000,12390,1,T1,1,100,31.374
1760384222.724524,88537.000,12406,1,T1,1,100,31.339
1760384222.857524,88670.000,12423,1,T1,1,100,31.289
1760384222.991523,88804.000,12455,1,T1,1,100,31.302
1760384223.124523,88937.000,12473,1,T1,1,100,31.308
1760384223.257523,89070.000,12490,1,T1,1,100,31.346
1760384223.390522,89203.000,12522,1,T1,1,100,31.221
1760384223.524522,89337.000,12538,1,T1,1,100,31.237
1760384223.657521,89470.000,12556,1,T1,1,100,31.315
1760384223.790521,89603.000,12592,1,T1,1,100,31.278
1760384223.924520,89737.000,12609,1,T1,1,100,31.333
1760384224.057520,89870.000,12626,1,T1,1,100,31.286
1760384224.190520,90003.000,12642,1,T1,1,100,31.230
1760384224.324519,90137.000,12676,1,T1,1,100,31.241
1760384224.457519,90270.000,12693,1,T1,1,100,31.246
1760384224.590519,90403.000,12709,1,T1,1,100,31.248
1760384224.724518,90537.000,12741,1,T1,1,100,31.249
1760384224.857518,90670.000,12758,1,T1,1,100,31.321
1760384224.990518,90803.000,12775,1,T1,1,100,31.281
1760384225.124517,90937.000,12806,1,T1,1,100,31.370
1760384225.257517,91070.000,12823,1,T1,1,100,31.444
1760384225.390516,91203.000,12840,1,T1,1,100,31.263
1760384225.524516,91337.000,12871,1,T1,1,100,31.256
1760384225.657516,91470.000,12889,1,T1,1,100,31.288
1760384225.790515,91603.000,12905,1,T1,1,100,31.195
1760384225.924515,91737.000,12939,1,T1,1,100,31.262
1760384226.057514,91870.000,12956,1,T1,1,100,31.255
1760384226.190514,92003.000,12972,1,T1,1,100,31.252
1760384226.323514,92136.000,12989,1,T1,1,100,31.322
1760384226.457513,92270.000,13023,1,T1,1,100,31.281
1760384226.590513,92403.000,13039,1,T1,1,100,31.228
1760384226.723512,92536.000,13057,1,T1,1,100,31.347
1760384226.857512,92670.000,13090,1,T1,1,100,31.327
1760384226.990512,92803.000,13107,1,T1,1,100,31.248
1760384227.123511,92936.000,13124,1,T1,1,100,31.391
1760384227.257511,93070.000,13156,1,T1,1,100,31.417
1760384227.390511,93203.000,13172,1,T1,1,100,31.322
1760384227.523510,93336.000,13189,1,T1,1,100,31.281
1760384227.657510,93470.000,13221,1,T1,1,100,31.299
1760384227.790509,93603.000,13239,1,T1,1,100,31.342
1760384227.923509,93736.000,13256,1,T1,1,100,31.325
1760384228.057509,93870.000,13288,1,T1,1,100,31.424
1760384228.190508,94003.000,13304,1,T1,1,100,31.325
1760384228.323508,94136.000,13322,1,T1,1,100,31.389
1760384228.457508,94270.000,13338,1,T1,1,100,31.417
1760384228.590507,94403.000,13369,1,T1,1,100,31.287
1760384228.723507,94536.000,13387,1,T1,1,100,31.372
1760384228.857506,94670.000,13403,1,T1,1,100,31.338
1760384228.990506,94803.000,13440,1,T1,1,100,31.288
1760384229.123506,94936.000,13459,1,T1,1,100,31.373
1760384229.257505,95070.000,13475,1,T1,1,100,31.374
1760384229.390505,95203.000,13507,1,T1,1,100,31.375
1760384229.523504,95336.000,13526,1,T1,1,100,31.410
1760384229.656504,95469.000,13543,1,T1,1,100,31.461
1760384229.790504,95603.000,13574,1,T1,1,100,31.377
1760384229.923503,95736.000,13591,1,T1,1,100,31.305
1760384230.056503,95869.000,13608,1,T1,1,100,31.345
1760384230.190502,96003.000,13639,1,T1,1,100,31.397
1760384230.323502,96136.000,13657,1,T1,1,100,31.456
1760384230.456502,96269.000,13673,1,T1,1,100,31.445
1760384230.590501,96403.000,13690,1,T1,1,100,31.335
1760384230.723501,96536.000,13724,1,T1,1,100,31.322
1760384230.856501,96669.000,13740,1,T1,1,100,31.388
