LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1760381152.210342,457097,7991,2,AK,1,100,7151,RD
1760381152.232342,457119,7994,2,AK,1,100,7992,RD
1760381157.320382,462207,8834,2,AK,1,100,7992,RD
1760381157.336382,462223,8837,2,AK,1,100,8835,RD
1760381162.459422,467346,9685,2,AK,1,100,8835,RD
1760381162.479423,467366,9688,2,AK,1,100,9686,RD
1760381167.567462,472454,10523,2,AK,1,100,9686,RD
1760381167.587463,472474,10526,2,AK,1,100,10524,RD
1760381172.679502,477566,11362,2,AK,1,100,10524,RD
1760381172.701503,477588,11365,2,AK,1,100,11363,RD
1760381177.811543,482698,12214,2,AK,1,100,11363,RD
1760381177.826543,482713,12217,2,AK,1,100,12215,RD
1760381182.919583,487806,13054,2,AK,1,100,12215,RD
1760381182.933583,487820,13057,2,AK,1,100,13055,RD
1760381188.055623,492942,13903,2,AK,1,100,13055,RD
1760381188.118624,493005,13906,2,AK,1,100,13904,RD
1760381193.163663,498050,14740,2,AK,1,100,13904,RD
1760381193.204664,498091,14743,2,AK,1,100,14741,RD
1760381198.271703,503158,15580,2,AK,1,100,14741,RD
1760381198.318704,503205,15583,2,AK,1,100,15581,RD
1760381203.382744,508269,16418,2,AK,1,100,15581,RD
1760381203.398744,508285,16421,2,AK,1,100,16419,RD
1760381208.505784,513392,17270,2,AK,1,100,16419,RD
1760381208.525784,513412,17273,2,AK,1,100,17271,RD
1760381213.614824,518501,18107,2,AK,1,100,17271,RD
1760381213.637824,518524,18110,2,AK,1,100,18108,RD
1760381218.721864,523608,18944,2,AK,1,100,18108,RD
1760381218.744864,523631,18947,2,AK,1,100,18945,RD
1760381223.853904,528740,19798,2,AK,1,100,18945,RD
1760381223.864904,528751,19801,2,AK,1,100,19799,RD
1760381228.960944,533847,20634,2,AK,1,100,19799,RD
1760381228.979945,533866,20637,2,AK,1,100,20635,RD
1760381234.068985,538955,21471,2,AK,1,100,20635,RD
1760381234.106985,538993,21474,2,AK,1,100,21472,RD
1760381239.181025,544067,22308,2,AK,1,100,21472,RD
1760381239.213025,544099,22311,2,AK,1,100,22309,RD
1760381244.288065,549174,23148,2,AK,1,100,22309,RD
1760381244.307065,549193,23151,2,AK,1,100,23149,RD
1760381249.426105,554312,24001,2,AK,1,100,23149,RD
1760381249.446105,554332,24004,2,AK,1,100,24002,RD
1760381254.534145,559420,24837,2,AK,1,100,24002,RD
1760381254.557146,559443,24840,2,AK,1,100,24838,RD
1760381259.644186,564530,25674,2,AK,1,100,24838,RD
1760381259.660186,564546,25677,2,AK,1,100,25675,RD
1760381264.772226,569658,26527,2,AK,1,100,25675,RD
1760381264.818226,569704,26530,2,AK,1,100,26528,RD
1760381269.883266,574769,27366,2,AK,1,100,26528,RD
1760381269.898266,574784,27369,2,AK,1,100,27367,RD
1760381274.991306,579877,28201,2,AK,1,100,27367,RD
