LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1760381148.305311,453192.000,7344,2,EL,1,100,-17712.400391
1760381148.305311,453192.000,7344,2,EL,1,100,-17708.000000
1760381148.372312,453259.000,7361,1,EL,1,100,-17705.400391
1760381148.438812,453325.500,7376,2,EL,1,100,-17707.199219
1760381148.505313,453392.000,7376,2,EL,1,100,-17706.400391
1760381148.572313,453459.000,7395,1,EL,1,100,-17705.599609
1760381148.638814,453525.500,7411,2,EL,1,100,-17705.000000
1760381148.705314,453592.000,7411,2,EL,1,100,-17705.199219
1760381148.772315,453659.000,7429,1,EL,1,100,-17704.599609
1760381148.838815,453725.500,7443,2,EL,1,100,-17704.000000
1760381148.905316,453792.000,7443,2,EL,1,100,-17702.800781
1760381148.972317,453859.000,7460,1,EL,1,100,-17702.000000
1760381149.038817,453925.500,7477,2,EL,1,100,-17702.000000
1760381149.105317,453992.000,7477,2,EL,1,100,-17701.599609
1760381149.172318,454059.000,7494,1,EL,1,100,-17700.000000
1760381149.238818,454125.500,7510,2,EL,1,100,-17698.800781
1760381149.305319,454192.000,7510,2,EL,1,100,-17698.400391
1760381149.372319,454259.000,7527,1,EL,1,100,-17697.400391
1760381149.438820,454325.500,7544,2,EL,1,100,-17696.599609
1760381149.505321,454392.000,7544,2,EL,1,100,-17695.199219
1760381149.572321,454459.000,7561,1,EL,1,100,-17693.000000
1760381149.638822,454525.500,7576,2,EL,1,100,-17692.800781
1760381149.705322,454592.000,7576,2,EL,1,100,-17691.400391
1760381149.772323,454659.000,7593,1,EL,1,100,-17690.000000
1760381149.838823,454725.500,7611,2,EL,1,100,-17689.000000
1760381149.905324,454792.000,7611,2,EL,1,100,-17687.800781
1760381149.972324,454859.000,7628,1,EL,1,100,-17687.199219
1760381150.038825,454925.500,7644,2,EL,1,100,-17687.800781
1760381150.105325,454992.000,7644,2,EL,1,100,-17685.599609
1760381150.172326,455059.000,7660,2,EL,1,100,-17684.800781
1760381150.239326,455126.000,7660,2,EL,1,100,-17681.199219
1760381150.305327,455192.000,7676,1,EL,1,100,-17681.599609
1760381150.372327,455259.000,7694,2,EL,1,100,-17682.400391
1760381150.439328,455326.000,7694,2,EL,1,100,-17682.000000
1760381150.505328,455392.000,7712,1,EL,1,100,-17680.800781
1760381150.572329,455459.000,7727,2,EL,1,100,-17680.599609
1760381150.639329,455526.000,7727,2,EL,1,100,-17680.599609
1760381150.705330,455592.000,7743,1,EL,1,100,-17679.599609
1760381150.772331,455659.000,7761,2,EL,1,100,-17679.000000
1760381150.839331,455726.000,7761,2,EL,1,100,-17678.000000
1760381150.905332,455792.000,7777,1,EL,1,100,-17676.599609
1760381150.972332,455859.000,7792,2,EL,1,100,-17675.800781
1760381151.039333,455926.000,7792,2,EL,1,100,-17674.800781
1760381151.105333,455992.000,7811,1,EL,1,100,-17673.599609
1760381151.172334,456059.000,7828,2,EL,1,100,-17674.000000
1760381151.239334,456126.000,7828,2,EL,1,100,-17673.199219
1760381151.305335,456192.000,7844,1,EL,1,100,-17671.400391
1760381151.372335,456259.000,7860,2,EL,1,100,-17671.199219
1760381151.439336,456326.000,7860,2,EL,1,100,-17670.000000
1760381151.505336,456392.000,7876,1,EL,1,100,-17669.800781
1760381151.571837,456458.500,7893,2,EL,1,100,-17668.199219
1760381151.638337,456525.000,7893,2,EL,1,100,-17668.400391
1760381151.705338,456592.000,7911,1,EL,1,100,-17668.599609
1760381151.771838,456658.500,7927,2,EL,1,100,-17667.800781
1760381151.838339,456725.000,7927,2,EL,1,100,-17667.400391
1760381151.905339,456792.000,7943,1,EL,1,100,-17667.199219
1760381151.971840,456858.500,7960,2,EL,1,100,-17667.000000
1760381152.038341,456925.000,7960,2,EL,1,100,-17665.000000
1760381152.105341,456992.000,7977,1,EL,1,100,-17663.800781
1760381152.171842,457058.500,8000,2,EL,1,100,-17663.800781
1760381152.238342,457125.000,8000,2,EL,1,100,-17662.400391
1760381152.305343,457192.000,8017,2,EL,1,100,-17662.199219
1760381152.372343,457259.000,8017,2,EL,1,100,-17660.000000
1760381152.438344,457325.000,8035,1,EL,1,100,-17661.199219
1760381152.505344,457392.000,8051,2,EL,1,100,-17658.199219
1760381152.572345,457459.000,8051,2,EL,1,100,-17657.400391
1760381152.638345,457525.000,8068,1,EL,1,100,-17658.000000
1760381152.705346,457592.000,8083,2,EL,1,100,-17658.199219
1760381152.772346,457659.000,8083,2,EL,1,100,-17656.800781
1760381152.838347,457725.000,8100,1,EL,1,100,-17655.599609
1760381152.905347,457792.000,8116,2,EL,1,100,-17654.400391
1760381152.972348,457859.000,8116,2,EL,1,100,-17654.199219
1760381153.038348,457925.000,8135,1,EL,1,100,-17655.000000
1760381153.105349,457992.000,8150,2,EL,1,100,-17655.199219
1760381153.172349,458059.000,8150,2,EL,1,100,-17654.599609
1760381153.238350,458125.000,8167,1,EL,1,100,-17654.800781
1760381153.305350,458192.000,8183,2,EL,1,100,-17653.599609
1760381153.372351,458259.000,8183,2,EL,1,100,-17653.599609
1760381153.438351,458325.000,8201,1,EL,1,100,-17653.800781
1760381153.505352,458392.000,8215,2,EL,1,100,-17656.800781
1760381153.572352,458459.000,8215,2,EL,1,100,-17657.400391
1760381153.638353,458525.000,8232,1,EL,1,100,-17658.400391
1760381153.705353,458592.000,8251,2,EL,1,100,-17659.199219
1760381153.772354,458659.000,8251,2,EL,1,100,-17662.000000
1760381153.838355,458725.000,8268,1,EL,1,100,-17664.000000
1760381153.905355,458792.000,8282,2,EL,1,100,-17664.199219
1760381153.972356,458859.000,8282,2,EL,1,100,-17666.599609
1760381154.038356,458925.000,8299,1,EL,1,100,-17669.000000
1760381154.105357,458992.000,8316,2,EL,1,100,-17670.800781
1760381154.172357,459059.000,8316,2,EL,1,100,-17671.599609
1760381154.238358,459125.000,8333,1,EL,1,100,-17671.400391
1760381154.305358,459192.000,8350,2,EL,1,100,-17672.800781
1760381154.372359,459259.000,8350,2,EL,1,100,-17674.000000
1760381154.438359,459325.000,8367,1,EL,1,100,-17676.800781
1760381154.505360,459392.000,8383,2,EL,1,100,-17677.400391
1760381154.572360,459459.000,8383,2,EL,1,100,-17677.800781
1760381154.638361,459525.000,8402,1,EL,1,100,-17677.199219
1760381154.704861,459591.500,8418,2,EL,1,100,-17679.400391
1760381154.771362,459658.000,8418,2,EL,1,100,-17679.199219
1760381154.838362,459725.000,8434,2,EL,1,100,-17679.800781
1760381154.905363,459792.000,8434,2,EL,1,100,-17678.199219
1760381154.971364,459858.000,8450,1,EL,1,100,-17678.400391
1760381155.038364,459925.000,8470,2,EL,1,100,-17679.400391
1760381155.105365,459992.000,8470,2,EL,1,100,-17678.800781
1760381155.171365,460058.000,8486,1,EL,1,100,-17678.800781
1760381155.238366,460125.000,8501,2,EL,1,100,-17679.599609
1760381155.305366,460192.000,8501,2,EL,1,100,-17678.400391
1760381155.371367,460258.000,8517,1,EL,1,100,-17677.000000
1760381155.438367,460325.000,8535,2,EL,1,100,-17676.199219
1760381155.505368,460392.000,8535,2,EL,1,100,-17676.599609
1760381155.571368,460458.000,8551,1,EL,1,100,-17675.800781
1760381155.638369,460525.000,8568,2,EL,1,100,-17674.599609
1760381155.705369,460592.000,8568,2,EL,1,100,-17674.400391
1760381155.771370,460658.000,8585,1,EL,1,100,-17673.400391
1760381155.838370,460725.000,8602,2,EL,1,100,-17673.599609
1760381155.905371,460792.000,8602,2,EL,1,100,-17671.199219
1760381155.971371,460858.000,8618,1,EL,1,100,-17669.800781
1760381156.038372,460925.000,8634,2,EL,1,100,-17669.800781
1760381156.105372,460992.000,8634,2,EL,1,100,-17667.599609
1760381156.171373,461058.000,8650,1,EL,1,100,-17666.199219
1760381156.238374,461125.000,8669,2,EL,1,100,-17664.599609
1760381156.305374,461192.000,8669,2,EL,1,100,-17663.800781
1760381156.371375,461258.000,8685,1,EL,1,100,-17663.800781
1760381156.438375,461325.000,8701,2,EL,1,100,-17662.599609
