LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1760381148.200310,453087.000,7332,1,GX,1,100,-0.519
1760381148.240311,453127.000,7350,2,GX,1,100,-3.265
1760381148.280311,453167.000,7350,2,GX,1,100,-5.676
1760381148.320311,453207.000,7365,3,GX,1,100,-5.768
1760381148.360312,453247.000,7365,3,GX,1,100,-3.632
1760381148.400312,453287.000,7365,3,GX,1,100,-0.122
1760381148.440312,453327.000,7382,2,GX,1,100,1.831
1760381148.480313,453367.000,7382,2,GX,1,100,-0.519
1760381148.520313,453407.000,7401,3,GX,1,100,-1.770
1760381148.560313,453447.000,7401,3,GX,1,100,-1.312
1760381148.600313,453487.000,7401,3,GX,1,100,-1.617
1760381148.640314,453527.000,7417,3,GX,1,100,-0.641
1760381148.680314,453567.000,7417,3,GX,1,100,1.434
1760381148.720315,453607.000,7417,3,GX,1,100,2.075
1760381148.760315,453647.000,7433,2,GX,1,100,1.831
1760381148.800315,453687.000,7433,2,GX,1,100,3.418
1760381148.840315,453727.000,7449,3,GX,1,100,1.495
1760381148.880316,453767.000,7449,3,GX,1,100,-0.275
1760381148.920316,453807.000,7449,3,GX,1,100,-0.610
1760381148.960316,453847.000,7466,2,GX,1,100,-1.526
1760381149.000317,453887.000,7466,2,GX,1,100,-1.251
1760381149.040317,453927.000,7483,3,GX,1,100,-1.160
1760381149.080317,453967.000,7483,3,GX,1,100,-0.763
1760381149.120317,454007.000,7483,3,GX,1,100,-0.275
1760381149.160318,454047.000,7498,2,GX,1,100,-0.824
1760381149.200318,454087.000,7498,2,GX,1,100,-0.549
1760381149.240319,454127.000,7516,3,GX,1,100,0.305
1760381149.280319,454167.000,7516,3,GX,1,100,-0.549
1760381149.320319,454207.000,7516,3,GX,1,100,-1.068
1760381149.360319,454247.000,7533,2,GX,1,100,-1.251
1760381149.400320,454287.000,7533,2,GX,1,100,-1.282
1760381149.440320,454327.000,7550,3,GX,1,100,-0.763
1760381149.480320,454367.000,7550,3,GX,1,100,-0.732
1760381149.520321,454407.000,7550,3,GX,1,100,-0.519
1760381149.560321,454447.000,7566,2,GX,1,100,-0.366
1760381149.600321,454487.000,7566,2,GX,1,100,-0.580
