LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760381148.200310,453087.000,7328,1,PG,1,100,10134
1760381148.240311,453127.000,7342,2,PG,1,100,10127
1760381148.280311,453167.000,7342,2,PG,1,100,10100
1760381148.320311,453207.000,7359,3,PG,1,100,10063
1760381148.360312,453247.000,7359,3,PG,1,100,10055
1760381148.400312,453287.000,7359,3,PG,1,100,10047
1760381148.440312,453327.000,7374,2,PG,1,100,10040
1760381148.480313,453367.000,7374,2,PG,1,100,10044
1760381148.520313,453407.000,7393,3,PG,1,100,10048
1760381148.560313,453447.000,7393,3,PG,1,100,10065
1760381148.600313,453487.000,7393,3,PG,1,100,10061
1760381148.640314,453527.000,7409,2,PG,1,100,10091
1760381148.680314,453567.000,7409,2,PG,1,100,10094
1760381148.720315,453607.000,7427,3,PG,1,100,10107
1760381148.760315,453647.000,7427,3,PG,1,100,10101
1760381148.800315,453687.000,7427,3,PG,1,100,10116
1760381148.840315,453727.000,7441,3,PG,1,100,10119
1760381148.880316,453767.000,7441,3,PG,1,100,10107
1760381148.920316,453807.000,7441,3,PG,1,100,10057
1760381148.960316,453847.000,7458,2,PG,1,100,10037
1760381149.000317,453887.000,7458,2,PG,1,100,10026
1760381149.040317,453927.000,7475,3,PG,1,100,9996
1760381149.080317,453967.000,7475,3,PG,1,100,10017
1760381149.120317,454007.000,7475,3,PG,1,100,10012
1760381149.160318,454047.000,7492,2,PG,1,100,10024
1760381149.200318,454087.000,7492,2,PG,1,100,10026
1760381149.240319,454127.000,7508,3,PG,1,100,10041
1760381149.280319,454167.000,7508,3,PG,1,100,10034
1760381149.320319,454207.000,7508,3,PG,1,100,10042
1760381149.360319,454247.000,7525,2,PG,1,100,10051
1760381149.400320,454287.000,7525,2,PG,1,100,10067
1760381149.440320,454327.000,7542,3,PG,1,100,10097
1760381149.480320,454367.000,7542,3,PG,1,100,10097
1760381149.520321,454407.000,7542,3,PG,1,100,10054
1760381149.560321,454447.000,7559,2,PG,1,100,9988
1760381149.600321,454487.000,7559,2,PG,1,100,9976
1760381149.640322,454527.000,7574,3,PG,1,100,9975
1760381149.680322,454567.000,7574,3,PG,1,100,9966
