LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760381148.200310,453087.000,7327,1,PR,1,100,126126
1760381148.240311,453127.000,7341,2,PR,1,100,126104
1760381148.280311,453167.000,7341,2,PR,1,100,126088
1760381148.320311,453207.000,7358,3,PR,1,100,126077
1760381148.360312,453247.000,7358,3,PR,1,100,126074
1760381148.400312,453287.000,7358,3,PR,1,100,126091
1760381148.440312,453327.000,7373,2,PR,1,100,126105
1760381148.480313,453367.000,7373,2,PR,1,100,126100
1760381148.520313,453407.000,7392,3,PR,1,100,126110
1760381148.560313,453447.000,7392,3,PR,1,100,126117
1760381148.600313,453487.000,7392,3,PR,1,100,126123
1760381148.640314,453527.000,7408,2,PR,1,100,126120
1760381148.680314,453567.000,7408,2,PR,1,100,126130
1760381148.720315,453607.000,7426,3,PR,1,100,126145
1760381148.760315,453647.000,7426,3,PR,1,100,126159
1760381148.800315,453687.000,7426,3,PR,1,100,126153
1760381148.840315,453727.000,7440,3,PR,1,100,126158
1760381148.880316,453767.000,7440,3,PR,1,100,126131
1760381148.920316,453807.000,7440,3,PR,1,100,126112
1760381148.960316,453847.000,7457,2,PR,1,100,126113
1760381149.000317,453887.000,7457,2,PR,1,100,126091
1760381149.040317,453927.000,7474,3,PR,1,100,126100
1760381149.080317,453967.000,7474,3,PR,1,100,126094
1760381149.120317,454007.000,7474,3,PR,1,100,126091
1760381149.160318,454047.000,7491,2,PR,1,100,126095
1760381149.200318,454087.000,7491,2,PR,1,100,126085
1760381149.240319,454127.000,7507,3,PR,1,100,126088
1760381149.280319,454167.000,7507,3,PR,1,100,126118
1760381149.320319,454207.000,7507,3,PR,1,100,126098
1760381149.360319,454247.000,7524,2,PR,1,100,126121
1760381149.400320,454287.000,7524,2,PR,1,100,126119
1760381149.440320,454327.000,7541,3,PR,1,100,126129
1760381149.480320,454367.000,7541,3,PR,1,100,126111
1760381149.520321,454407.000,7541,3,PR,1,100,126084
1760381149.560321,454447.000,7558,2,PR,1,100,126074
1760381149.600321,454487.000,7558,2,PR,1,100,126066
1760381149.640322,454527.000,7573,3,PR,1,100,126081
1760381149.680322,454567.000,7573,3,PR,1,100,126064
1760381149.720322,454607.000,7573,3,PR,1,100,126079
1760381149.760323,454647.000,7590,2,PR,1,100,126068
1760381149.800323,454687.000,7590,2,PR,1,100,126069
1760381149.840323,454727.000,7608,3,PR,1,100,126070
1760381149.880323,454767.000,7608,3,PR,1,100,126086
1760381149.920324,454807.000,7608,3,PR,1,100,126073
1760381149.960324,454847.000,7625,2,PR,1,100,126097
1760381150.000324,454887.000,7625,2,PR,1,100,126107
1760381150.040325,454927.000,7641,3,PR,1,100,126122
1760381150.080325,454967.000,7641,3,PR,1,100,126117
1760381150.120325,455007.000,7641,3,PR,1,100,126097
1760381150.160326,455047.000,7657,3,PR,1,100,126079
1760381150.200326,455087.000,7657,3,PR,1,100,126063
1760381150.240326,455127.000,7657,3,PR,1,100,126056
1760381150.280327,455167.000,7673,2,PR,1,100,126063
1760381150.320327,455207.000,7673,2,PR,1,100,126070
1760381150.360327,455247.000,7691,3,PR,1,100,126061
1760381150.400328,455287.000,7691,3,PR,1,100,126063
1760381150.440328,455327.000,7691,3,PR,1,100,126088
1760381150.480328,455367.000,7709,2,PR,1,100,126088
1760381150.520329,455407.000,7709,2,PR,1,100,126093
1760381150.560329,455447.000,7724,3,PR,1,100,126090
1760381150.600329,455487.000,7724,3,PR,1,100,126104
1760381150.640330,455527.000,7724,3,PR,1,100,126116
1760381150.680330,455567.000,7740,2,PR,1,100,126125
