LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760381152.213342,457100,7992,2,RD,1,100,TL,TU
1760381157.321382,462208,8835,2,RD,1,100,TL,TU
1760381162.460422,467347,9686,2,RD,1,100,TL,TU
1760381167.568462,472455,10524,2,RD,1,100,TL,TU
1760381172.680503,477567,11363,2,RD,1,100,TL,TU
1760381177.812543,482699,12215,2,RD,1,100,TL,TU
1760381182.920583,487807,13055,2,RD,1,100,TL,TU
1760381188.056623,492943,13904,2,RD,1,100,TL,TU
1760381193.164663,498051,14741,2,RD,1,100,TL,TU
1760381198.272704,503159,15581,2,RD,1,100,TL,TU
1760381203.382744,508269,16419,2,RD,1,100,TL,TU
1760381208.506784,513393,17271,2,RD,1,100,TL,TU
1760381213.615824,518502,18108,2,RD,1,100,TL,TU
1760381218.722864,523609,18945,2,RD,1,100,TL,TU
1760381223.853904,528740,19799,2,RD,1,100,TL,TU
1760381228.960944,533847,20635,2,RD,1,100,TL,TU
1760381234.069985,538956,21472,2,RD,1,100,TL,TU
1760381239.182025,544068,22309,2,RD,1,100,TL,TU
1760381244.289065,549175,23149,2,RD,1,100,TL,TU
1760381249.426105,554312,24002,2,RD,1,100,TL,TU
1760381254.534145,559420,24838,2,RD,1,100,TL,TU
1760381259.644186,564530,25675,2,RD,1,100,TL,TU
1760381264.773226,569659,26528,2,RD,1,100,TL,TU
1760381269.884266,574770,27367,2,RD,1,100,TL,TU
1760381274.991306,579877,28202,2,RD,1,100,TL,TU
