LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760381148.505313,453392.000,7371,1,SF,1,100,7.9773
1760381148.772315,453659.000,7424,1,SF,1,100,7.8850
1760381149.105317,453992.000,7472,1,SF,1,100,7.7938
1760381149.505321,454392.000,7539,1,SF,1,100,7.7037
1760381149.772323,454659.000,7588,1,SF,1,100,7.6145
1760381150.105325,454992.000,7639,1,SF,1,100,7.5265
1760381150.439328,455326.000,7689,1,SF,1,100,7.4394
1760381150.839331,455726.000,7756,1,SF,1,100,7.3533
1760381151.105333,455992.000,7806,1,SF,1,100,7.2683
1760381151.439336,456326.000,7855,1,SF,1,100,7.1842
1760381151.838339,456725.000,7922,1,SF,1,100,7.1011
1760381152.105341,456992.000,7972,1,SF,1,100,7.0189
1760381152.438344,457325.000,8030,1,SF,1,100,6.9377
1760381152.772346,457659.000,8078,1,SF,1,100,6.8575
1760381153.172349,458059.000,8145,1,SF,1,100,6.7782
1760381153.438351,458325.000,8196,1,SF,1,100,6.6997
1760381153.772354,458659.000,8246,1,SF,1,100,6.6222
1760381154.172357,459059.000,8311,1,SF,1,100,6.5456
1760381154.438359,459325.000,8362,1,SF,1,100,6.4699
1760381154.771362,459658.000,8413,1,SF,1,100,8.4773
1760381155.105365,459992.000,8465,1,SF,1,100,8.3793
1760381155.505368,460392.000,8530,1,SF,1,100,8.2823
1760381155.771370,460658.000,8580,1,SF,1,100,8.1865
1760381156.105372,460992.000,8629,1,SF,1,100,8.0918
1760381156.505376,461392.000,8696,1,SF,1,100,7.9982
1760381156.771378,461658.000,8746,1,SF,1,100,7.9057
1760381157.105380,461992.000,8797,1,SF,1,100,7.8142
1760381157.438383,462325.000,8852,1,SF,1,100,7.7238
1760381157.838386,462725.000,8919,1,SF,1,100,7.6345
1760381158.104388,462991.000,8970,1,SF,1,100,7.5462
1760381158.438391,463325.000,9020,1,SF,1,100,7.4589
1760381158.838394,463725.000,9085,1,SF,1,100,7.3726
1760381159.104396,463991.000,9136,1,SF,1,100,7.2873
1760381159.438399,464325.000,9186,1,SF,1,100,7.2030
1760381159.771401,464658.000,9235,1,SF,1,100,7.1197
1760381160.171404,465058.000,9302,1,SF,1,100,7.0373
1760381160.438406,465325.000,9350,1,SF,1,100,6.9559
1760381160.771409,465658.000,9399,1,SF,1,100,6.8754
1760381161.171412,466058.000,9467,1,SF,1,100,6.7959
1760381161.504415,466391.000,9516,1,SF,1,100,6.7173
1760381161.771417,466658.000,9567,1,SF,1,100,6.6396
1760381162.104419,466991.000,9615,1,SF,1,100,6.5628
1760381162.504423,467391.000,9689,1,SF,1,100,6.4869
1760381162.771425,467658.000,9740,1,SF,1,100,6.4118
