LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760381148.313311,453200.000,7346,1,TH,1,100,31.706
1760381148.447312,453334.000,7378,1,TH,1,100,31.747
1760381148.580313,453467.000,7397,1,TH,1,100,31.747
1760381148.713314,453600.000,7413,1,TH,1,100,31.718
1760381148.847315,453734.000,7445,1,TH,1,100,31.718
1760381148.980316,453867.000,7462,1,TH,1,100,31.779
1760381149.113317,454000.000,7479,1,TH,1,100,31.779
1760381149.247319,454134.000,7512,1,TH,1,100,31.825
1760381149.380320,454267.000,7529,1,TH,1,100,31.825
1760381149.513321,454400.000,7546,1,TH,1,100,31.730
1760381149.647322,454534.000,7577,1,TH,1,100,31.730
1760381149.780323,454667.000,7595,1,TH,1,100,31.754
1760381149.913324,454800.000,7613,1,TH,1,100,31.754
1760381150.047325,454934.000,7645,1,TH,1,100,31.713
1760381150.180326,455067.000,7662,1,TH,1,100,31.713
1760381150.313327,455200.000,7678,1,TH,1,100,31.713
1760381150.447328,455334.000,7696,1,TH,1,100,31.713
1760381150.580329,455467.000,7729,1,TH,1,100,31.810
1760381150.713330,455600.000,7745,1,TH,1,100,31.810
1760381150.847331,455734.000,7763,1,TH,1,100,31.660
1760381150.980332,455867.000,7794,1,TH,1,100,31.660
1760381151.113333,456000.000,7813,1,TH,1,100,31.713
1760381151.247334,456134.000,7830,1,TH,1,100,31.713
1760381151.380335,456267.000,7862,1,TH,1,100,31.788
1760381151.513336,456400.000,7878,1,TH,1,100,31.788
1760381151.646338,456533.000,7895,1,TH,1,100,31.759
1760381151.780339,456667.000,7929,1,TH,1,100,31.752
1760381151.913339,456800.000,7945,1,TH,1,100,31.728
1760381152.046340,456933.000,7962,1,TH,1,100,31.735
1760381152.180341,457067.000,8001,1,TH,1,100,31.759
1760381152.313343,457200.000,8019,1,TH,1,100,31.759
1760381152.446344,457333.000,8037,1,TH,1,100,31.757
1760381152.580345,457467.000,8053,1,TH,1,100,31.749
1760381152.713346,457600.000,8085,1,TH,1,100,31.776
1760381152.846347,457733.000,8102,1,TH,1,100,31.783
1760381152.980348,457867.000,8118,1,TH,1,100,31.742
1760381153.113349,458000.000,8152,1,TH,1,100,31.735
1760381153.246350,458133.000,8169,1,TH,1,100,31.733
1760381153.380351,458267.000,8185,1,TH,1,100,31.740
1760381153.513352,458400.000,8217,1,TH,1,100,31.674
1760381153.646353,458533.000,8234,1,TH,1,100,31.667
1760381153.780354,458667.000,8253,1,TH,1,100,31.689
1760381153.913355,458800.000,8284,1,TH,1,100,31.689
1760381154.046356,458933.000,8301,1,TH,1,100,31.801
1760381154.180357,459067.000,8318,1,TH,1,100,31.801
1760381154.313358,459200.000,8351,1,TH,1,100,31.718
1760381154.446359,459333.000,8369,1,TH,1,100,31.718
1760381154.580360,459467.000,8385,1,TH,1,100,31.750
1760381154.713362,459600.000,8419,1,TH,1,100,31.750
1760381154.846363,459733.000,8436,1,TH,1,100,31.699
1760381154.979364,459866.000,8452,1,TH,1,100,31.699
1760381155.113365,460000.000,8472,1,TH,1,100,31.669
1760381155.246366,460133.000,8503,1,TH,1,100,31.670
1760381155.379367,460266.000,8519,1,TH,1,100,31.711
1760381155.513368,460400.000,8537,1,TH,1,100,31.711
1760381155.646369,460533.000,8570,1,TH,1,100,31.716
1760381155.779370,460666.000,8587,1,TH,1,100,31.716
1760381155.913371,460800.000,8604,1,TH,1,100,31.757
1760381156.046372,460933.000,8636,1,TH,1,100,31.757
1760381156.179373,461066.000,8652,1,TH,1,100,31.779
