LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760381152.209342,457096,7990,1,TL,1,100,2025-10-13_14-45-47-143433
1760381152.231342,457118,7993,1,TL,1,100,2025-10-13_14-45-52-226410
1760381157.319382,462206,8833,1,TL,1,100,2025-10-13_14-45-52-295151
1760381157.334382,462221,8836,1,TL,1,100,2025-10-13_14-45-57-327882
1760381162.458422,467345,9684,1,TL,1,100,2025-10-13_14-45-57-375762
1760381162.475422,467362,9687,1,TL,1,100,2025-10-13_14-46-02-470246
1760381167.566463,472453,10522,1,TL,1,100,2025-10-13_14-46-02-546625
1760381167.582463,472469,10525,1,TL,1,100,2025-10-13_14-46-07-579434
1760381172.674503,477561,11361,1,TL,1,100,2025-10-13_14-46-07-623938
1760381172.700503,477587,11364,1,TL,1,100,2025-10-13_14-46-12-690648
1760381177.807543,482694,12213,1,TL,1,100,2025-10-13_14-46-12-742322
1760381177.825543,482712,12216,1,TL,1,100,2025-10-13_14-46-17-818764
1760381182.918583,487805,13053,1,TL,1,100,2025-10-13_14-46-17-913975
1760381182.932583,487819,13056,1,TL,1,100,2025-10-13_14-46-22-926712
1760381188.054623,492941,13902,1,TL,1,100,2025-10-13_14-46-22-999874
1760381188.117624,493004,13905,1,TL,1,100,2025-10-13_14-46-28-102314
1760381193.162663,498049,14739,1,TL,1,100,2025-10-13_14-46-28-144328
1760381193.203664,498090,14742,1,TL,1,100,2025-10-13_14-46-33-193415
1760381198.270704,503157,15579,1,TL,1,100,2025-10-13_14-46-33-235310
1760381198.316704,503203,15582,1,TL,1,100,2025-10-13_14-46-38-310431
1760381203.378744,508265,16417,1,TL,1,100,2025-10-13_14-46-38-351524
1760381203.397744,508284,16420,1,TL,1,100,2025-10-13_14-46-43-390471
1760381208.504784,513391,17269,1,TL,1,100,2025-10-13_14-46-43-427946
1760381208.523784,513410,17272,1,TL,1,100,2025-10-13_14-46-48-518474
1760381213.613824,518500,18106,1,TL,1,100,2025-10-13_14-46-48-608009
1760381213.635824,518522,18109,1,TL,1,100,2025-10-13_14-46-53-626449
1760381218.720864,523607,18943,1,TL,1,100,2025-10-13_14-46-53-693861
1760381218.742864,523629,18946,1,TL,1,100,2025-10-13_14-46-58-737574
1760381223.851904,528738,19797,1,TL,1,100,2025-10-13_14-46-58-772291
1760381223.863904,528750,19800,1,TL,1,100,2025-10-13_14-47-03-858830
1760381228.959944,533846,20633,1,TL,1,100,2025-10-13_14-47-03-945804
1760381228.975945,533862,20636,1,TL,1,100,2025-10-13_14-47-08-970556
1760381234.067985,538954,21470,1,TL,1,100,2025-10-13_14-47-09-027337
1760381234.105985,538992,21473,1,TL,1,100,2025-10-13_14-47-14-081225
1760381239.176025,544062,22307,1,TL,1,100,2025-10-13_14-47-14-136056
1760381239.211025,544097,22310,1,TL,1,100,2025-10-13_14-47-19-202881
1760381244.287065,549173,23147,1,TL,1,100,2025-10-13_14-47-19-267498
1760381244.301065,549187,23150,1,TL,1,100,2025-10-13_14-47-24-297371
1760381249.424105,554310,24000,1,TL,1,100,2025-10-13_14-47-24-352656
1760381249.445105,554331,24003,1,TL,1,100,2025-10-13_14-47-29-434600
1760381254.532145,559418,24836,1,TL,1,100,2025-10-13_14-47-29-511310
1760381254.556145,559442,24839,1,TL,1,100,2025-10-13_14-47-34-545382
1760381259.640185,564526,25673,1,TL,1,100,2025-10-13_14-47-34-597092
1760381259.658185,564544,25676,1,TL,1,100,2025-10-13_14-47-39-652355
1760381264.771226,569657,26526,1,TL,1,100,2025-10-13_14-47-39-691427
1760381264.817226,569703,26529,1,TL,1,100,2025-10-13_14-47-44-786672
1760381269.879266,574765,27365,1,TL,1,100,2025-10-13_14-47-44-869006
1760381269.893266,574779,27368,1,TL,1,100,2025-10-13_14-47-49-888766
1760381274.990306,579876,28200,1,TL,1,100,2025-10-13_14-47-49-943694
