RD,TS_received,TS_sent,AK,RoundTrip,
457100,457118,2025-10-13_14-45-52-226410,457119,18,
462208,462221,2025-10-13_14-45-57-327882,462223,13,
467347,467362,2025-10-13_14-46-02-470246,467366,15,
472455,472469,2025-10-13_14-46-07-579434,472474,14,
477567,477587,2025-10-13_14-46-12-690648,477588,20,
482699,482712,2025-10-13_14-46-17-818764,482713,13,
487807,487819,2025-10-13_14-46-22-926712,487820,12,
492943,493004,2025-10-13_14-46-28-102314,493005,61,
498051,498090,2025-10-13_14-46-33-193415,498091,39,
503159,503203,2025-10-13_14-46-38-310431,503205,44,
508269,508284,2025-10-13_14-46-43-390471,508285,15,
513393,513410,2025-10-13_14-46-48-518474,513412,17,
518502,518522,2025-10-13_14-46-53-626449,518524,20,
523609,523629,2025-10-13_14-46-58-737574,523631,20,
528740,528750,2025-10-13_14-47-03-858830,528751,10,
533847,533862,2025-10-13_14-47-08-970556,533866,15,
538956,538992,2025-10-13_14-47-14-081225,538993,36,
544068,544097,2025-10-13_14-47-19-202881,544099,29,
549175,549187,2025-10-13_14-47-24-297371,549193,12,
554312,554331,2025-10-13_14-47-29-434600,554332,19,
559420,559442,2025-10-13_14-47-34-545382,559443,22,
564530,564544,2025-10-13_14-47-39-652355,564546,14,
569659,569703,2025-10-13_14-47-44-786672,569704,44,
574770,574779,2025-10-13_14-47-49-888766,574784,9,
