LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1760380768.813595,73697.000,10042,2,EL,1,100,-2341.600098
1760380768.813595,73697.000,10042,2,EL,1,100,-2359.199951
1760380768.880594,73764.000,10059,1,EL,1,100,-2244.399902
1760380768.947092,73830.500,10077,2,EL,1,100,-2168.199951
1760380769.013591,73897.000,10077,2,EL,1,100,-2215.600098
1760380769.080589,73964.000,10094,1,EL,1,100,-2263.600098
1760380769.147088,74030.500,10109,2,EL,1,100,-2270.199951
1760380769.213587,74097.000,10109,2,EL,1,100,-2192.600098
1760380769.280585,74164.000,10126,1,EL,1,100,-2133.000000
1760380769.347084,74230.500,10144,2,EL,1,100,-2165.800049
1760380769.413583,74297.000,10144,2,EL,1,100,-2209.600098
1760380769.480581,74364.000,10162,1,EL,1,100,-2226.600098
1760380769.547080,74430.500,10176,2,EL,1,100,-2157.000000
1760380769.613578,74497.000,10176,2,EL,1,100,-2081.199951
1760380769.680577,74564.000,10193,1,EL,1,100,-2127.399902
1760380769.747076,74630.500,10210,2,EL,1,100,-2170.800049
1760380769.813574,74697.000,10210,2,EL,1,100,-2189.000000
1760380769.880573,74764.000,10227,1,EL,1,100,-2111.600098
1760380769.947072,74830.500,10244,2,EL,1,100,-2011.800049
1760380770.013570,74897.000,10244,2,EL,1,100,-2055.800049
1760380770.080069,74963.500,10261,2,EL,1,100,-2141.800049
1760380770.146567,75030.000,10261,2,EL,1,100,-2184.199951
1760380770.213566,75097.000,10277,1,EL,1,100,-2114.399902
1760380770.280065,75163.500,10294,2,EL,1,100,-1998.199951
1760380770.346563,75230.000,10294,2,EL,1,100,-2032.000000
1760380770.413562,75297.000,10310,1,EL,1,100,-2109.800049
1760380770.480060,75363.500,10326,2,EL,1,100,-2154.000000
1760380770.546559,75430.000,10326,2,EL,1,100,-2111.399902
1760380770.613558,75497.000,10342,1,EL,1,100,-1974.199951
1760380770.680056,75563.500,10361,2,EL,1,100,-1996.199951
1760380770.746555,75630.000,10361,2,EL,1,100,-2072.399902
1760380770.813554,75697.000,10378,1,EL,1,100,-2100.000000
1760380770.880052,75763.500,10393,2,EL,1,100,-2046.000000
1760380770.946551,75830.000,10393,2,EL,1,100,-1909.400024
1760380771.013549,75897.000,10409,1,EL,1,100,-1911.400024
1760380771.080048,75963.500,10429,2,EL,1,100,-1960.199951
1760380771.146547,76030.000,10429,2,EL,1,100,-2001.400024
1760380771.213545,76097.000,10445,1,EL,1,100,-1996.599976
1760380771.280044,76163.500,10460,2,EL,1,100,-1875.000000
1760380771.346543,76230.000,10460,2,EL,1,100,-1864.599976
1760380771.413541,76297.000,10476,1,EL,1,100,-1921.400024
1760380771.480040,76363.500,10494,2,EL,1,100,-1942.000000
1760380771.546538,76430.000,10494,2,EL,1,100,-1946.400024
1760380771.613537,76497.000,10510,1,EL,1,100,-1842.400024
1760380771.680036,76563.500,10525,2,EL,1,100,-1848.199951
1760380771.746534,76630.000,10525,2,EL,1,100,-1909.599976
1760380771.813533,76697.000,10542,1,EL,1,100,-1947.800049
1760380771.880031,76763.500,10559,2,EL,1,100,-1944.599976
1760380771.946530,76830.000,10559,2,EL,1,100,-1831.400024
1760380772.013529,76897.000,10575,1,EL,1,100,-1811.000000
1760380772.080027,76963.500,10594,2,EL,1,100,-1878.800049
1760380772.146526,77030.000,10594,2,EL,1,100,-1942.800049
1760380772.213525,77097.000,10611,1,EL,1,100,-1963.400024
1760380772.280023,77163.500,10628,2,EL,1,100,-1843.199951
1760380772.346522,77230.000,10628,2,EL,1,100,-1766.400024
1760380772.413520,77297.000,10646,1,EL,1,100,-1809.599976
1760380772.480019,77363.500,10663,2,EL,1,100,-1872.800049
1760380772.546518,77430.000,10663,2,EL,1,100,-1912.400024
1760380772.613016,77496.500,10678,2,EL,1,100,-1836.599976
1760380772.679515,77563.000,10678,2,EL,1,100,-1726.199951
1760380772.746514,77630.000,10697,1,EL,1,100,-1763.800049
1760380772.813012,77696.500,10714,2,EL,1,100,-1845.000000
1760380772.879511,77763.000,10714,2,EL,1,100,-1891.599976
1760380772.946509,77830.000,10731,1,EL,1,100,-1817.000000
1760380773.013008,77896.500,10745,2,EL,1,100,-1693.400024
1760380773.079507,77963.000,10745,2,EL,1,100,-1706.400024
1760380773.146505,78030.000,10763,1,EL,1,100,-1771.599976
1760380773.213004,78096.500,10781,2,EL,1,100,-1823.400024
1760380773.279502,78163.000,10781,2,EL,1,100,-1798.199951
1760380773.346501,78230.000,10798,1,EL,1,100,-1659.199951
1760380773.413000,78296.500,10813,2,EL,1,100,-1668.199951
1760380773.479498,78363.000,10813,2,EL,1,100,-1739.400024
1760380773.546497,78430.000,10830,1,EL,1,100,-1807.000000
1760380773.612996,78496.500,10846,2,EL,1,100,-1780.599976
1760380773.679494,78563.000,10846,2,EL,1,100,-1627.400024
1760380773.746493,78630.000,10863,1,EL,1,100,-1608.400024
1760380773.812991,78696.500,10885,2,EL,1,100,-1676.599976
1760380773.879490,78763.000,10885,2,EL,1,100,-1743.800049
1760380773.946489,78830.000,10902,1,EL,1,100,-1754.000000
1760380774.012987,78896.500,10918,2,EL,1,100,-1614.000000
1760380774.079486,78963.000,10918,2,EL,1,100,-1557.599976
1760380774.146485,79030.000,10938,2,EL,1,100,-1625.599976
1760380774.213483,79097.000,10938,2,EL,1,100,-1710.800049
1760380774.279482,79163.000,10954,1,EL,1,100,-1738.599976
1760380774.346480,79230.000,10969,2,EL,1,100,-1620.199951
