LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1760380768.721597,73605.000,10026,1,GX,1,100,-8.881
1760380768.761596,73645.000,10048,2,GX,1,100,-26.733
1760380768.801595,73685.000,10048,2,GX,1,100,-17.090
1760380768.841594,73725.000,10065,3,GX,1,100,10.437
1760380768.881593,73765.000,10065,3,GX,1,100,24.200
1760380768.921593,73805.000,10065,3,GX,1,100,22.461
1760380768.961092,73844.500,10083,2,GX,1,100,46.478
1760380769.000591,73884.000,10083,2,GX,1,100,49.713
1760380769.040924,73924.333,10098,3,GX,1,100,24.261
1760380769.081256,73964.667,10098,3,GX,1,100,12.451
1760380769.121588,74005.000,10098,3,GX,1,100,14.954
1760380769.161088,74044.500,10115,2,GX,1,100,-18.951
1760380769.200587,74084.000,10115,2,GX,1,100,-79.010
1760380769.240586,74124.000,10132,3,GX,1,100,-99.121
1760380769.280585,74164.000,10132,3,GX,1,100,-38.361
1760380769.320585,74204.000,10132,3,GX,1,100,25.818
1760380769.361084,74244.500,10150,2,GX,1,100,5.219
1760380769.401583,74285.000,10150,2,GX,1,100,-22.308
1760380769.441582,74325.000,10166,3,GX,1,100,-16.693
1760380769.481581,74365.000,10166,3,GX,1,100,-8.362
1760380769.521580,74405.000,10166,3,GX,1,100,8.545
1760380769.561579,74445.000,10182,3,GX,1,100,26.611
1760380769.601579,74485.000,10182,3,GX,1,100,47.943
1760380769.641578,74525.000,10182,3,GX,1,100,73.914
1760380769.681577,74565.000,10199,2,GX,1,100,62.378
1760380769.721576,74605.000,10199,2,GX,1,100,36.591
1760380769.761575,74645.000,10216,3,GX,1,100,28.015
1760380769.801574,74685.000,10216,3,GX,1,100,18.097
1760380769.841574,74725.000,10216,3,GX,1,100,-31.189
1760380769.881573,74765.000,10232,2,GX,1,100,-84.503
1760380769.921572,74805.000,10232,2,GX,1,100,-93.048
1760380769.961571,74845.000,10249,3,GX,1,100,-24.139
1760380770.001570,74885.000,10249,3,GX,1,100,36.560
1760380770.041569,74925.000,10249,3,GX,1,100,-0.549
1760380770.081569,74965.000,10267,2,GX,1,100,-35.767
1760380770.121568,75005.000,10267,2,GX,1,100,-27.649
1760380770.161567,75045.000,10283,3,GX,1,100,-6.622
1760380770.201566,75085.000,10283,3,GX,1,100,26.733
1760380770.241565,75125.000,10283,3,GX,1,100,31.342
1760380770.281564,75165.000,10300,2,GX,1,100,11.780
1760380770.321564,75205.000,10300,2,GX,1,100,42.511
1760380770.361563,75245.000,10314,3,GX,1,100,55.511
1760380770.401562,75285.000,10314,3,GX,1,100,35.004
1760380770.441561,75325.000,10314,3,GX,1,100,18.127
1760380770.481560,75365.000,10332,2,GX,1,100,-0.549
1760380770.521559,75405.000,10332,2,GX,1,100,-28.870
1760380770.561559,75445.000,10348,3,GX,1,100,-69.427
1760380770.601558,75485.000,10348,3,GX,1,100,-97.839
1760380770.641557,75525.000,10348,3,GX,1,100,-61.829
1760380770.681556,75565.000,10367,2,GX,1,100,-3.815
