LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1760380768.988591,73872.000,10072,1,HR,1,100,111.97
1760380769.361583,74245.000,10139,1,HR,1,100,124.12
1760380769.961571,74845.000,10239,1,HR,1,100,118.76
1760380770.721555,75605.000,10356,1,HR,1,100,109.91
1760380771.161546,76045.000,10423,1,HR,1,100,115.79
1760380772.081527,76965.000,10588,1,HR,1,100,104.55
1760380772.401521,77285.000,10641,1,HR,1,100,122.99
1760380772.761513,77645.000,10692,1,HR,1,100,132.69
1760380773.201504,78085.000,10776,1,HR,1,100,133.51
1760380773.801492,78685.000,10879,1,HR,1,100,126.06
1760380774.121485,79005.000,10932,1,HR,1,100,139.72
1760380774.481477,79365.000,10982,1,HR,1,100,145.71
1760380774.800471,79684.000,11033,1,HR,1,100,154.99
1760380775.121464,80005.000,11085,1,HR,1,100,162.22
1760380775.440458,80324.000,11152,1,HR,1,100,167.84
1760380775.800450,80684.000,11203,1,HR,1,100,167.58
1760380776.160443,81044.000,11270,1,HR,1,100,167.37
1760380776.760430,81644.000,11371,1,HR,1,100,152.40
1760380777.200421,82084.000,11441,1,HR,1,100,148.84
1760380777.520415,82404.000,11490,1,HR,1,100,157.43
1760380778.160401,83044.000,11589,1,HR,1,100,143.28
1760380778.893386,83777.000,11724,1,HR,1,100,129.96
1760380779.213380,84097.000,11780,1,HR,1,100,142.74
1760380779.573372,84457.000,11830,1,HR,1,100,148.06
1760380780.253358,85137.000,11946,1,HR,1,100,134.77
1760380780.853346,85737.000,12046,1,HR,1,100,127.04
1760380781.653329,86537.000,12183,1,HR,1,100,115.47
1760380782.173318,87057.000,12270,1,HR,1,100,115.45
1760380783.173298,88057.000,12435,1,HR,1,100,103.13
1760380783.573289,88457.000,12504,1,HR,1,100,113.55
1760380784.133278,89017.000,12593,1,HR,1,100,112.12
1760380785.053259,89937.000,12744,1,HR,1,100,101.70
1760380785.493250,90377.000,12828,1,HR,1,100,109.40
1760380786.293233,91177.000,12961,1,HR,1,100,101.76
1760380786.613226,91497.000,13011,1,HR,1,100,120.81
1760380786.973219,91857.000,13064,1,HR,1,100,131.00
1760380787.666205,92550.000,13181,1,HR,1,100,121.50
1760380788.386190,93270.000,13297,1,HR,1,100,113.02
1760380789.026176,93910.000,13398,1,HR,1,100,108.74
1760380789.426168,94310.000,13470,1,HR,1,100,117.91
1760380789.706162,94590.000,13520,1,HR,1,100,139.32
1760380790.026156,94910.000,13573,1,HR,1,100,150.03
1760380790.346149,95230.000,13623,1,HR,1,100,158.36
1760380791.065134,95949.000,13739,1,HR,1,100,141.68
1760380791.425127,96309.000,13806,1,HR,1,100,147.24
1760380791.705121,96589.000,13858,1,HR,1,100,162.14
1760380792.105113,96989.000,13925,1,HR,1,100,159.44
1760380792.385107,97269.000,13961,1,HR,1,100,171.63
1760380792.785099,97669.000,14030,1,HR,1,100,166.82
1760380792.985095,97869.000,14066,1,HR,1,100,196.42
1760380793.785078,98669.000,14200,1,HR,1,100,169.44
1760380794.465064,99349.000,14321,1,HR,1,100,151.39
1760380795.145050,100029.000,14436,1,HR,1,100,137.35
1760380795.425044,100309.000,14472,1,HR,1,100,154.45
1760380795.785037,100669.000,14541,1,HR,1,100,157.17
1760380796.425023,101309.000,14644,1,HR,1,100,143.07
1760380797.198007,102082.000,14785,1,HR,1,100,128.82
1760380797.837994,102722.000,14883,1,HR,1,100,121.03
1760380798.557979,103442.000,15006,1,HR,1,100,112.65
1760380799.197966,104082.000,15125,1,HR,1,100,108.45
1760380799.877952,104762.000,15230,1,HR,1,100,103.96
1760380800.237944,105122.000,15303,1,HR,1,100,117.89
1760380800.517939,105402.000,15357,1,HR,1,100,139.32
1760380801.117926,106002.000,15457,1,HR,1,100,130.58
1760380801.557917,106442.000,15529,1,HR,1,100,131.86
1760380801.917910,106802.000,15583,1,HR,1,100,139.60
1760380802.837891,107722.000,15737,1,HR,1,100,123.07
1760380803.357880,108242.000,15839,1,HR,1,100,121.36
1760380803.917868,108802.000,15923,1,HR,1,100,118.20
1760380804.756851,109641.000,16062,1,HR,1,100,107.81
1760380805.356838,110241.000,16165,1,HR,1,100,106.07
1760380805.716831,110601.000,16232,1,HR,1,100,119.54
1760380806.730810,111615.000,16396,1,HR,1,100,106.31
1760380807.290798,112175.000,16483,1,HR,1,100,106.49
1760380807.610792,112495.000,16533,1,HR,1,100,124.50
1760380808.129781,113014.000,16617,1,HR,1,100,122.47
1760380808.649770,113534.000,16718,1,HR,1,100,120.90
1760380809.569751,114454.000,16867,1,HR,1,100,108.52
1760380810.049741,114934.000,16939,1,HR,1,100,112.18
1760380810.929723,115814.000,17091,1,HR,1,100,102.41
1760380811.409713,116294.000,17176,1,HR,1,100,107.43
1760380812.089699,116974.000,17279,1,HR,1,100,103.16
1760380812.809684,117694.000,17401,1,HR,1,100,98.76
1760380813.409672,118294.000,17502,1,HR,1,100,99.03
1760380814.129657,119014.000,17623,1,HR,1,100,95.54
1760380814.449650,119334.000,17690,1,HR,1,100,115.98
1760380814.769644,119654.000,17749,1,HR,1,100,131.87
1760380815.049638,119934.000,17800,1,HR,1,100,150.19
1760380815.409630,120294.000,17851,1,HR,1,100,153.85
1760380815.782623,120667.000,17918,1,HR,1,100,156.70
1760380816.262613,121147.000,17988,1,HR,1,100,149.65
