LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760380768.828595,73712.000,10040,3,PG,1,100,9224
1760380768.828595,73712.000,10040,3,PG,1,100,9235
1760380768.828595,73712.000,10040,3,PG,1,100,9265
1760380768.868594,73752.000,10057,2,PG,1,100,9280
1760380768.908593,73792.000,10057,2,PG,1,100,9309
1760380768.948592,73832.000,10075,3,PG,1,100,9294
1760380768.988591,73872.000,10075,3,PG,1,100,9260
1760380769.028590,73912.000,10075,3,PG,1,100,9227
1760380769.068590,73952.000,10092,2,PG,1,100,9195
1760380769.108589,73992.000,10092,2,PG,1,100,9186
1760380769.148588,74032.000,10107,3,PG,1,100,9179
1760380769.188587,74072.000,10107,3,PG,1,100,9186
1760380769.228586,74112.000,10107,3,PG,1,100,9215
1760380769.268585,74152.000,10124,2,PG,1,100,9217
1760380769.308585,74192.000,10124,2,PG,1,100,9204
1760380769.355084,74238.500,10142,2,PG,1,100,9187
1760380769.401583,74285.000,10142,2,PG,1,100,9170
1760380769.441582,74325.000,10160,3,PG,1,100,9150
1760380769.481581,74365.000,10160,3,PG,1,100,9163
1760380769.521580,74405.000,10160,3,PG,1,100,9154
1760380769.561579,74445.000,10174,2,PG,1,100,9152
1760380769.601579,74485.000,10174,2,PG,1,100,9136
1760380769.641578,74525.000,10191,3,PG,1,100,9107
1760380769.681577,74565.000,10191,3,PG,1,100,9078
1760380769.721576,74605.000,10191,3,PG,1,100,9069
1760380769.761575,74645.000,10208,3,PG,1,100,9066
1760380769.801574,74685.000,10208,3,PG,1,100,9091
1760380769.841574,74725.000,10208,3,PG,1,100,9111
1760380769.881573,74765.000,10225,2,PG,1,100,9147
1760380769.921572,74805.000,10225,2,PG,1,100,9165
1760380769.961571,74845.000,10242,3,PG,1,100,9157
1760380770.001570,74885.000,10242,3,PG,1,100,9116
1760380770.041569,74925.000,10242,3,PG,1,100,9067
1760380770.081569,74965.000,10259,2,PG,1,100,9027
1760380770.121568,75005.000,10259,2,PG,1,100,9006
1760380770.161567,75045.000,10275,3,PG,1,100,9001
1760380770.201566,75085.000,10275,3,PG,1,100,9033
1760380770.241565,75125.000,10275,3,PG,1,100,9050
1760380770.281564,75165.000,10292,2,PG,1,100,9060
1760380770.321564,75205.000,10292,2,PG,1,100,9040
1760380770.361563,75245.000,10308,3,PG,1,100,9024
1760380770.401562,75285.000,10308,3,PG,1,100,9005
1760380770.441561,75325.000,10308,3,PG,1,100,9018
1760380770.481560,75365.000,10324,2,PG,1,100,9034
1760380770.521559,75405.000,10324,2,PG,1,100,9035
1760380770.561559,75445.000,10340,3,PG,1,100,9063
1760380770.601558,75485.000,10340,3,PG,1,100,9065
1760380770.641557,75525.000,10340,3,PG,1,100,9055
1760380770.681556,75565.000,10359,2,PG,1,100,9033
1760380770.721555,75605.000,10359,2,PG,1,100,9033
1760380770.761555,75645.000,10376,3,PG,1,100,9047
1760380770.801554,75685.000,10376,3,PG,1,100,9054
1760380770.841553,75725.000,10376,3,PG,1,100,9088
1760380770.881552,75765.000,10391,2,PG,1,100,9111
1760380770.921551,75805.000,10391,2,PG,1,100,9137
1760380770.961550,75845.000,10407,3,PG,1,100,9153
1760380771.001550,75885.000,10407,3,PG,1,100,9134
1760380771.041549,75925.000,10407,3,PG,1,100,9108
1760380771.081548,75965.000,10427,3,PG,1,100,9121
1760380771.121547,76005.000,10427,3,PG,1,100,9132
1760380771.161546,76045.000,10427,3,PG,1,100,9155
1760380771.201545,76085.000,10443,2,PG,1,100,9196
1760380771.241545,76125.000,10443,2,PG,1,100,9230
1760380771.281544,76165.000,10458,3,PG,1,100,9265
1760380771.321543,76205.000,10458,3,PG,1,100,9281
1760380771.361542,76245.000,10458,3,PG,1,100,9320
1760380771.401541,76285.000,10474,2,PG,1,100,9345
1760380771.441540,76325.000,10474,2,PG,1,100,9357
1760380771.481540,76365.000,10492,3,PG,1,100,9352
1760380771.521539,76405.000,10492,3,PG,1,100,9336
