LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1760380780.679349,85563.000,12047,1,SA,1,100,0.000003
1760380781.012342,85896.000,12097,1,SA,1,100,0.000021
1760380781.279337,86163.000,12249,1,SA,1,100,0.010649
1760380783.612288,88496.000,12520,1,SA,1,100,0.000239
1760380783.945282,88829.000,12594,1,SA,1,100,0.000364
1760380792.544104,97428.000,14011,1,SA,1,100,0.000042
1760380793.211090,98095.000,14132,1,SA,1,100,0.000092
1760380795.210048,100094.000,14473,1,SA,1,100,0.000204
1760380795.877035,100761.000,14591,1,SA,1,100,0.000099
1760380796.210028,101094.000,14645,1,SA,1,100,0.000033
1760380796.544021,101428.000,14696,1,SA,1,100,0.000305
1760380796.944013,101828.000,14763,1,SA,1,100,0.000114
1760380797.943992,102828.000,14934,1,SA,1,100,0.000014
1760380798.276985,103161.000,14985,1,SA,1,100,0.000058
1760380798.542979,103427.000,15054,1,SA,1,100,0.000409
1760380798.876972,103761.000,15105,1,SA,1,100,0.000498
1760380799.210966,104095.000,15162,1,SA,1,100,0.000594
1760380799.542959,104427.000,15231,1,SA,1,100,0.000622
1760380799.876952,104761.000,15284,1,SA,1,100,0.000543
1760380800.210945,105095.000,15336,1,SA,1,100,0.000743
1760380800.542938,105427.000,15389,1,SA,1,100,0.000967
1760380800.876931,105761.000,15458,1,SA,1,100,0.000725
1760380801.209924,106094.000,15510,1,SA,1,100,0.000842
1760380801.675915,106560.000,15563,1,SA,1,100,0.000217
1760380802.009908,106894.000,15635,1,SA,1,100,0.000139
1760380802.275902,107160.000,15702,1,SA,1,100,0.000712
1760380802.609895,107494.000,15787,1,SA,1,100,0.007539
1760380803.942868,108827.000,15955,1,SA,1,100,0.001016
1760380804.342859,109227.000,16097,1,SA,1,100,0.013818
1760380810.475732,115360.000,17054,1,SA,1,100,0.000125
1760380810.741727,115626.000,17106,1,SA,1,100,0.000751
1760380811.075720,115960.000,17159,1,SA,1,100,0.001247
1760380811.408713,116293.000,17211,1,SA,1,100,0.001591
1760380811.741706,116626.000,17280,1,SA,1,100,0.001626
1760380812.074699,116959.000,17333,1,SA,1,100,0.002243
1760380812.408692,117293.000,17503,1,SA,1,100,0.013686
1760380813.474670,118359.000,17553,1,SA,1,100,0.001897
1760380813.742665,118627.000,17604,1,SA,1,100,0.003936
1760380814.074658,118959.000,17725,1,SA,1,100,0.013440
1760380815.941619,120826.000,17967,1,SA,1,100,0.000237
1760380816.141615,121026.000,18070,1,SA,1,100,0.011497
1760380817.608585,122493.000,18242,1,SA,1,100,0.000306
1760380817.808581,122693.000,18309,1,SA,1,100,0.003510
1760380818.208572,123093.000,18362,1,SA,1,100,0.001849
1760380818.674563,123559.000,18429,1,SA,1,100,0.000482
1760380818.874558,123759.000,18706,1,SA,1,100,0.045966
1760380820.607523,125492.000,18773,1,SA,1,100,0.011131
1760380822.273488,127158.000,19048,1,SA,1,100,0.006556
