LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760380768.780596,73664,10032,1,TL,1,100,2025-10-13_14-39-23-775539
1760380768.794595,73678,10035,1,TL,1,100,2025-10-13_14-39-28-786868
1760380773.887490,78771,10873,1,TL,1,100,2025-10-13_14-39-28-849359
1760380773.908489,78792,10876,1,TL,1,100,2025-10-13_14-39-33-895049
1760380779.015384,83899,11739,1,TL,1,100,2025-10-13_14-39-33-932772
1760380779.041383,83925,11742,1,TL,1,100,2025-10-13_14-39-39-025142
1760380784.121278,89005,12587,1,TL,1,100,2025-10-13_14-39-39-103119
1760380784.135278,89019,12590,1,TL,1,100,2025-10-13_14-39-44-127480
1760380789.229172,94113,13430,1,TL,1,100,2025-10-13_14-39-44-181355
1760380789.242172,94126,13433,1,TL,1,100,2025-10-13_14-39-49-236672
1760380794.354066,99238,14298,1,TL,1,100,2025-10-13_14-39-49-266788
1760380794.375066,99259,14301,1,TL,1,100,2025-10-13_14-39-54-370469
1760380799.457961,104342,15157,1,TL,1,100,2025-10-13_14-39-54-477540
1760380799.468960,104353,15160,1,TL,1,100,2025-10-13_14-39-59-465538
1760380804.565855,109450,16022,1,TL,1,100,2025-10-13_14-39-59-517076
1760380804.585854,109470,16025,1,TL,1,100,2025-10-13_14-40-04-577534
1760380809.699749,114584,16882,1,TL,1,100,2025-10-13_14-40-04-624793
1760380809.717748,114602,16885,1,TL,1,100,2025-10-13_14-40-09-709970
1760380814.810643,119695,17743,1,TL,1,100,2025-10-13_14-40-09-790364
1760380814.824642,119709,17746,1,TL,1,100,2025-10-13_14-40-14-817917
1760380819.916537,124801,18600,1,TL,1,100,2025-10-13_14-40-14-863110
1760380819.935537,124820,18603,1,TL,1,100,2025-10-13_14-40-19-925614
1760380825.051431,129936,19471,1,TL,1,100,2025-10-13_14-40-19-966694
1760380825.065430,129950,19474,1,TL,1,100,2025-10-13_14-40-25-060187
1760380830.157325,135042,20326,1,TL,1,100,2025-10-13_14-40-25-142093
1760380830.169325,135054,20329,1,TL,1,100,2025-10-13_14-40-30-166439
1760380835.267219,140152,21184,1,TL,1,100,2025-10-13_14-40-30-216350
1760380835.284219,140169,21187,1,TL,1,100,2025-10-13_14-40-35-275619
1760380840.396113,145281,22067,1,TL,1,100,2025-10-13_14-40-35-315303
1760380840.409113,145294,22070,1,TL,1,100,2025-10-13_14-40-40-402961
1760380845.504007,150389,22925,1,TL,1,100,2025-10-13_14-40-40-498724
1760380845.519007,150404,22928,1,TL,1,100,2025-10-13_14-40-45-513943
1760380850.614901,155500,23783,1,TL,1,100,2025-10-13_14-40-45-574963
1760380850.635901,155521,23786,1,TL,1,100,2025-10-13_14-40-50-629544
1760380855.744795,160630,24654,1,TL,1,100,2025-10-13_14-40-50-665728
1760380855.755795,160641,24657,1,TL,1,100,2025-10-13_14-40-55-751575
1760380860.852690,165738,25517,1,TL,1,100,2025-10-13_14-40-55-849533
1760380860.871689,165757,25520,1,TL,1,100,2025-10-13_14-41-00-865082
1760380865.960584,170846,26393,1,TL,1,100,2025-10-13_14-41-00-913398
1760380866.012583,170898,26396,1,TL,1,100,2025-10-13_14-41-05-983452
1760380871.070478,175956,27267,1,TL,1,100,2025-10-13_14-41-06-043625
1760380871.111477,175997,27270,1,TL,1,100,2025-10-13_14-41-11-092808
1760380876.177372,181063,28122,1,TL,1,100,2025-10-13_14-41-11-137800
1760380876.216371,181102,28125,1,TL,1,100,2025-10-13_14-41-16-209545
1760380881.286266,186172,28980,1,TL,1,100,2025-10-13_14-41-16-241156
1760380881.317266,186203,28983,1,TL,1,100,2025-10-13_14-41-21-306856
1760380886.393161,191279,29851,1,TL,1,100,2025-10-13_14-41-21-367300
1760380886.422160,191308,29854,1,TL,1,100,2025-10-13_14-41-26-416852
1760380891.535054,196421,30739,1,TL,1,100,2025-10-13_14-41-26-452409
1760380891.548054,196434,30742,1,TL,1,100,2025-10-13_14-41-31-542054
