RD,TS_received,TS_sent,AK,RoundTrip,
73665,73678,2025-10-13_14-39-28-786868,73679,13,
78772,78792,2025-10-13_14-39-33-895049,78793,20,
83901,83925,2025-10-13_14-39-39-025142,83926,24,
89007,89019,2025-10-13_14-39-44-127480,89020,12,
94115,94126,2025-10-13_14-39-49-236672,94127,11,
99243,99259,2025-10-13_14-39-54-370469,99261,16,
104344,104353,2025-10-13_14-39-59-465538,104355,9,
109452,109470,2025-10-13_14-40-04-577534,109471,18,
114589,114602,2025-10-13_14-40-09-709970,114603,13,
119697,119709,2025-10-13_14-40-14-817917,119710,12,
124803,124820,2025-10-13_14-40-19-925614,124821,17,
129939,129950,2025-10-13_14-40-25-060187,129951,11,
135045,135054,2025-10-13_14-40-30-166439,135060,9,
140154,140169,2025-10-13_14-40-35-275619,140173,15,
145283,145294,2025-10-13_14-40-40-402961,145295,11,
150391,150404,2025-10-13_14-40-45-513943,150405,13,
155506,155521,2025-10-13_14-40-50-629544,155523,15,
160632,160641,2025-10-13_14-40-55-751575,160642,9,
165740,165757,2025-10-13_14-41-00-865082,165758,17,
170851,170898,2025-10-13_14-41-05-983452,170902,47,
175958,175997,2025-10-13_14-41-11-092808,175998,39,
181066,181102,2025-10-13_14-41-16-209545,181104,36,
186174,186203,2025-10-13_14-41-21-306856,186209,29,
191281,191308,2025-10-13_14-41-26-416852,191309,27,
196422,196434,2025-10-13_14-41-31-542054,196435,12,
