LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760380187.226420,202100.000,31546,1,BI,1,100,960
1760380187.906427,202780.000,31671,1,BI,1,100,680
1760380188.546434,203420.000,31771,1,BI,1,100,640
1760380189.946450,204820.000,32009,1,BI,1,100,1400
1760380191.305465,206179.000,32244,1,BI,1,100,1360
1760380192.945483,207819.000,32524,1,BI,1,100,1640
1760380193.825493,208699.000,32656,1,BI,1,100,880
1760380194.665502,209539.000,32809,1,BI,1,100,840
1760380195.318509,210192.000,32910,1,BI,1,100,640
1760380196.078518,210952.000,33044,1,BI,1,100,760
1760380196.758525,211632.000,33136,1,BI,1,100,680
1760380197.598534,212472.000,33292,1,BI,1,100,840
1760380198.198541,213072.000,33393,1,BI,1,100,600
1760380200.798570,215672.000,33816,1,BI,1,100,2600
1760380202.637590,217511.000,34128,1,BI,1,100,1840
1760380203.397599,218271.000,34246,1,BI,1,100,760
1760380205.291620,220165.000,34565,1,BI,1,100,1880
1760380206.970638,221844.000,34841,1,BI,1,100,1680
1760380207.690646,222564.000,34963,1,BI,1,100,720
1760380210.010672,224884.000,35351,1,BI,1,100,2320
1760380210.490677,225364.000,35435,1,BI,1,100,480
1760380211.330686,226204.000,35573,1,BI,1,100,840
1760380212.050694,226924.000,35698,1,BI,1,100,720
1760380212.970704,227844.000,35852,1,BI,1,100,920
1760380213.650712,228524.000,35955,1,BI,1,100,680
1760380214.570722,229444.000,36125,1,BI,1,100,920
1760380215.183729,230057.000,36228,1,BI,1,100,600
1760380216.783746,231657.000,36477,1,BI,1,100,1600
1760380217.703757,232577.000,36638,1,BI,1,100,920
1760380218.503766,233377.000,36774,1,BI,1,100,800
1760380219.503777,234377.000,36942,1,BI,1,100,1000
1760380220.822791,235696.000,37160,1,BI,1,100,1320
1760380221.702801,236576.000,37294,1,BI,1,100,880
1760380222.622811,237496.000,37451,1,BI,1,100,920
1760380223.422820,238296.000,37587,1,BI,1,100,800
1760380224.102828,238976.000,37690,1,BI,1,100,680
1760380224.662834,239536.000,37793,1,BI,1,100,560
1760380226.595855,241469.000,38116,1,BI,1,100,1920
1760380227.315863,242189.000,38241,1,BI,1,100,720
1760380228.435875,243309.000,38426,1,BI,1,100,1120
1760380229.035882,243909.000,38529,1,BI,1,100,600
1760380229.875891,244749.000,38662,1,BI,1,100,840
1760380230.395897,245269.000,38748,1,BI,1,100,520
1760380231.115905,245989.000,38865,1,BI,1,100,720
1760380231.955914,246829.000,39000,1,BI,1,100,840
1760380234.074938,248948.000,39362,1,BI,1,100,2120
1760380234.674944,249548.000,39467,1,BI,1,100,600
1760380236.487964,251361.000,39768,1,BI,1,100,1800
1760380237.207972,252081.000,39889,1,BI,1,100,720
1760380239.007992,253881.000,40184,1,BI,1,100,1800
1760380239.848001,254721.000,40320,1,BI,1,100,840
1760380240.688011,255561.000,40455,1,BI,1,100,840
1760380241.328018,256201.000,40574,1,BI,1,100,640
1760380242.128027,257001.000,40710,1,BI,1,100,800
1760380243.888046,258761.000,40984,1,BI,1,100,1760
1760380244.408052,259281.000,41089,1,BI,1,100,520
1760380245.261061,260134.000,41228,1,BI,1,100,840
1760380246.141071,261014.000,41381,1,BI,1,100,880
1760380246.941080,261814.000,41518,1,BI,1,100,800
1760380248.541098,263414.000,41781,1,BI,1,100,1600
1760380249.061103,263934.000,41865,1,BI,1,100,520
1760380249.980114,264853.000,42014,1,BI,1,100,920
1760380250.820123,265693.000,42153,1,BI,1,100,840
1760380251.540131,266413.000,42274,1,BI,1,100,720
1760380252.900146,267773.000,42516,1,BI,1,100,1360
1760380253.540153,268413.000,42617,1,BI,1,100,640
1760380255.193171,270066.000,42888,1,BI,1,100,1640
1760380257.473197,272346.000,43261,1,BI,1,100,2280
1760380258.273205,273146.000,43405,1,BI,1,100,800
1760380259.953224,274826.000,43674,1,BI,1,100,1680
1760380260.873234,275746.000,43824,1,BI,1,100,920
1760380264.806278,279679.000,44488,1,BI,1,100,3920
1760380265.526285,280399.000,44606,1,BI,1,100,720
1760380266.246293,281119.000,44726,1,BI,1,100,720
1760380266.805300,281678.000,44809,1,BI,1,100,560
1760380267.805311,282678.000,44981,1,BI,1,100,1000
1760380269.645331,284518.000,45289,1,BI,1,100,1840
1760380270.525341,285398.000,45445,1,BI,1,100,880
1760380271.205348,286078.000,45543,1,BI,1,100,680
1760380272.005357,286878.000,45682,1,BI,1,100,800
1760380272.765366,287638.000,45816,1,BI,1,100,760
1760380272.925367,287798.000,45833,1,BI,1,100,160
1760380273.565374,288438.000,45941,1,BI,1,100,640
1760380274.338383,289211.000,46075,1,BI,1,100,760
1760380275.058391,289931.000,46197,1,BI,1,100,720
1760380275.818399,290691.000,46314,1,BI,1,100,760
1760380276.618408,291491.000,46449,1,BI,1,100,800
1760380277.218415,292091.000,46554,1,BI,1,100,600
1760380278.018424,292891.000,46690,1,BI,1,100,800
1760380278.898433,293771.000,46830,1,BI,1,100,880
1760380279.697442,294570.000,46966,1,BI,1,100,800
1760380280.497451,295370.000,47104,1,BI,1,100,800
1760380281.177459,296050.000,47223,1,BI,1,100,680
1760380281.977467,296850.000,47357,1,BI,1,100,800
1760380282.857477,297730.000,47495,1,BI,1,100,880
1760380283.577485,298450.000,47613,1,BI,1,100,720
1760380284.230492,299103.000,47721,1,BI,1,100,640
1760380285.070502,299943.000,47874,1,BI,1,100,840
1760380286.870522,301743.000,48161,1,BI,1,100,1800
1760380287.430528,302303.000,48264,1,BI,1,100,560
1760380288.350538,303223.000,48416,1,BI,1,100,920
1760380289.190547,304063.000,48557,1,BI,1,100,840
1760380290.030556,304903.000,48691,1,BI,1,100,840
1760380290.910566,305783.000,48846,1,BI,1,100,880
1760380291.750575,306623.000,48980,1,BI,1,100,840
1760380292.470583,307343.000,49102,1,BI,1,100,720
1760380293.149591,308022.000,49221,1,BI,1,100,680
1760380294.403605,309276.000,49428,1,BI,1,100,1240
1760380295.643618,310516.000,49632,1,BI,1,100,1240
1760380296.322626,311195.000,49750,1,BI,1,100,680
1760380297.242636,312115.000,49905,1,BI,1,100,920
1760380298.082645,312955.000,50041,1,BI,1,100,840
1760380299.082656,313955.000,50196,1,BI,1,100,1000
1760380299.722664,314595.000,50317,1,BI,1,100,640
1760380301.442683,316315.000,50605,1,BI,1,100,1720
1760380302.562695,317435.000,50794,1,BI,1,100,1120
1760380303.335703,318208.000,50912,1,BI,1,100,760
1760380304.215713,319088.000,51071,1,BI,1,100,880
1760380304.895721,319768.000,51174,1,BI,1,100,680
1760380305.575728,320448.000,51292,1,BI,1,100,680
1760380306.575739,321448.000,51460,1,BI,1,100,1000
1760380307.295747,322168.000,51579,1,BI,1,100,720
1760380308.175757,323048.000,51729,1,BI,1,100,880
1760380308.855765,323728.000,51831,1,BI,1,100,680
1760380309.534772,324407.000,51954,1,BI,1,100,680
1760380310.374781,325247.000,52092,1,BI,1,100,840
1760380311.294791,326167.000,52240,1,BI,1,100,920
1760380312.134801,327007.000,52373,1,BI,1,100,840
1760380315.467838,330340.000,52915,1,BI,1,100,3320
1760380316.667851,331540.000,53113,1,BI,1,100,1200
1760380317.747863,332620.000,53301,1,BI,1,100,1080
1760380318.667873,333540.000,53453,1,BI,1,100,920
1760380319.547883,334420.000,53592,1,BI,1,100,880
1760380321.640906,336513.000,53945,1,BI,1,100,2080
