LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1760380186.411411,201285.000,31418,2,EL,1,100,13751.799805
1760380186.411411,201285.000,31418,2,EL,1,100,13752.000000
1760380186.478411,201352.000,31436,1,EL,1,100,13751.799805
1760380186.544912,201418.500,31452,2,EL,1,100,13764.000000
1760380186.611413,201485.000,31452,2,EL,1,100,13755.000000
1760380186.678414,201552.000,31469,1,EL,1,100,13736.000000
1760380186.744915,201618.500,31484,2,EL,1,100,13722.000000
1760380186.811415,201685.000,31484,2,EL,1,100,13710.200195
1760380186.878416,201752.000,31501,1,EL,1,100,13694.599609
1760380186.944917,201818.500,31517,2,EL,1,100,13689.799805
1760380187.011417,201885.000,31517,2,EL,1,100,13683.400391
1760380187.078418,201952.000,31534,1,EL,1,100,13675.200195
1760380187.144919,202018.500,31555,2,EL,1,100,13670.000000
1760380187.211420,202085.000,31555,2,EL,1,100,13656.799805
1760380187.278420,202152.000,31572,1,EL,1,100,13642.400391
1760380187.344921,202218.500,31590,2,EL,1,100,13642.200195
1760380187.411422,202285.000,31590,2,EL,1,100,13637.200195
1760380187.478423,202352.000,31608,1,EL,1,100,13635.000000
1760380187.544923,202418.500,31622,2,EL,1,100,13626.599609
1760380187.611424,202485.000,31622,2,EL,1,100,13614.799805
1760380187.678425,202552.000,31639,1,EL,1,100,13606.599609
1760380187.744925,202618.500,31658,2,EL,1,100,13615.799805
1760380187.811426,202685.000,31658,2,EL,1,100,13612.400391
1760380187.878427,202752.000,31677,1,EL,1,100,13606.799805
1760380187.944928,202818.500,31692,2,EL,1,100,13589.799805
1760380188.011428,202885.000,31692,2,EL,1,100,13586.200195
1760380188.078429,202952.000,31708,1,EL,1,100,13577.200195
1760380188.144930,203018.500,31725,2,EL,1,100,13578.200195
1760380188.211431,203085.000,31725,2,EL,1,100,13569.200195
1760380188.277931,203151.500,31742,2,EL,1,100,13555.000000
1760380188.344432,203218.000,31742,2,EL,1,100,13546.400391
1760380188.411433,203285.000,31760,1,EL,1,100,13544.000000
1760380188.477934,203351.500,31778,2,EL,1,100,13548.799805
1760380188.544434,203418.000,31778,2,EL,1,100,13543.200195
1760380188.611435,203485.000,31794,1,EL,1,100,13535.000000
1760380188.677936,203551.500,31811,2,EL,1,100,13522.000000
1760380188.744437,203618.000,31811,2,EL,1,100,13512.000000
1760380188.811437,203685.000,31828,1,EL,1,100,13508.200195
1760380188.877938,203751.500,31845,2,EL,1,100,13498.599609
1760380188.944439,203818.000,31845,2,EL,1,100,13497.799805
1760380189.011440,203885.000,31861,1,EL,1,100,13489.599609
1760380189.077940,203951.500,31879,2,EL,1,100,13476.799805
1760380189.144441,204018.000,31879,2,EL,1,100,13462.200195
1760380189.211442,204085.000,31895,1,EL,1,100,13453.200195
1760380189.277942,204151.500,31912,2,EL,1,100,13442.599609
1760380189.344443,204218.000,31912,2,EL,1,100,13442.000000
1760380189.411444,204285.000,31928,1,EL,1,100,13432.400391
1760380189.477945,204351.500,31946,2,EL,1,100,13420.000000
1760380189.544445,204418.000,31946,2,EL,1,100,13414.799805
1760380189.611446,204485.000,31964,1,EL,1,100,13417.200195
1760380189.677947,204551.500,31979,2,EL,1,100,13414.799805
1760380189.744448,204618.000,31979,2,EL,1,100,13410.799805
1760380189.811448,204685.000,31996,1,EL,1,100,13402.200195
1760380189.877949,204751.500,32015,2,EL,1,100,13395.200195
1760380189.944450,204818.000,32015,2,EL,1,100,13383.400391
1760380190.011451,204885.000,32031,1,EL,1,100,13385.200195
1760380190.077951,204951.500,32048,2,EL,1,100,13382.599609
1760380190.144452,205018.000,32048,2,EL,1,100,13376.599609
1760380190.211453,205085.000,32063,1,EL,1,100,13366.400391
1760380190.277953,205151.500,32080,2,EL,1,100,13357.000000
1760380190.344454,205218.000,32080,2,EL,1,100,13345.799805
1760380190.410955,205284.500,32099,2,EL,1,100,13341.400391
1760380190.477456,205351.000,32099,2,EL,1,100,13346.400391
1760380190.544456,205418.000,32116,1,EL,1,100,13344.000000
1760380190.610957,205484.500,32130,2,EL,1,100,13334.799805
1760380190.677458,205551.000,32130,2,EL,1,100,13332.599609
1760380190.744459,205618.000,32147,1,EL,1,100,13323.000000
1760380190.810959,205684.500,32166,2,EL,1,100,13315.200195
1760380190.877460,205751.000,32166,2,EL,1,100,13312.799805
1760380190.944461,205818.000,32183,1,EL,1,100,13310.599609
1760380191.010962,205884.500,32197,2,EL,1,100,13316.400391
1760380191.077462,205951.000,32197,2,EL,1,100,13300.200195
1760380191.144463,206018.000,32215,1,EL,1,100,13276.200195
1760380191.210964,206084.500,32231,2,EL,1,100,13265.400391
1760380191.277465,206151.000,32231,2,EL,1,100,13256.400391
1760380191.344465,206218.000,32250,1,EL,1,100,13252.400391
1760380191.410966,206284.500,32270,2,EL,1,100,13242.400391
1760380191.477467,206351.000,32270,2,EL,1,100,13237.599609
1760380191.544467,206418.000,32287,1,EL,1,100,13227.000000
1760380191.610968,206484.500,32303,2,EL,1,100,13216.200195
1760380191.677469,206551.000,32303,2,EL,1,100,13211.400391
