LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1760380186.306410,201180.000,31408,1,PG,1,100,9326
1760380186.346410,201220.000,31416,2,PG,1,100,9315
1760380186.386410,201260.000,31416,2,PG,1,100,9329
1760380186.426411,201300.000,31434,3,PG,1,100,9328
1760380186.466411,201340.000,31434,3,PG,1,100,9321
1760380186.506412,201380.000,31434,3,PG,1,100,9323
1760380186.546412,201420.000,31450,2,PG,1,100,9316
1760380186.586413,201460.000,31450,2,PG,1,100,9333
1760380186.626413,201500.000,31467,3,PG,1,100,9340
1760380186.666414,201540.000,31467,3,PG,1,100,9355
1760380186.706414,201580.000,31467,3,PG,1,100,9348
1760380186.746414,201620.000,31482,2,PG,1,100,9356
1760380186.786415,201660.000,31482,2,PG,1,100,9362
1760380186.826415,201700.000,31499,3,PG,1,100,9355
1760380186.866416,201740.000,31499,3,PG,1,100,9361
1760380186.906416,201780.000,31499,3,PG,1,100,9344
1760380186.946417,201820.000,31515,3,PG,1,100,9358
1760380186.986417,201860.000,31515,3,PG,1,100,9349
1760380187.026417,201900.000,31515,3,PG,1,100,9346
1760380187.066418,201940.000,31532,2,PG,1,100,9343
1760380187.106418,201980.000,31532,2,PG,1,100,9355
1760380187.146419,202020.000,31553,3,PG,1,100,9339
1760380187.186419,202060.000,31553,3,PG,1,100,9341
1760380187.226420,202100.000,31553,3,PG,1,100,9340
1760380187.266420,202140.000,31570,2,PG,1,100,9350
1760380187.306421,202180.000,31570,2,PG,1,100,9350
1760380187.346421,202220.000,31588,3,PG,1,100,9359
1760380187.386421,202260.000,31588,3,PG,1,100,9364
1760380187.426422,202300.000,31588,3,PG,1,100,9361
1760380187.466422,202340.000,31606,2,PG,1,100,9363
1760380187.506423,202380.000,31606,2,PG,1,100,9372
1760380187.546423,202420.000,31620,3,PG,1,100,9367
1760380187.586424,202460.000,31620,3,PG,1,100,9372
1760380187.626424,202500.000,31620,3,PG,1,100,9387
1760380187.666425,202540.000,31637,2,PG,1,100,9354
1760380187.706425,202580.000,31637,2,PG,1,100,9360
1760380187.746425,202620.000,31656,3,PG,1,100,9353
1760380187.786426,202660.000,31656,3,PG,1,100,9348
1760380187.826426,202700.000,31656,3,PG,1,100,9353
1760380187.866427,202740.000,31675,2,PG,1,100,9358
1760380187.906427,202780.000,31675,2,PG,1,100,9362
1760380187.946428,202820.000,31690,3,PG,1,100,9353
1760380187.986428,202860.000,31690,3,PG,1,100,9371
1760380188.026429,202900.000,31690,3,PG,1,100,9347
1760380188.066429,202940.000,31706,2,PG,1,100,9364
1760380188.106430,202980.000,31706,2,PG,1,100,9370
1760380188.146430,203020.000,31723,3,PG,1,100,9383
1760380188.186430,203060.000,31723,3,PG,1,100,9383
1760380188.226431,203100.000,31723,3,PG,1,100,9398
1760380188.266431,203140.000,31740,3,PG,1,100,9390
1760380188.306432,203180.000,31740,3,PG,1,100,9375
1760380188.346432,203220.000,31740,3,PG,1,100,9370
1760380188.386433,203260.000,31758,2,PG,1,100,9367
1760380188.426433,203300.000,31758,2,PG,1,100,9365
1760380188.466434,203340.000,31776,3,PG,1,100,9355
1760380188.506434,203380.000,31776,3,PG,1,100,9361
1760380188.546434,203420.000,31776,3,PG,1,100,9373
1760380188.586435,203460.000,31792,2,PG,1,100,9366
1760380188.626435,203500.000,31792,2,PG,1,100,9374
1760380188.666436,203540.000,31809,3,PG,1,100,9360
1760380188.706436,203580.000,31809,3,PG,1,100,9362
1760380188.746437,203620.000,31809,3,PG,1,100,9368
1760380188.786437,203660.000,31826,2,PG,1,100,9360
1760380188.826437,203700.000,31826,2,PG,1,100,9387
1760380188.866438,203740.000,31843,3,PG,1,100,9390
1760380188.906438,203780.000,31843,3,PG,1,100,9382
1760380188.946439,203820.000,31843,3,PG,1,100,9379
1760380188.986439,203860.000,31859,2,PG,1,100,9371
1760380189.026440,203900.000,31859,2,PG,1,100,9369
1760380189.066440,203940.000,31877,3,PG,1,100,9367
1760380189.106441,203980.000,31877,3,PG,1,100,9356
1760380189.146441,204020.000,31877,3,PG,1,100,9371
1760380189.186441,204060.000,31893,2,PG,1,100,9373
1760380189.226442,204100.000,31893,2,PG,1,100,9372
1760380189.266442,204140.000,31910,3,PG,1,100,9368
1760380189.306443,204180.000,31910,3,PG,1,100,9373
1760380189.346443,204220.000,31910,3,PG,1,100,9377
1760380189.386110,204259.667,31926,3,PG,1,100,9371
1760380189.425777,204299.333,31926,3,PG,1,100,9372
1760380189.465445,204339.000,31926,3,PG,1,100,9381
1760380189.505945,204379.500,31944,2,PG,1,100,9395
1760380189.546445,204420.000,31944,2,PG,1,100,9391
1760380189.586112,204459.667,31962,3,PG,1,100,9387
1760380189.625780,204499.333,31962,3,PG,1,100,9383
1760380189.665447,204539.000,31962,3,PG,1,100,9380
1760380189.705947,204579.500,31977,2,PG,1,100,9373
1760380189.746448,204620.000,31977,2,PG,1,100,9363
1760380189.786115,204659.667,31994,3,PG,1,100,9367
1760380189.825782,204699.333,31994,3,PG,1,100,9368
1760380189.865449,204739.000,31994,3,PG,1,100,9361
1760380189.905949,204779.500,32013,2,PG,1,100,9374
1760380189.946450,204820.000,32013,2,PG,1,100,9381
1760380189.986117,204859.667,32029,3,PG,1,100,9387
1760380190.025784,204899.333,32029,3,PG,1,100,9385
1760380190.065451,204939.000,32029,3,PG,1,100,9398
1760380190.105452,204979.000,32046,2,PG,1,100,9394
1760380190.145452,205019.000,32046,2,PG,1,100,9387
1760380190.185452,205059.000,32061,3,PG,1,100,9414
1760380190.225453,205099.000,32061,3,PG,1,100,9419
1760380190.265453,205139.000,32061,3,PG,1,100,9416
1760380190.305954,205179.500,32078,2,PG,1,100,9415
1760380190.346454,205220.000,32078,2,PG,1,100,9422
1760380190.386121,205259.667,32097,3,PG,1,100,9400
1760380190.425788,205299.333,32097,3,PG,1,100,9396
1760380190.465456,205339.000,32097,3,PG,1,100,9394
1760380190.505456,205379.000,32114,2,PG,1,100,9399
1760380190.545456,205419.000,32114,2,PG,1,100,9384
1760380190.585457,205459.000,32128,3,PG,1,100,9404
1760380190.625457,205499.000,32128,3,PG,1,100,9389
1760380190.665458,205539.000,32128,3,PG,1,100,9400
1760380190.705958,205579.500,32145,2,PG,1,100,9398
1760380190.746459,205620.000,32145,2,PG,1,100,9391
1760380190.786126,205659.667,32164,3,PG,1,100,9403
1760380190.825793,205699.333,32164,3,PG,1,100,9411
1760380190.865460,205739.000,32164,3,PG,1,100,9399
1760380190.905794,205779.333,32181,3,PG,1,100,9412
1760380190.946128,205819.667,32181,3,PG,1,100,9419
1760380190.986461,205860.000,32181,3,PG,1,100,9418
1760380191.025962,205899.500,32195,2,PG,1,100,9421
1760380191.065462,205939.000,32195,2,PG,1,100,9427
1760380191.105463,205979.000,32213,3,PG,1,100,9421
1760380191.145463,206019.000,32213,3,PG,1,100,9430
1760380191.185463,206059.000,32213,3,PG,1,100,9418
1760380191.225464,206099.000,32229,2,PG,1,100,9425
1760380191.265464,206139.000,32229,2,PG,1,100,9411
1760380191.305465,206179.000,32248,3,PG,1,100,9424
1760380191.345465,206219.000,32248,3,PG,1,100,9410
1760380191.385466,206259.000,32248,3,PG,1,100,9421
1760380191.425466,206299.000,32268,2,PG,1,100,9418
1760380191.465466,206339.000,32268,2,PG,1,100,9428
1760380191.505467,206379.000,32285,3,PG,1,100,9427
1760380191.545468,206419.000,32285,3,PG,1,100,9421
1760380191.585468,206459.000,32285,3,PG,1,100,9429
1760380191.625468,206499.000,32301,2,PG,1,100,9430
1760380191.665469,206539.000,32301,2,PG,1,100,9433
1760380191.705469,206579.000,32320,3,PG,1,100,9432
1760380191.745470,206619.000,32320,3,PG,1,100,9421
1760380191.785470,206659.000,32320,3,PG,1,100,9436
1760380191.825471,206699.000,32335,2,PG,1,100,9423
1760380191.865471,206739.000,32335,2,PG,1,100,9428
1760380191.905472,206779.000,32352,3,PG,1,100,9441
1760380191.945472,206819.000,32352,3,PG,1,100,9445
1760380191.985472,206859.000,32352,3,PG,1,100,9424
1760380192.025473,206899.000,32370,3,PG,1,100,9429
1760380192.065473,206939.000,32370,3,PG,1,100,9444
1760380192.105474,206979.000,32370,3,PG,1,100,9429
1760380192.145474,207019.000,32388,2,PG,1,100,9451
1760380192.185475,207059.000,32388,2,PG,1,100,9431
1760380192.225475,207099.000,32405,3,PG,1,100,9444
1760380192.265476,207139.000,32405,3,PG,1,100,9447
1760380192.305476,207179.000,32405,3,PG,1,100,9455
1760380192.345476,207219.000,32423,2,PG,1,100,9444
1760380192.385477,207259.000,32423,2,PG,1,100,9446
1760380192.425477,207299.000,32440,3,PG,1,100,9447
1760380192.465478,207339.000,32440,3,PG,1,100,9447
1760380192.505478,207379.000,32440,3,PG,1,100,9450
1760380192.545479,207419.000,32457,2,PG,1,100,9448
1760380192.585479,207459.000,32457,2,PG,1,100,9449
1760380192.625479,207499.000,32475,3,PG,1,100,9443
1760380192.665480,207539.000,32475,3,PG,1,100,9429
1760380192.705480,207579.000,32475,3,PG,1,100,9432
1760380192.745481,207619.000,32491,2,PG,1,100,9441
1760380192.785481,207659.000,32491,2,PG,1,100,9433
1760380192.825482,207699.000,32509,3,PG,1,100,9446
1760380192.865482,207739.000,32509,3,PG,1,100,9452
1760380192.905483,207779.000,32509,3,PG,1,100,9456
1760380192.945483,207819.000,32528,2,PG,1,100,9460
1760380192.985483,207859.000,32528,2,PG,1,100,9455
1760380193.025484,207899.000,32544,3,PG,1,100,9459
1760380193.065484,207939.000,32544,3,PG,1,100,9462
1760380193.105485,207979.000,32544,3,PG,1,100,9465
1760380193.145485,208019.000,32560,2,PG,1,100,9471
1760380193.185486,208059.000,32560,2,PG,1,100,9484
1760380193.225486,208099.000,32576,3,PG,1,100,9473
1760380193.265486,208139.000,32576,3,PG,1,100,9477
1760380193.305487,208179.000,32576,3,PG,1,100,9473
1760380193.345487,208219.000,32593,3,PG,1,100,9461
1760380193.385488,208259.000,32593,3,PG,1,100,9449
1760380193.425488,208299.000,32593,3,PG,1,100,9464
1760380193.465489,208339.000,32610,2,PG,1,100,9466
1760380193.505489,208379.000,32610,2,PG,1,100,9463
1760380193.545490,208419.000,32625,3,PG,1,100,9462
1760380193.585490,208459.000,32625,3,PG,1,100,9461
1760380193.625490,208499.000,32625,3,PG,1,100,9453
1760380193.665491,208539.000,32641,2,PG,1,100,9448
1760380193.705491,208579.000,32641,2,PG,1,100,9468
1760380193.745492,208619.000,32661,3,PG,1,100,9449
1760380193.785492,208659.000,32661,3,PG,1,100,9457
1760380193.825493,208699.000,32661,3,PG,1,100,9467
1760380193.865493,208739.000,32679,2,PG,1,100,9465
1760380193.905493,208779.000,32679,2,PG,1,100,9483
1760380193.945494,208819.000,32694,3,PG,1,100,9462
1760380193.985494,208859.000,32694,3,PG,1,100,9494
1760380194.025495,208899.000,32694,3,PG,1,100,9486
1760380194.065495,208939.000,32710,2,PG,1,100,9497
1760380194.105496,208979.000,32710,2,PG,1,100,9478
1760380194.145496,209019.000,32728,3,PG,1,100,9487
1760380194.185497,209059.000,32728,3,PG,1,100,9479
1760380194.225497,209099.000,32728,3,PG,1,100,9470
1760380194.265498,209139.000,32744,2,PG,1,100,9466
1760380194.305498,209179.000,32744,2,PG,1,100,9467
1760380194.345499,209219.000,32760,3,PG,1,100,9455
1760380194.385499,209259.000,32760,3,PG,1,100,9461
1760380194.425499,209299.000,32760,3,PG,1,100,9457
1760380194.465500,209339.000,32778,2,PG,1,100,9471
1760380194.505500,209379.000,32778,2,PG,1,100,9463
1760380194.545501,209419.000,32795,3,PG,1,100,9463
1760380194.585501,209459.000,32795,3,PG,1,100,9461
1760380194.625502,209499.000,32795,3,PG,1,100,9469
1760380194.665502,209539.000,32813,2,PG,1,100,9483
1760380194.705503,209579.000,32813,2,PG,1,100,9470
1760380194.745503,209619.000,32832,3,PG,1,100,9492
1760380194.785503,209659.000,32832,3,PG,1,100,9489
1760380194.825504,209699.000,32832,3,PG,1,100,9479
1760380194.865504,209739.000,32847,2,PG,1,100,9460
1760380194.905505,209779.000,32847,2,PG,1,100,9468
1760380194.945505,209819.000,32864,3,PG,1,100,9450
1760380194.985506,209859.000,32864,3,PG,1,100,9443
