LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1760380186.306410,201180.000,31406,1,PI,1,100,167609
1760380186.346410,201220.000,31414,2,PI,1,100,167605
1760380186.386410,201260.000,31414,2,PI,1,100,167625
1760380186.426411,201300.000,31432,3,PI,1,100,167622
1760380186.466411,201340.000,31432,3,PI,1,100,167620
1760380186.506412,201380.000,31432,3,PI,1,100,167630
1760380186.546412,201420.000,31448,2,PI,1,100,167611
1760380186.586413,201460.000,31448,2,PI,1,100,167626
1760380186.626413,201500.000,31465,3,PI,1,100,167654
1760380186.666414,201540.000,31465,3,PI,1,100,167680
1760380186.706414,201580.000,31465,3,PI,1,100,167663
1760380186.746414,201620.000,31480,2,PI,1,100,167688
1760380186.786415,201660.000,31480,2,PI,1,100,167696
1760380186.826415,201700.000,31497,3,PI,1,100,167685
1760380186.866416,201740.000,31497,3,PI,1,100,167687
1760380186.906416,201780.000,31497,3,PI,1,100,167682
1760380186.946417,201820.000,31513,3,PI,1,100,167673
1760380186.986417,201860.000,31513,3,PI,1,100,167674
1760380187.026417,201900.000,31513,3,PI,1,100,167678
1760380187.066418,201940.000,31530,2,PI,1,100,167657
1760380187.106418,201980.000,31530,2,PI,1,100,167670
1760380187.146419,202020.000,31551,3,PI,1,100,167676
1760380187.186419,202060.000,31551,3,PI,1,100,167674
1760380187.226420,202100.000,31551,3,PI,1,100,167692
1760380187.266420,202140.000,31568,2,PI,1,100,167698
1760380187.306421,202180.000,31568,2,PI,1,100,167701
1760380187.346421,202220.000,31586,3,PI,1,100,167697
1760380187.386421,202260.000,31586,3,PI,1,100,167707
1760380187.426422,202300.000,31586,3,PI,1,100,167716
1760380187.466422,202340.000,31604,2,PI,1,100,167714
1760380187.506423,202380.000,31604,2,PI,1,100,167739
1760380187.546423,202420.000,31618,3,PI,1,100,167740
1760380187.586424,202460.000,31618,3,PI,1,100,167733
1760380187.626424,202500.000,31618,3,PI,1,100,167722
1760380187.666425,202540.000,31635,2,PI,1,100,167705
1760380187.706425,202580.000,31635,2,PI,1,100,167700
1760380187.746425,202620.000,31654,3,PI,1,100,167703
1760380187.786426,202660.000,31654,3,PI,1,100,167709
1760380187.826426,202700.000,31654,3,PI,1,100,167711
1760380187.866427,202740.000,31673,2,PI,1,100,167728
1760380187.906427,202780.000,31673,2,PI,1,100,167730
1760380187.946428,202820.000,31688,3,PI,1,100,167730
1760380187.986428,202860.000,31688,3,PI,1,100,167736
1760380188.026429,202900.000,31688,3,PI,1,100,167734
1760380188.066429,202940.000,31704,2,PI,1,100,167743
1760380188.106430,202980.000,31704,2,PI,1,100,167760
1760380188.146430,203020.000,31721,3,PI,1,100,167760
1760380188.186430,203060.000,31721,3,PI,1,100,167760
1760380188.226431,203100.000,31721,3,PI,1,100,167778
1760380188.266431,203140.000,31738,3,PI,1,100,167754
1760380188.306432,203180.000,31738,3,PI,1,100,167752
1760380188.346432,203220.000,31738,3,PI,1,100,167757
1760380188.386433,203260.000,31756,2,PI,1,100,167744
1760380188.426433,203300.000,31756,2,PI,1,100,167741
1760380188.466434,203340.000,31774,3,PI,1,100,167760
1760380188.506434,203380.000,31774,3,PI,1,100,167774
1760380188.546434,203420.000,31774,3,PI,1,100,167777
1760380188.586435,203460.000,31790,2,PI,1,100,167788
1760380188.626435,203500.000,31790,2,PI,1,100,167796
1760380188.666436,203540.000,31807,3,PI,1,100,167771
1760380188.706436,203580.000,31807,3,PI,1,100,167802
1760380188.746437,203620.000,31807,3,PI,1,100,167796
1760380188.786437,203660.000,31824,2,PI,1,100,167815
1760380188.826437,203700.000,31824,2,PI,1,100,167816
1760380188.866438,203740.000,31841,3,PI,1,100,167815
1760380188.906438,203780.000,31841,3,PI,1,100,167806
1760380188.946439,203820.000,31841,3,PI,1,100,167802
1760380188.986439,203860.000,31857,2,PI,1,100,167796
1760380189.026440,203900.000,31857,2,PI,1,100,167791
1760380189.066440,203940.000,31875,3,PI,1,100,167805
1760380189.106441,203980.000,31875,3,PI,1,100,167803
1760380189.146441,204020.000,31875,3,PI,1,100,167795
1760380189.185941,204059.500,31891,2,PI,1,100,167811
1760380189.225442,204099.000,31891,2,PI,1,100,167818
1760380189.265776,204139.333,31908,3,PI,1,100,167810
1760380189.306109,204179.667,31908,3,PI,1,100,167816
1760380189.346443,204220.000,31908,3,PI,1,100,167829
1760380189.386110,204259.667,31924,3,PI,1,100,167843
1760380189.425777,204299.333,31924,3,PI,1,100,167841
1760380189.465445,204339.000,31924,3,PI,1,100,167841
1760380189.505445,204379.000,31942,2,PI,1,100,167865
1760380189.545445,204419.000,31942,2,PI,1,100,167852
1760380189.585446,204459.000,31960,3,PI,1,100,167835
1760380189.625446,204499.000,31960,3,PI,1,100,167836
1760380189.665447,204539.000,31960,3,PI,1,100,167837
1760380189.705447,204579.000,31975,2,PI,1,100,167824
1760380189.745448,204619.000,31975,2,PI,1,100,167827
1760380189.785448,204659.000,31992,3,PI,1,100,167821
1760380189.825449,204699.000,31992,3,PI,1,100,167841
1760380189.865449,204739.000,31992,3,PI,1,100,167827
1760380189.905949,204779.500,32011,2,PI,1,100,167834
1760380189.946450,204820.000,32011,2,PI,1,100,167831
1760380189.986117,204859.667,32027,3,PI,1,100,167835
1760380190.025784,204899.333,32027,3,PI,1,100,167830
1760380190.065451,204939.000,32027,3,PI,1,100,167850
1760380190.105452,204979.000,32044,2,PI,1,100,167862
1760380190.145452,205019.000,32044,2,PI,1,100,167864
1760380190.185452,205059.000,32059,3,PI,1,100,167883
1760380190.225453,205099.000,32059,3,PI,1,100,167881
1760380190.265453,205139.000,32059,3,PI,1,100,167891
1760380190.305954,205179.500,32076,2,PI,1,100,167879
1760380190.346454,205220.000,32076,2,PI,1,100,167874
1760380190.386121,205259.667,32095,3,PI,1,100,167867
1760380190.425788,205299.333,32095,3,PI,1,100,167860
1760380190.465456,205339.000,32095,3,PI,1,100,167847
1760380190.505456,205379.000,32112,2,PI,1,100,167851
1760380190.545456,205419.000,32112,2,PI,1,100,167849
1760380190.585457,205459.000,32126,3,PI,1,100,167864
1760380190.625457,205499.000,32126,3,PI,1,100,167839
1760380190.665458,205539.000,32126,3,PI,1,100,167822
1760380190.705958,205579.500,32143,2,PI,1,100,167835
1760380190.746459,205620.000,32143,2,PI,1,100,167837
1760380190.786126,205659.667,32162,3,PI,1,100,167822
1760380190.825793,205699.333,32162,3,PI,1,100,167811
1760380190.865460,205739.000,32162,3,PI,1,100,167817
1760380190.905794,205779.333,32179,3,PI,1,100,167792
1760380190.946128,205819.667,32179,3,PI,1,100,167810
1760380190.986461,205860.000,32179,3,PI,1,100,167798
1760380191.025962,205899.500,32193,2,PI,1,100,167822
1760380191.065462,205939.000,32193,2,PI,1,100,167809
1760380191.105463,205979.000,32211,3,PI,1,100,167815
1760380191.145463,206019.000,32211,3,PI,1,100,167802
1760380191.185463,206059.000,32211,3,PI,1,100,167791
1760380191.225464,206099.000,32227,2,PI,1,100,167807
1760380191.265464,206139.000,32227,2,PI,1,100,167824
1760380191.305465,206179.000,32246,3,PI,1,100,167830
1760380191.345465,206219.000,32246,3,PI,1,100,167829
1760380191.385466,206259.000,32246,3,PI,1,100,167855
1760380191.425466,206299.000,32266,2,PI,1,100,167847
1760380191.465466,206339.000,32266,2,PI,1,100,167862
1760380191.505467,206379.000,32283,3,PI,1,100,167872
1760380191.545468,206419.000,32283,3,PI,1,100,167879
1760380191.585468,206459.000,32283,3,PI,1,100,167879
