LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1760380186.306410,201180.000,31407,1,PR,1,100,124256
1760380186.346410,201220.000,31415,2,PR,1,100,124248
1760380186.386410,201260.000,31415,2,PR,1,100,124257
1760380186.426411,201300.000,31433,3,PR,1,100,124253
1760380186.466411,201340.000,31433,3,PR,1,100,124270
1760380186.506412,201380.000,31433,3,PR,1,100,124256
1760380186.546412,201420.000,31449,2,PR,1,100,124265
1760380186.586413,201460.000,31449,2,PR,1,100,124264
1760380186.626413,201500.000,31466,3,PR,1,100,124281
1760380186.666414,201540.000,31466,3,PR,1,100,124264
1760380186.706414,201580.000,31466,3,PR,1,100,124282
1760380186.746414,201620.000,31481,2,PR,1,100,124285
1760380186.786415,201660.000,31481,2,PR,1,100,124294
1760380186.826415,201700.000,31498,3,PR,1,100,124295
1760380186.866416,201740.000,31498,3,PR,1,100,124289
1760380186.906416,201780.000,31498,3,PR,1,100,124288
1760380186.946417,201820.000,31514,3,PR,1,100,124279
1760380186.986417,201860.000,31514,3,PR,1,100,124281
1760380187.026417,201900.000,31514,3,PR,1,100,124272
1760380187.066418,201940.000,31531,2,PR,1,100,124267
1760380187.106418,201980.000,31531,2,PR,1,100,124268
1760380187.146419,202020.000,31552,3,PR,1,100,124282
1760380187.186419,202060.000,31552,3,PR,1,100,124301
1760380187.226420,202100.000,31552,3,PR,1,100,124272
1760380187.266420,202140.000,31569,2,PR,1,100,124303
1760380187.306421,202180.000,31569,2,PR,1,100,124305
1760380187.346421,202220.000,31587,3,PR,1,100,124304
1760380187.386421,202260.000,31587,3,PR,1,100,124312
1760380187.426422,202300.000,31587,3,PR,1,100,124299
1760380187.466422,202340.000,31605,2,PR,1,100,124303
1760380187.506423,202380.000,31605,2,PR,1,100,124298
1760380187.546423,202420.000,31619,3,PR,1,100,124312
1760380187.586424,202460.000,31619,3,PR,1,100,124302
1760380187.626424,202500.000,31619,3,PR,1,100,124296
1760380187.666425,202540.000,31636,2,PR,1,100,124301
1760380187.706425,202580.000,31636,2,PR,1,100,124304
1760380187.746425,202620.000,31655,3,PR,1,100,124310
1760380187.786426,202660.000,31655,3,PR,1,100,124308
1760380187.826426,202700.000,31655,3,PR,1,100,124297
1760380187.866427,202740.000,31674,2,PR,1,100,124290
1760380187.906427,202780.000,31674,2,PR,1,100,124307
1760380187.946428,202820.000,31689,3,PR,1,100,124298
1760380187.986428,202860.000,31689,3,PR,1,100,124310
1760380188.026429,202900.000,31689,3,PR,1,100,124289
1760380188.066429,202940.000,31705,2,PR,1,100,124313
1760380188.106430,202980.000,31705,2,PR,1,100,124317
1760380188.146430,203020.000,31722,3,PR,1,100,124308
1760380188.186430,203060.000,31722,3,PR,1,100,124307
1760380188.226431,203100.000,31722,3,PR,1,100,124319
1760380188.266431,203140.000,31739,3,PR,1,100,124312
1760380188.306432,203180.000,31739,3,PR,1,100,124306
1760380188.346432,203220.000,31739,3,PR,1,100,124310
1760380188.386433,203260.000,31757,2,PR,1,100,124320
1760380188.426433,203300.000,31757,2,PR,1,100,124322
1760380188.466434,203340.000,31775,3,PR,1,100,124321
1760380188.506434,203380.000,31775,3,PR,1,100,124316
1760380188.546434,203420.000,31775,3,PR,1,100,124311
1760380188.586435,203460.000,31791,2,PR,1,100,124315
1760380188.626435,203500.000,31791,2,PR,1,100,124325
1760380188.666436,203540.000,31808,3,PR,1,100,124314
1760380188.706436,203580.000,31808,3,PR,1,100,124330
1760380188.746437,203620.000,31808,3,PR,1,100,124328
1760380188.786437,203660.000,31825,2,PR,1,100,124314
1760380188.826437,203700.000,31825,2,PR,1,100,124310
1760380188.866438,203740.000,31842,3,PR,1,100,124331
1760380188.906438,203780.000,31842,3,PR,1,100,124327
1760380188.946439,203820.000,31842,3,PR,1,100,124313
1760380188.986439,203860.000,31858,2,PR,1,100,124323
1760380189.026440,203900.000,31858,2,PR,1,100,124315
1760380189.066440,203940.000,31876,3,PR,1,100,124315
1760380189.106441,203980.000,31876,3,PR,1,100,124336
1760380189.146441,204020.000,31876,3,PR,1,100,124307
1760380189.185941,204059.500,31892,2,PR,1,100,124330
1760380189.225442,204099.000,31892,2,PR,1,100,124329
1760380189.265776,204139.333,31909,3,PR,1,100,124320
1760380189.306109,204179.667,31909,3,PR,1,100,124338
1760380189.346443,204220.000,31909,3,PR,1,100,124333
1760380189.386110,204259.667,31925,3,PR,1,100,124334
1760380189.425777,204299.333,31925,3,PR,1,100,124333
1760380189.465445,204339.000,31925,3,PR,1,100,124338
1760380189.505445,204379.000,31943,2,PR,1,100,124342
1760380189.545445,204419.000,31943,2,PR,1,100,124347
1760380189.585446,204459.000,31961,3,PR,1,100,124334
