LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1760380186.333410,201207,31411,2,RD,1,100,TL,TU
1760380191.441466,206315,32262,2,RD,1,100,TL,TU
1760380196.548523,211422,33113,2,RD,1,100,TL,TU
1760380201.673579,216547,33971,2,RD,1,100,TL,TU
1760380206.801636,221675,34820,2,RD,1,100,TL,TU
1760380211.925693,226799,35678,2,RD,1,100,TL,TU
1760380217.052750,231926,36532,2,RD,1,100,TL,TU
1760380222.173806,237047,37381,2,RD,1,100,TL,TU
1760380227.296863,242170,38237,2,RD,1,100,TL,TU
1760380232.412919,247286,39091,2,RD,1,100,TL,TU
1760380237.544976,252418,39941,2,RD,1,100,TL,TU
1760380242.666033,257539,40800,2,RD,1,100,TL,TU
1760380247.783089,262656,41655,2,RD,1,100,TL,TU
1760380252.907146,267780,42512,2,RD,1,100,TL,TU
1760380258.030203,272903,43367,2,RD,1,100,TL,TU
1760380263.158259,278031,44212,2,RD,1,100,TL,TU
1760380268.276316,283149,45069,2,RD,1,100,TL,TU
1760380273.394372,288267,45920,2,RD,1,100,TL,TU
1760380278.518429,293391,46776,2,RD,1,100,TL,TU
1760380283.626486,298499,47633,2,RD,1,100,TL,TU
1760380288.753542,303626,48486,2,RD,1,100,TL,TU
1760380293.870599,308743,49341,2,RD,1,100,TL,TU
1760380298.981655,313854,50192,2,RD,1,100,TL,TU
1760380304.100712,318973,51048,2,RD,1,100,TL,TU
1760380309.209769,324082,51902,2,RD,1,100,TL,TU
1760380314.344825,329217,52745,2,RD,1,100,TL,TU
1760380319.473882,334346,53588,2,RD,1,100,TL,TU
