LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1760380186.478411,201352.000,31431,1,SF,1,100,102.9152
1760380186.811415,201685.000,31479,1,SF,1,100,101.7247
1760380187.211420,202085.000,31550,1,SF,1,100,102.6302
1760380187.478423,202352.000,31603,1,SF,1,100,103.5252
1760380187.811426,202685.000,31653,1,SF,1,100,104.4099
1760380188.211431,203085.000,31720,1,SF,1,100,103.2021
1760380188.544434,203418.000,31773,1,SF,1,100,104.0905
1760380188.811437,203685.000,31823,1,SF,1,100,102.8864
1760380189.144441,204018.000,31874,1,SF,1,100,103.7784
1760380189.544445,204418.000,31941,1,SF,1,100,104.6601
1760380189.811448,204685.000,31991,1,SF,1,100,105.5317
1760380190.144452,205018.000,32043,1,SF,1,100,104.3109
1760380190.477456,205351.000,32094,1,SF,1,100,105.1865
1760380190.877460,205751.000,32159,1,SF,1,100,103.9697
1760380191.144463,206018.000,32210,1,SF,1,100,104.8492
1760380191.477467,206351.000,32265,1,SF,1,100,103.6363
1760380191.877471,206751.000,32332,1,SF,1,100,104.5197
1760380192.144474,207018.000,32385,1,SF,1,100,105.3928
1760380192.477478,207351.000,32437,1,SF,1,100,106.2559
1760380192.810482,207684.000,32488,1,SF,1,100,107.1090
1760380193.210486,208084.000,32557,1,SF,1,100,107.9522
1760380193.477489,208351.000,32607,1,SF,1,100,106.7034
1760380193.810493,208684.000,32658,1,SF,1,100,105.4690
1760380194.210497,209084.000,32725,1,SF,1,100,106.3312
1760380194.477500,209351.000,32775,1,SF,1,100,107.1834
1760380194.810503,209684.000,32829,1,SF,1,100,108.0258
1760380195.144507,210018.000,32878,1,SF,1,100,106.7761
1760380195.544512,210418.000,32945,1,SF,1,100,105.5409
1760380195.810515,210684.000,32996,1,SF,1,100,106.4023
1760380196.143518,211017.000,33046,1,SF,1,100,105.1714
1760380196.610523,211484.000,33117,1,SF,1,100,103.9548
1760380196.810526,211684.000,33155,1,SF,1,100,104.8345
1760380197.143529,212017.000,33205,1,SF,1,100,105.7040
1760380197.543534,212417.000,33274,1,SF,1,100,106.5635
1760380197.810537,212684.000,33325,1,SF,1,100,105.3307
1760380198.143540,213017.000,33377,1,SF,1,100,106.1945
1760380198.477544,213351.000,33430,1,SF,1,100,107.0483
1760380198.877548,213751.000,33497,1,SF,1,100,107.8922
1760380199.143552,214017.000,33547,1,SF,1,100,108.7263
1760380199.477555,214351.000,33600,1,SF,1,100,111.6331
1760380199.877560,214751.000,33668,1,SF,1,100,112.4240
1760380200.210563,215084.000,33717,1,SF,1,100,111.1234
1760380200.476566,215350.000,33768,1,SF,1,100,111.9202
1760380200.810570,215684.000,33818,1,SF,1,100,110.6255
1760380201.210574,216084.000,33885,1,SF,1,100,111.4280
1760380201.476577,216350.000,33938,1,SF,1,100,112.2213
1760380201.876582,216750.000,33991,1,SF,1,100,110.9231
1760380202.143585,217017.000,34044,1,SF,1,100,111.7222
1760380202.476588,217350.000,34096,1,SF,1,100,112.5120
1760380202.876593,217750.000,34163,1,SF,1,100,111.2105
1760380203.143596,218017.000,34212,1,SF,1,100,109.9240
1760380203.476599,218350.000,34265,1,SF,1,100,110.7346
1760380203.876604,218750.000,34330,1,SF,1,100,109.4536
1760380204.209608,219083.000,34382,1,SF,1,100,110.2697
1760380204.476610,219350.000,34432,1,SF,1,100,111.0764
1760380204.809614,219683.000,34481,1,SF,1,100,109.7914
1760380205.209619,220083.000,34548,1,SF,1,100,110.6036
1760380205.476622,220350.000,34602,1,SF,1,100,111.4064
1760380205.809625,220683.000,34651,1,SF,1,100,110.1176
1760380206.209630,221083.000,34716,1,SF,1,100,108.8438
1760380206.542633,221416.000,34766,1,SF,1,100,109.6669
1760380206.876637,221750.000,34824,1,SF,1,100,110.4806
1760380207.209641,222083.000,34878,1,SF,1,100,111.2848
1760380207.476644,222350.000,34931,1,SF,1,100,112.0797
1760380207.809647,222683.000,34981,1,SF,1,100,110.7831
1760380208.209652,223083.000,35048,1,SF,1,100,111.5838
1760380208.476655,223350.000,35097,1,SF,1,100,110.2930
1760380208.809658,223683.000,35148,1,SF,1,100,111.0994
1760380209.209663,224083.000,35213,1,SF,1,100,109.8142
1760380209.542666,224416.000,35265,1,SF,1,100,110.6261
1760380209.809669,224683.000,35315,1,SF,1,100,111.4286
1760380210.142673,225016.000,35370,1,SF,1,100,114.3041
1760380210.542678,225416.000,35437,1,SF,1,100,112.9818
1760380210.809680,225683.000,35487,1,SF,1,100,111.6748
1760380211.142684,226016.000,35538,1,SF,1,100,112.4652
1760380211.542689,226416.000,35609,1,SF,1,100,115.3287
1760380211.875692,226749.000,35659,1,SF,1,100,116.0769
1760380212.209696,227083.000,35719,1,SF,1,100,114.7341
1760380212.475699,227349.000,35767,1,SF,1,100,113.4068
1760380212.808703,227682.000,35819,1,SF,1,100,114.1772
1760380213.142706,228016.000,35870,1,SF,1,100,112.8564
1760380213.542711,228416.000,35937,1,SF,1,100,113.6331
1760380213.808714,228682.000,35990,1,SF,1,100,114.4008
1760380214.142717,229016.000,36040,1,SF,1,100,115.1597
