LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1760380186.352410,201226.000,31420,1,TH,1,100,30.790
1760380186.486412,201360.000,31438,1,TH,1,100,30.814
1760380186.619413,201493.000,31454,1,TH,1,100,30.821
1760380186.752414,201626.000,31486,1,TH,1,100,30.799
1760380186.886416,201760.000,31503,1,TH,1,100,30.792
1760380187.019418,201893.000,31519,1,TH,1,100,30.816
1760380187.153419,202027.000,31557,1,TH,1,100,30.824
1760380187.286420,202160.000,31574,1,TH,1,100,30.743
1760380187.419422,202293.000,31592,1,TH,1,100,30.743
1760380187.552423,202426.000,31624,1,TH,1,100,30.767
1760380187.686425,202560.000,31641,1,TH,1,100,30.767
1760380187.819426,202693.000,31660,1,TH,1,100,30.838
1760380187.952428,202826.000,31693,1,TH,1,100,30.838
1760380188.086429,202960.000,31710,1,TH,1,100,30.806
1760380188.219431,203093.000,31727,1,TH,1,100,30.806
1760380188.352432,203226.000,31744,1,TH,1,100,30.821
1760380188.486434,203360.000,31780,1,TH,1,100,30.828
1760380188.619435,203493.000,31796,1,TH,1,100,30.760
1760380188.752437,203626.000,31813,1,TH,1,100,30.760
1760380188.886438,203760.000,31847,1,TH,1,100,30.777
1760380189.019439,203893.000,31863,1,TH,1,100,30.777
1760380189.152441,204026.000,31881,1,TH,1,100,30.796
1760380189.286443,204160.000,31914,1,TH,1,100,30.796
1760380189.419444,204293.000,31930,1,TH,1,100,30.791
1760380189.552445,204426.000,31948,1,TH,1,100,30.791
1760380189.686447,204560.000,31981,1,TH,1,100,30.813
1760380189.819448,204693.000,31998,1,TH,1,100,30.820
1760380189.952450,204826.000,32017,1,TH,1,100,30.845
1760380190.085451,204959.000,32049,1,TH,1,100,30.845
1760380190.219453,205093.000,32065,1,TH,1,100,30.766
1760380190.352454,205226.000,32082,1,TH,1,100,30.766
1760380190.485456,205359.000,32101,1,TH,1,100,30.801
1760380190.619457,205493.000,32132,1,TH,1,100,30.801
1760380190.752459,205626.000,32149,1,TH,1,100,30.776
1760380190.885460,205759.000,32168,1,TH,1,100,30.776
1760380191.019462,205893.000,32199,1,TH,1,100,30.781
1760380191.152463,206026.000,32217,1,TH,1,100,30.788
1760380191.285465,206159.000,32233,1,TH,1,100,30.805
1760380191.419466,206293.000,32272,1,TH,1,100,30.805
1760380191.552468,206426.000,32289,1,TH,1,100,30.827
1760380191.685469,206559.000,32305,1,TH,1,100,30.834
1760380191.819471,206693.000,32339,1,TH,1,100,30.844
1760380191.952472,206826.000,32356,1,TH,1,100,30.844
1760380192.085474,206959.000,32374,1,TH,1,100,30.758
1760380192.219475,207093.000,32408,1,TH,1,100,30.758
1760380192.352476,207226.000,32427,1,TH,1,100,30.866
1760380192.485478,207359.000,32444,1,TH,1,100,30.866
1760380192.619479,207493.000,32461,1,TH,1,100,30.905
1760380192.752481,207626.000,32495,1,TH,1,100,30.905
1760380192.885482,207759.000,32513,1,TH,1,100,30.888
1760380193.018484,207892.000,32532,1,TH,1,100,30.895
1760380193.152485,208026.000,32564,1,TH,1,100,30.873
1760380193.285487,208159.000,32580,1,TH,1,100,30.873
1760380193.418488,208292.000,32597,1,TH,1,100,30.898
1760380193.552490,208426.000,32629,1,TH,1,100,30.898
1760380193.685491,208559.000,32645,1,TH,1,100,30.804
1760380193.818493,208692.000,32665,1,TH,1,100,30.811
1760380193.952494,208826.000,32698,1,TH,1,100,30.856
1760380194.085495,208959.000,32714,1,TH,1,100,30.856
1760380194.218497,209092.000,32732,1,TH,1,100,30.870
1760380194.352499,209226.000,32763,1,TH,1,100,30.870
1760380194.485500,209359.000,32782,1,TH,1,100,30.858
1760380194.618501,209492.000,32799,1,TH,1,100,30.858
1760380194.752503,209626.000,32835,1,TH,1,100,30.824
1760380194.885504,209759.000,32851,1,TH,1,100,30.831
1760380195.018506,209892.000,32868,1,TH,1,100,30.892
1760380195.152507,210026.000,32885,1,TH,1,100,30.892
1760380195.285509,210159.000,32918,1,TH,1,100,30.907
1760380195.418510,210292.000,32935,1,TH,1,100,30.907
1760380195.552512,210426.000,32954,1,TH,1,100,30.865
1760380195.685513,210559.000,32985,1,TH,1,100,30.865
1760380195.818515,210692.000,33003,1,TH,1,100,30.855
1760380195.952516,210826.000,33019,1,TH,1,100,30.862
1760380196.085518,210959.000,33053,1,TH,1,100,30.906
1760380196.218519,211092.000,33070,1,TH,1,100,30.906
