LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1760380186.328410,201202,31409,1,TL,1,100,2025-10-13_14-29-41-084546
1760380186.355410,201229,31412,1,TL,1,100,2025-10-13_14-29-46-350630
1760380191.439466,206313,32260,1,TL,1,100,2025-10-13_14-29-46-439827
1760380191.455467,206329,32263,1,TL,1,100,2025-10-13_14-29-51-450607
1760380196.546523,211420,33111,1,TL,1,100,2025-10-13_14-29-51-515960
1760380196.561523,211435,33114,1,TL,1,100,2025-10-13_14-29-56-555023
1760380201.671579,216545,33969,1,TL,1,100,2025-10-13_14-29-56-704071
1760380201.695580,216569,33972,1,TL,1,100,2025-10-13_14-30-01-679104
1760380206.799636,221673,34818,1,TL,1,100,2025-10-13_14-30-01-805019
1760380206.820636,221694,34821,1,TL,1,100,2025-10-13_14-30-06-810216
1760380211.923693,226797,35676,1,TL,1,100,2025-10-13_14-30-06-930488
1760380211.963693,226837,35679,1,TL,1,100,2025-10-13_14-30-11-937520
1760380217.050750,231924,36530,1,TL,1,100,2025-10-13_14-30-12-057671
1760380217.064750,231938,36533,1,TL,1,100,2025-10-13_14-30-17-057970
1760380222.171806,237045,37379,1,TL,1,100,2025-10-13_14-30-17-186527
1760380222.188806,237062,37382,1,TL,1,100,2025-10-13_14-30-22-178526
1760380227.294863,242168,38235,1,TL,1,100,2025-10-13_14-30-22-308188
1760380227.307863,242181,38238,1,TL,1,100,2025-10-13_14-30-27-301177
1760380232.410919,247284,39089,1,TL,1,100,2025-10-13_14-30-27-434972
1760380232.423919,247297,39092,1,TL,1,100,2025-10-13_14-30-32-418736
1760380237.542976,252416,39939,1,TL,1,100,2025-10-13_14-30-32-539935
1760380237.563976,252437,39942,1,TL,1,100,2025-10-13_14-30-37-559145
1760380242.663033,257536,40798,1,TL,1,100,2025-10-13_14-30-37-690782
1760380242.679033,257552,40801,1,TL,1,100,2025-10-13_14-30-42-673666
1760380247.777089,262650,41653,1,TL,1,100,2025-10-13_14-30-42-829574
1760380247.796089,262669,41656,1,TL,1,100,2025-10-13_14-30-47-787719
1760380252.905146,267778,42510,1,TL,1,100,2025-10-13_14-30-47-938811
1760380252.923146,267796,42513,1,TL,1,100,2025-10-13_14-30-52-916661
1760380258.028203,272901,43365,1,TL,1,100,2025-10-13_14-30-53-039672
1760380258.057203,272930,43368,1,TL,1,100,2025-10-13_14-30-58-042770
1760380263.156259,278029,44210,1,TL,1,100,2025-10-13_14-30-58-165457
1760380263.173259,278046,44213,1,TL,1,100,2025-10-13_14-31-03-162452
1760380268.274316,283147,45067,1,TL,1,100,2025-10-13_14-31-03-295563
1760380268.292316,283165,45070,1,TL,1,100,2025-10-13_14-31-08-280829
1760380273.392372,288265,45918,1,TL,1,100,2025-10-13_14-31-08-405088
1760380273.446373,288319,45921,1,TL,1,100,2025-10-13_14-31-13-438563
1760380278.516429,293389,46774,1,TL,1,100,2025-10-13_14-31-13-532217
1760380278.532429,293405,46777,1,TL,1,100,2025-10-13_14-31-18-526729
1760380283.624485,298497,47631,1,TL,1,100,2025-10-13_14-31-18-653079
1760380283.680486,298553,47634,1,TL,1,100,2025-10-13_14-31-23-672332
1760380288.747542,303620,48484,1,TL,1,100,2025-10-13_14-31-23-760770
1760380288.768543,303641,48487,1,TL,1,100,2025-10-13_14-31-28-757626
1760380293.866599,308739,49339,1,TL,1,100,2025-10-13_14-31-28-896285
1760380293.889599,308762,49342,1,TL,1,100,2025-10-13_14-31-33-883983
1760380298.978655,313851,50190,1,TL,1,100,2025-10-13_14-31-34-002136
1760380298.999655,313872,50193,1,TL,1,100,2025-10-13_14-31-38-992723
1760380304.097712,318970,51046,1,TL,1,100,2025-10-13_14-31-39-117470
1760380304.144712,319017,51049,1,TL,1,100,2025-10-13_14-31-44-140039
1760380309.208768,324081,51900,1,TL,1,100,2025-10-13_14-31-44-239466
1760380309.256769,324129,51903,1,TL,1,100,2025-10-13_14-31-49-241908
1760380314.337825,329210,52743,1,TL,1,100,2025-10-13_14-31-49-348474
1760380314.365825,329238,52746,1,TL,1,100,2025-10-13_14-31-54-360549
1760380319.471882,334344,53586,1,TL,1,100,2025-10-13_14-31-54-496313
1760380319.485882,334358,53589,1,TL,1,100,2025-10-13_14-31-59-479882
