RD,TS_received,TS_sent,AK,RoundTrip,
201207,201229,2025-10-13_14-29-46-350630,201235,22,
206315,206329,2025-10-13_14-29-51-450607,206331,14,
211422,211435,2025-10-13_14-29-56-555023,211436,13,
216547,216569,2025-10-13_14-30-01-679104,216571,22,
221675,221694,2025-10-13_14-30-06-810216,221698,19,
226799,226837,2025-10-13_14-30-11-937520,226838,38,
231926,231938,2025-10-13_14-30-17-057970,231940,12,
237047,237062,2025-10-13_14-30-22-178526,237063,15,
242170,242181,2025-10-13_14-30-27-301177,242183,11,
247286,247297,2025-10-13_14-30-32-418736,247298,11,
252418,252437,2025-10-13_14-30-37-559145,252442,19,
257539,257552,2025-10-13_14-30-42-673666,257553,13,
262656,262669,2025-10-13_14-30-47-787719,262670,13,
267780,267796,2025-10-13_14-30-52-916661,267800,16,
272903,272930,2025-10-13_14-30-58-042770,272934,27,
278031,278046,2025-10-13_14-31-03-162452,278047,15,
283149,283165,2025-10-13_14-31-08-280829,283166,16,
288267,288319,2025-10-13_14-31-13-438563,288321,52,
293391,293405,2025-10-13_14-31-18-526729,293406,14,
298499,298553,2025-10-13_14-31-23-672332,298557,54,
303626,303641,2025-10-13_14-31-28-757626,303643,15,
308743,308762,2025-10-13_14-31-33-883983,308764,19,
313854,313872,2025-10-13_14-31-38-992723,313878,18,
318973,319017,2025-10-13_14-31-44-140039,319023,44,
324082,324129,2025-10-13_14-31-49-241908,324130,47,
329217,329238,2025-10-13_14-31-54-360549,329241,21,
334346,334358,2025-10-13_14-31-59-479882,334360,12,
