LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1760380448.015068,462886.000,9258,1,AY,1,100,0.897
1760380448.055065,462926.000,9277,2,AY,1,100,0.957
1760380448.095063,462966.000,9277,2,AY,1,100,0.895
1760380448.135060,463006.000,9294,3,AY,1,100,0.812
1760380448.175058,463046.000,9294,3,AY,1,100,0.835
1760380448.215055,463086.000,9294,3,AY,1,100,0.862
1760380448.255053,463126.000,9310,2,AY,1,100,0.868
1760380448.295051,463166.000,9310,2,AY,1,100,0.805
1760380448.335048,463206.000,9325,3,AY,1,100,0.858
1760380448.375046,463246.000,9325,3,AY,1,100,1.012
1760380448.415043,463286.000,9325,3,AY,1,100,1.030
1760380448.455041,463326.000,9342,3,AY,1,100,1.085
1760380448.495039,463366.000,9342,3,AY,1,100,1.194
1760380448.535036,463406.000,9342,3,AY,1,100,1.108
1760380448.575034,463446.000,9359,2,AY,1,100,0.828
1760380448.615031,463486.000,9359,2,AY,1,100,0.859
1760380448.655029,463526.000,9375,3,AY,1,100,1.008
1760380448.695026,463566.000,9375,3,AY,1,100,1.052
1760380448.735024,463606.000,9375,3,AY,1,100,0.958
1760380448.775022,463646.000,9391,2,AY,1,100,0.865
1760380448.815019,463686.000,9391,2,AY,1,100,0.846
1760380448.855017,463726.000,9409,3,AY,1,100,0.863
1760380448.895014,463766.000,9409,3,AY,1,100,0.892
1760380448.935012,463806.000,9409,3,AY,1,100,0.867
1760380448.975009,463846.000,9426,2,AY,1,100,0.886
1760380449.015007,463886.000,9426,2,AY,1,100,0.944
1760380449.055005,463926.000,9443,3,AY,1,100,1.000
1760380449.095002,463966.000,9443,3,AY,1,100,1.058
1760380449.135000,464006.000,9443,3,AY,1,100,1.031
1760380449.174998,464046.000,9458,2,AY,1,100,1.146
1760380449.214995,464086.000,9458,2,AY,1,100,1.043
1760380449.254993,464126.000,9474,3,AY,1,100,0.736
1760380449.294990,464166.000,9474,3,AY,1,100,0.875
1760380449.334988,464206.000,9474,3,AY,1,100,1.030
1760380449.370652,464241.667,9491,3,AY,1,100,0.974
1760380449.406317,464277.333,9491,3,AY,1,100,0.842
1760380449.441981,464313.000,9491,3,AY,1,100,0.788
1760380449.481979,464353.000,9508,2,AY,1,100,0.795
1760380449.521976,464393.000,9508,2,AY,1,100,0.829
1760380449.561974,464433.000,9524,3,AY,1,100,0.854
1760380449.601972,464473.000,9524,3,AY,1,100,0.866
1760380449.641969,464513.000,9524,3,AY,1,100,0.891
1760380449.681967,464553.000,9539,2,AY,1,100,0.954
1760380449.721964,464593.000,9539,2,AY,1,100,1.009
1760380449.761962,464633.000,9557,3,AY,1,100,1.133
1760380449.801960,464673.000,9557,3,AY,1,100,1.262
1760380449.841957,464713.000,9557,3,AY,1,100,1.038
1760380449.881955,464753.000,9573,2,AY,1,100,0.729
1760380449.921952,464793.000,9573,2,AY,1,100,0.887
1760380449.961950,464833.000,9589,3,AY,1,100,1.061
1760380450.001947,464873.000,9589,3,AY,1,100,1.019
1760380450.041945,464913.000,9589,3,AY,1,100,0.922
1760380450.081943,464953.000,9607,2,AY,1,100,0.839
1760380450.121940,464993.000,9607,2,AY,1,100,0.833
1760380450.161938,465033.000,9624,3,AY,1,100,0.843
1760380450.201935,465073.000,9624,3,AY,1,100,0.849
1760380450.241933,465113.000,9624,3,AY,1,100,0.830
1760380450.281931,465153.000,9640,2,AY,1,100,0.880
1760380450.321928,465193.000,9640,2,AY,1,100,0.984
1760380450.361926,465233.000,9658,3,AY,1,100,0.991
1760380450.401923,465273.000,9658,3,AY,1,100,1.094
1760380450.441921,465313.000,9658,3,AY,1,100,1.303
1760380450.481919,465353.000,9672,2,AY,1,100,1.132
1760380450.521916,465393.000,9672,2,AY,1,100,0.667
1760380450.561914,465433.000,9689,3,AY,1,100,0.780
1760380450.601911,465473.000,9689,3,AY,1,100,1.035
1760380450.641909,465513.000,9689,3,AY,1,100,1.040
