LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1760380448.015068,462886.000,9259,1,AZ,1,100,0.036
1760380448.055065,462926.000,9278,2,AZ,1,100,0.116
1760380448.095063,462966.000,9278,2,AZ,1,100,0.103
1760380448.135060,463006.000,9295,3,AZ,1,100,0.225
1760380448.175058,463046.000,9295,3,AZ,1,100,0.272
1760380448.215055,463086.000,9295,3,AZ,1,100,0.293
1760380448.255053,463126.000,9311,2,AZ,1,100,0.293
1760380448.295051,463166.000,9311,2,AZ,1,100,0.253
1760380448.335048,463206.000,9326,3,AZ,1,100,0.286
1760380448.375046,463246.000,9326,3,AZ,1,100,0.236
1760380448.415043,463286.000,9326,3,AZ,1,100,0.188
1760380448.455041,463326.000,9343,3,AZ,1,100,0.270
1760380448.495039,463366.000,9343,3,AZ,1,100,0.273
1760380448.535036,463406.000,9343,3,AZ,1,100,0.237
1760380448.575034,463446.000,9360,2,AZ,1,100,0.187
1760380448.615031,463486.000,9360,2,AZ,1,100,0.111
1760380448.655029,463526.000,9376,3,AZ,1,100,0.046
1760380448.695026,463566.000,9376,3,AZ,1,100,0.052
1760380448.735024,463606.000,9376,3,AZ,1,100,0.096
1760380448.775022,463646.000,9392,2,AZ,1,100,0.133
1760380448.815019,463686.000,9392,2,AZ,1,100,0.138
1760380448.855017,463726.000,9410,3,AZ,1,100,0.148
1760380448.895014,463766.000,9410,3,AZ,1,100,0.156
1760380448.935012,463806.000,9410,3,AZ,1,100,0.166
1760380448.975009,463846.000,9427,2,AZ,1,100,0.210
1760380449.015007,463886.000,9427,2,AZ,1,100,0.242
1760380449.055005,463926.000,9444,3,AZ,1,100,0.263
1760380449.095002,463966.000,9444,3,AZ,1,100,0.258
1760380449.135000,464006.000,9444,3,AZ,1,100,0.238
1760380449.174998,464046.000,9459,2,AZ,1,100,0.205
1760380449.214995,464086.000,9459,2,AZ,1,100,0.098
1760380449.254993,464126.000,9475,3,AZ,1,100,0.139
1760380449.294990,464166.000,9475,3,AZ,1,100,0.052
1760380449.334988,464206.000,9475,3,AZ,1,100,0.070
1760380449.370652,464241.667,9492,3,AZ,1,100,0.178
1760380449.406317,464277.333,9492,3,AZ,1,100,0.250
1760380449.441981,464313.000,9492,3,AZ,1,100,0.271
1760380449.481979,464353.000,9509,2,AZ,1,100,0.241
1760380449.521976,464393.000,9509,2,AZ,1,100,0.268
1760380449.561974,464433.000,9525,3,AZ,1,100,0.271
1760380449.601972,464473.000,9525,3,AZ,1,100,0.295
1760380449.641969,464513.000,9525,3,AZ,1,100,0.270
1760380449.681967,464553.000,9540,2,AZ,1,100,0.230
1760380449.721964,464593.000,9540,2,AZ,1,100,0.215
1760380449.761962,464633.000,9558,3,AZ,1,100,0.230
1760380449.801960,464673.000,9558,3,AZ,1,100,0.258
1760380449.841957,464713.000,9558,3,AZ,1,100,0.242
1760380449.881955,464753.000,9574,2,AZ,1,100,0.222
1760380449.921952,464793.000,9574,2,AZ,1,100,0.164
1760380449.961950,464833.000,9590,3,AZ,1,100,0.116
1760380450.001947,464873.000,9590,3,AZ,1,100,0.135
1760380450.041945,464913.000,9590,3,AZ,1,100,0.164
1760380450.081943,464953.000,9608,2,AZ,1,100,0.175
1760380450.121940,464993.000,9608,2,AZ,1,100,0.167
1760380450.161938,465033.000,9625,3,AZ,1,100,0.151
1760380450.201935,465073.000,9625,3,AZ,1,100,0.163
1760380450.241933,465113.000,9625,3,AZ,1,100,0.183
