LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1760380448.909014,463780.000,9399,1,BI,1,100,1320
1760380450.108941,464980.000,9597,1,BI,1,100,1200
1760380451.401863,466273.000,9811,1,BI,1,100,1280
1760380452.681786,467553.000,10020,1,BI,1,100,1280
1760380453.401742,468273.000,10137,1,BI,1,100,720
1760380453.721723,468593.000,10204,1,BI,1,100,320
1760380454.081701,468953.000,10255,1,BI,1,100,360
1760380454.721662,469593.000,10356,1,BI,1,100,640
1760380455.401621,470273.000,10473,1,BI,1,100,680
1760380456.721541,471593.000,10688,1,BI,1,100,1320
1760380457.481495,472353.000,10830,1,BI,1,100,760
1760380457.961467,472833.000,10897,1,BI,1,100,480
1760380458.761418,473633.000,11031,1,BI,1,100,800
1760380459.280387,474152.000,11117,1,BI,1,100,520
1760380459.840353,474712.000,11220,1,BI,1,100,560
1760380460.600307,475472.000,11336,1,BI,1,100,760
1760380461.480254,476352.000,11486,1,BI,1,100,880
1760380461.974224,476846.000,11573,1,BI,1,100,480
1760380462.774176,477646.000,11712,1,BI,1,100,800
1760380463.213149,478085.000,11782,1,BI,1,100,440
1760380463.933106,478805.000,11899,1,BI,1,100,720
1760380464.493072,479365.000,12000,1,BI,1,100,560
1760380465.293023,480165.000,12134,1,BI,1,100,800
1760380465.812992,480685.000,12219,1,BI,1,100,520
1760380467.092915,481965.000,12418,1,BI,1,100,1280
1760380467.892866,482765.000,12558,1,BI,1,100,800
1760380468.532828,483405.000,12675,1,BI,1,100,640
1760380469.652760,484525.000,12859,1,BI,1,100,1120
1760380470.332719,485205.000,12961,1,BI,1,100,680
1760380470.972680,485845.000,13076,1,BI,1,100,640
1760380471.505648,486378.000,13161,1,BI,1,100,520
1760380472.265602,487138.000,13284,1,BI,1,100,760
1760380473.545525,488418.000,13508,1,BI,1,100,1280
1760380474.705455,489578.000,13690,1,BI,1,100,1160
1760380476.024375,490897.000,13907,1,BI,1,100,1320
1760380476.864324,491737.000,14041,1,BI,1,100,840
1760380477.304298,492177.000,14129,1,BI,1,100,440
1760380478.144247,493017.000,14268,1,BI,1,100,840
1760380478.624218,493497.000,14355,1,BI,1,100,480
1760380479.384172,494257.000,14472,1,BI,1,100,760
1760380479.824145,494697.000,14559,1,BI,1,100,440
1760380480.704092,495577.000,14693,1,BI,1,100,880
1760380481.277057,496150.000,14794,1,BI,1,100,560
1760380481.997014,496870.000,14913,1,BI,1,100,720
1760380482.436987,497310.000,14984,1,BI,1,100,440
1760380483.276937,498150.000,15141,1,BI,1,100,840
1760380483.836903,498710.000,15222,1,BI,1,100,560
1760380484.636854,499510.000,15359,1,BI,1,100,800
1760380485.156823,500030.000,15443,1,BI,1,100,520
1760380485.956775,500830.000,15578,1,BI,1,100,800
1760380486.396748,501270.000,15646,1,BI,1,100,440
1760380487.676671,502550.000,15865,1,BI,1,100,1280
1760380488.556617,503430.000,16007,1,BI,1,100,880
1760380488.956594,503830.000,16076,1,BI,1,100,400
1760380489.835540,504709.000,16226,1,BI,1,100,880
1760380490.195518,505069.000,16297,1,BI,1,100,360
1760380491.115463,505989.000,16445,1,BI,1,100,920
1760380492.808361,507682.000,16718,1,BI,1,100,1680
1760380494.088283,508962.000,16940,1,BI,1,100,1280
1760380494.928233,509802.000,17076,1,BI,1,100,840
1760380495.448201,510322.000,17160,1,BI,1,100,520
1760380496.208155,511082.000,17295,1,BI,1,100,760
1760380496.688126,511562.000,17381,1,BI,1,100,480
1760380497.168097,512042.000,17448,1,BI,1,100,480
1760380497.968049,512842.000,17585,1,BI,1,100,800
1760380499.207974,514082.000,17790,1,BI,1,100,1240
1760380500.527894,515402.000,18005,1,BI,1,100,1320
1760380501.900811,516775.000,18245,1,BI,1,100,1360
1760380502.820756,517695.000,18398,1,BI,1,100,920
1760380503.220731,518095.000,18466,1,BI,1,100,400
1760380504.100678,518975.000,18621,1,BI,1,100,880
1760380504.500654,519375.000,18674,1,BI,1,100,400
1760380505.780577,520655.000,18890,1,BI,1,100,1280
1760380506.659524,521534.000,19042,1,BI,1,100,880
1760380507.059500,521934.000,19111,1,BI,1,100,400
1760380507.899449,522774.000,19248,1,BI,1,100,840
1760380508.339422,523214.000,19317,1,BI,1,100,440
1760380508.899388,523774.000,19425,1,BI,1,100,560
1760380509.659342,524534.000,19542,1,BI,1,100,760
1760380510.459294,525334.000,19676,1,BI,1,100,800
1760380510.912267,525787.000,19763,1,BI,1,100,440
1760380512.192189,527067.000,19967,1,BI,1,100,1280
1760380512.872148,527747.000,20084,1,BI,1,100,680
1760380513.432114,528307.000,20186,1,BI,1,100,560
1760380513.992080,528867.000,20276,1,BI,1,100,560
1760380514.752035,529627.000,20412,1,BI,1,100,760
1760380515.551986,530427.000,20530,1,BI,1,100,800
1760380516.071955,530947.000,20632,1,BI,1,100,520
1760380516.951902,531827.000,20767,1,BI,1,100,880
1760380517.551865,532427.000,20870,1,BI,1,100,600
1760380517.871846,532747.000,20923,1,BI,1,100,320
1760380518.670798,533546.000,21059,1,BI,1,100,800
1760380519.924722,534800.000,21264,1,BI,1,100,1240
